ModesAllowed,SubnetworkID,ModeTypeID
Auto-Bus-Bike,90,auto
Auto-Bus-Bike,115,bike
Auto-Bus-Bike,110,bike
Auto-Bus-Bike,105,bike
Auto-Bus-Bike,100,bike
Auto-Bus-Bike,95,bike
Auto-Bus-Bike,90,bike
Auto-Bus-Bike,115,bus
Auto-Bus-Bike,105,bus
Auto-Bus-Bike,110,bus
Auto-Bus-Bike,95,bus
Auto-Bus-Bike,90,bus
Auto-Bus-Bike,115,auto
Auto-Bus-Bike,110,auto
Auto-Bus-Bike,105,auto
Auto-Bus-Bike,100,auto
Auto-Bus-Bike,95,auto
Auto-Bus-Bike,100,bus
Bike,96,bike
Bike,106,bike
Bike,101,bike
Bike,91,bike
Bike,116,bike
Bike,111,bike
Bus,117,bus
Bus,92,bus
Bus,97,bus
Bus,107,bus
Bus,112,bus
Bus,102,bus
Rail,93,rail
Rail,98,rail
Rail,108,rail
Rail,113,rail
Rail,118,rail
Rail,103,rail
Walk,114,walk
Walk,109,walk
Walk,104,walk
Walk,99,walk
Walk,94,walk
Walk,119,walk
