MicrotypeID,Population,PopulationGroupTypeID
1,21256,HighIncVeh
1,17489,LowIncVeh
1,3301,HighIncVehSenior
1,4534,LowIncVehSenior
2,33033,LowIncNoVeh
2,635115,LowIncVeh
2,122186,HighIncVehSenior
2,578787,HighIncVeh
2,1013,LowIncNoVehSenior
2,145980,LowIncVehSenior
2,73,HighIncNoVehSenior
3,406626,LowIncVeh
3,81228,HighIncVehSenior
3,91997,LowIncVehSenior
3,465411,HighIncVeh
3,12251,LowIncNoVeh
4,78515,HighIncVehSenior
4,54475,LowIncVehSenior
4,348933,HighIncVeh
4,284,LowIncNoVeh
4,326250,LowIncVeh
5,301827,HighIncVehSenior
5,62487,LowIncNoVeh
5,24439,LowIncNoVehSenior
5,1544785,LowIncVeh
5,336075,LowIncVehSenior
5,1686747,HighIncVeh
5,250,HighIncNoVeh
6,280622,LowIncVehSenior
6,37365,LowIncNoVeh
6,9518,LowIncNoVehSenior
6,857253,LowIncVeh
6,158045,HighIncVehSenior
6,45,HighIncNoVeh
6,789600,HighIncVeh
