Mode,MicrotypeID,LaneDedicationPerLaneMile,ROWConstructionPerLaneMile
bike,1,481000.0,6769000.0
bike,2,341000.0,3003000.0
bike,6,285000.0,1546000.0
bike,4,285000.0,1546000.0
bike,5,192000.0,1043000.0
bike,3,453000.0,5743000.0
bus,6,392765.33545020205,1969462.04857035
bus,5,264891.32284996397,1342588.96718776
bus,4,403008.071113168,2016670.24252729
bus,3,680887.678366242,8273369.94606658
bus,1,649567.993856707,8968989.02329202
bus,2,469221.49231359997,4387631.16664089
hv,6,392765.33545020205,1969462.04857035
hv,5,264891.32284996397,1342588.96718776
hv,4,403008.071113168,2016670.24252729
hv,3,680887.678366242,8273369.94606658
hv,2,469221.49231359997,4387631.16664089
hv,1,649567.993856707,8968989.02329202
