TripPurposeID,OriginMicrotypeID,DestinationMicrotypeID,DistanceBinID,Portion
home,1,1,short,0.49663924808574395
home,5,4,short,0.0607634539696569
home,5,4,xlong,0.33757214960040505
home,5,4,long,0.5552084409893411
home,2,6,xlong,0.9900278543307941
home,2,6,short,0.0099721456692063
home,5,3,short,0.0450142859557104
home,5,4,medium,0.0464559554405969
home,3,1,xlong,0.0765148330980732
home,5,3,medium,0.0639537761103409
home,5,3,xlong,0.314992336074086
home,5,3,long,0.5760396018598629
home,3,2,long,0.384522680117817
home,3,2,xlong,0.33233972135147805
home,3,2,short,0.17940414770526897
home,3,1,long,0.923485166901927
home,4,2,long,0.286607877692486
home,5,5,short,0.38512519378270393
home,5,5,xlong,0.155151526735645
home,6,2,xlong,0.411435371618504
home,6,1,xlong,1.0
home,2,4,medium,0.626785761357293
home,2,4,long,0.16387163848224898
home,2,4,xlong,0.20934260016045803
home,5,6,short,0.036424675565795
home,5,6,long,0.146180234392958
home,5,6,medium,0.0197307959658208
home,5,6,xlong,0.7976642940754258
home,5,5,medium,0.275789804829247
home,5,5,long,0.183933474652404
home,2,5,long,0.418480209850886
home,2,5,xlong,0.300599029687508
home,2,5,medium,0.227700646613882
home,2,5,short,0.0532201138477235
home,3,2,medium,0.10373345082543599
home,6,2,medium,0.588564628381496
home,5,2,short,0.0492758467998996
home,5,2,long,0.23494021895917003
home,3,5,short,0.002566012261139
home,4,4,xlong,0.0734138466614913
home,4,4,short,0.25849716778496
home,4,4,medium,0.439112040384009
home,4,4,long,0.22897694516954
home,4,3,short,0.00111145298830496
home,3,5,medium,0.253848577964905
home,4,3,long,0.8913190254952701
home,3,6,medium,0.0944429690729295
home,3,6,long,0.152993405826893
home,4,3,xlong,0.0376154790285554
home,4,3,medium,0.06995404248787
home,4,2,xlong,0.17289032331925597
home,4,2,medium,0.38073300699454604
home,3,6,xlong,0.7525636251001769
home,3,5,xlong,0.260577459448739
home,3,5,long,0.483007950325218
home,4,5,long,0.593221143075786
home,5,2,xlong,0.165750840724511
home,3,3,long,0.13948289710381698
home,3,3,xlong,0.15882139858561198
home,3,3,short,0.474373958611258
home,3,3,medium,0.227321745699312
home,5,1,xlong,1.0
home,4,6,long,0.242621578603148
home,4,6,xlong,0.757378421396852
home,4,5,medium,0.0490850247494956
home,4,5,xlong,0.23814879707361603
home,3,4,xlong,0.29004045207675105
home,3,4,medium,0.130048294508611
home,3,4,long,0.5774520137357421
home,3,4,short,0.00245923967889649
home,4,5,short,0.11954503510110302
home,5,2,medium,0.5500330935164189
home,2,3,medium,0.329551374271086
home,4,2,short,0.159768791993712
home,2,3,long,0.186691526640101
home,6,4,xlong,1.0
home,6,5,xlong,0.49204436900931103
home,6,5,short,0.16426969198868
home,6,5,long,0.23985629984644
home,1,3,xlong,0.0997062913979053
home,6,5,medium,0.103829639155569
home,1,3,long,0.34393992302900395
home,1,3,medium,0.163478309223095
home,1,3,short,0.39287547634999603
home,6,6,short,0.32287992237294505
home,6,6,medium,0.0910799822460115
home,2,2,long,0.211985592905761
home,2,2,xlong,0.117590812390676
home,2,2,medium,0.218304417837346
home,6,6,xlong,0.201720654450386
home,1,4,xlong,1.0
home,1,5,xlong,1.0
home,1,6,xlong,0.286566610978095
home,1,6,long,0.7134333890219058
home,2,1,long,0.341823647180814
home,2,1,short,0.316476450910736
home,2,1,medium,0.341699901908451
home,2,2,short,0.45211917686621705
home,1,2,xlong,0.246546264345334
home,6,6,long,0.384319440930657
home,2,3,short,0.38703353944593
home,1,2,long,0.28432457345957
home,6,3,long,0.21768322540909
home,1,2,medium,0.46912916219509604
home,6,3,medium,0.01120835743835
home,6,3,short,0.728984303998761
home,6,3,xlong,0.0421241131537993
home,2,3,xlong,0.09672355964288301
home,1,1,medium,0.5033607519142561
leisure,5,2,medium,0.417122300527083
leisure,4,5,medium,0.123685234582447
leisure,3,6,xlong,0.316009117079705
leisure,3,6,medium,0.0718070394291834
leisure,5,2,xlong,0.19417750164852202
leisure,4,5,short,0.0496276402585483
leisure,1,1,xlong,0.000249687008938095
leisure,1,1,short,0.7788524562733009
leisure,4,6,xlong,0.957015636493447
leisure,4,6,long,0.0429843635065527
leisure,1,4,xlong,1.0
leisure,5,1,xlong,0.6151391373888541
leisure,1,6,long,1.0
leisure,5,1,medium,0.384860862611146
leisure,1,1,medium,0.22089785671776102
leisure,3,3,xlong,0.0607765043355707
leisure,3,3,medium,0.202706240937333
leisure,3,3,short,0.5815822680448061
leisure,3,3,long,0.15493498668229
leisure,4,2,short,0.0688275867952414
leisure,1,5,xlong,0.802008495830812
leisure,1,5,medium,0.19799150416918804
leisure,4,2,medium,0.320241250883011
leisure,4,2,xlong,0.26177533492705496
leisure,4,2,long,0.34915582739469203
leisure,5,2,long,0.36266324738457106
leisure,4,3,long,0.371885548148692
leisure,3,6,long,0.6121838434911121
leisure,1,2,xlong,0.0185658359110702
leisure,1,2,long,0.22209653775966604
leisure,3,5,medium,0.39956867380503497
leisure,3,5,short,0.0195512444670865
leisure,3,5,xlong,0.168190811689228
leisure,3,5,long,0.412689270038651
leisure,1,2,short,0.299476062429806
leisure,1,2,medium,0.459861563899458
leisure,6,6,xlong,0.13251661395238198
leisure,4,3,xlong,0.39116291903294803
leisure,4,4,long,0.20774625635608104
leisure,4,4,short,0.57470577722838
leisure,4,5,xlong,0.24725371960471898
leisure,4,3,short,0.103907810630175
leisure,4,4,xlong,0.134733932723297
leisure,4,3,medium,0.133043722188186
leisure,5,2,short,0.0260369504398245
leisure,3,4,long,0.22584147736431195
leisure,3,4,xlong,0.104876716367581
leisure,6,6,long,0.29670724746355
leisure,3,4,short,0.21094853279351
leisure,3,4,medium,0.458333273474596
leisure,6,6,short,0.441853165001859
leisure,6,6,medium,0.128922973582209
leisure,1,3,xlong,0.311206592807502
leisure,1,3,long,0.688793407192498
leisure,4,4,medium,0.082814033692242
leisure,4,5,long,0.579433405554286
leisure,5,4,xlong,0.115047132320651
leisure,2,2,medium,0.27031430157887
leisure,5,4,medium,0.162602272103296
leisure,2,2,xlong,0.0645821023865346
leisure,5,4,short,0.0758516671758714
leisure,6,2,short,0.033413436937032005
leisure,6,2,medium,0.060262702378715
leisure,2,2,long,0.329008913029315
leisure,2,5,xlong,0.268031946593224
leisure,2,5,medium,0.44369559130504704
leisure,2,5,short,0.0717653690296633
leisure,2,5,long,0.216507093072065
leisure,6,2,long,0.676818534442714
leisure,6,2,xlong,0.22950532624153896
leisure,6,1,long,1.0
leisure,5,4,long,0.646498928400182
leisure,6,4,long,0.248695387981165
leisure,5,5,short,0.4543386906477249
leisure,5,5,medium,0.18953168036397897
leisure,5,5,xlong,0.123871416577035
leisure,5,5,long,0.232258212411262
leisure,5,6,short,0.0744104526375185
leisure,5,6,xlong,0.485588327697037
leisure,5,6,medium,0.21767019301012502
leisure,6,3,xlong,0.766072505591717
leisure,2,4,long,0.11561729174116198
leisure,6,3,long,0.066494678432773
leisure,6,3,medium,0.16743281597551002
leisure,5,6,long,0.22233102665532
leisure,2,4,medium,0.195513351644522
leisure,6,4,xlong,0.7513046120188349
leisure,2,4,xlong,0.260263155429328
leisure,2,4,short,0.42860620118498793
leisure,6,5,long,0.214774573591314
leisure,2,1,long,0.20228175962747
leisure,2,1,xlong,0.0113522238207847
leisure,2,3,long,0.454359331990803
leisure,6,5,short,0.169539488982566
leisure,3,1,xlong,0.376241243551818
leisure,3,1,medium,0.421990135030818
leisure,3,1,long,0.20176862141736399
leisure,2,2,short,0.336094683005281
leisure,3,2,xlong,0.21388942686402498
leisure,6,5,medium,0.0717375603590755
leisure,6,5,xlong,0.543948377067045
leisure,5,3,long,0.33508227700903404
leisure,5,3,medium,0.5562677072731329
leisure,5,3,xlong,0.0556323442961347
leisure,5,3,short,0.0530176714216985
leisure,2,3,medium,0.423297177325546
leisure,2,6,short,0.27653740131337395
leisure,2,6,xlong,0.18134596512669102
leisure,3,2,long,0.25579574078816897
leisure,3,2,short,0.234277863105854
leisure,3,2,medium,0.296036969241953
leisure,2,6,medium,0.542116633559935
leisure,2,3,short,0.0314257645241525
leisure,2,1,medium,0.786366016551745
leisure,2,3,xlong,0.0909177261594985
medical,4,2,long,0.513622556486814
medical,6,6,short,1.0
medical,6,2,xlong,0.7156909376862541
medical,6,2,long,0.284309062313747
medical,4,2,xlong,0.00823179631794905
medical,4,2,short,0.33195604422929403
medical,5,6,short,1.0
medical,5,2,xlong,0.33504539168343395
medical,4,4,long,0.045821033051785004
medical,4,3,long,0.7920944352218591
medical,5,2,long,0.573265925940321
medical,6,5,long,0.22130652903084402
