FromMicrotypeID,ToMicrotypeID,DistanceBinID,ThroughMicrotypeID,Portion
1,3,xlong,1,0.268713273372248
1,5,long,2,0.275051251325071
1,2,medium,1,0.646066392028519
1,4,xlong,1,0.0717086185769596
1,4,xlong,4,0.7569816550361199
1,3,medium,2,0.196626946519916
1,1,medium,1,1.0
1,3,xlong,3,0.300206501467356
1,3,xlong,5,0.0429391764857186
1,3,xlong,4,0.0005574059120988192
1,6,long,6,0.562392227872082
1,6,long,3,0.17427382797753
1,6,long,1,0.156404584030095
1,2,xlong,2,0.409767362900954
1,2,long,2,0.5769392603255991
1,6,xlong,1,0.14403038360319
1,6,xlong,3,0.252715483433341
1,4,long,1,0.41548433100844107
1,4,long,4,0.5845156689915589
1,6,xlong,6,0.6032541329634691
1,2,long,5,0.0169027977897683
1,2,long,1,0.29911432798377696
1,1,short,1,1.0
1,3,medium,3,0.4950985494436789
1,3,medium,1,0.308274504036405
1,5,long,1,0.245360030584171
1,1,xlong,4,0.0130660557337158
1,3,long,1,0.160633445911507
1,2,medium,2,0.353933607971481
1,5,long,5,0.4795887180907581
1,3,short,1,0.438565490565752
1,2,short,1,0.3441097358723039
1,4,xlong,3,0.016128530227618
1,4,xlong,2,0.155181196159302
1,2,short,2,0.6558902641276961
1,2,xlong,5,0.120742558401715
1,3,short,2,0.0454073629783023
1,3,long,2,0.215165969920967
1,6,long,2,0.103936311168138
1,5,xlong,5,0.618037587220102
1,2,long,3,0.107043613900856
1,5,xlong,3,0.291333731019698
1,5,xlong,1,0.0534825445822541
1,6,long,5,0.00299304895215472
1,2,xlong,1,0.0651517064687756
1,5,xlong,2,0.00671922766604677
1,2,xlong,4,0.0691544261819558
1,2,xlong,3,0.3351839460466
1,3,xlong,2,0.38758364276257895
1,1,xlong,1,0.139783478488215
1,1,xlong,3,0.8471504657780691
1,3,long,3,0.624200584167526
1,5,xlong,4,0.0304269095118988
1,3,short,3,0.516027146455946
2,3,long,4,0.0159862648338518
2,3,medium,5,0.00141207812045691
2,3,long,1,0.0610075148818126
2,3,short,2,0.383868381993899
2,3,short,3,0.6161316180061011
2,4,medium,3,0.0312836725130356
2,5,long,3,0.0764305915459437
2,1,short,1,0.526399154150182
2,1,xlong,3,0.6146152673034521
2,2,long,2,0.621793496322712
2,2,long,1,0.0025916880542808
2,1,short,2,0.473600845849818
2,5,xlong,6,0.0105705922974947
2,6,long,2,0.15920759176141
2,6,long,6,0.8407924082385899
2,2,long,5,0.00335481517428746
2,2,medium,5,0.0030641889352033803
2,2,medium,3,0.007907897034781529
2,6,xlong,2,0.0893386660988078
2,6,xlong,5,0.541361295932045
2,1,xlong,2,0.278452831772193
2,6,xlong,6,0.352362196977779
2,4,xlong,3,0.361875372312744
2,4,xlong,5,0.154312383613975
2,4,xlong,4,0.27801078276473
2,5,short,5,0.799923381220442
2,5,short,2,0.200076618779558
2,4,medium,2,0.5367578720049461
2,5,long,4,0.0107651568172938
2,4,medium,5,0.023920727861992
2,4,medium,4,0.4080377276200261
2,4,xlong,1,0.0227187930390043
2,1,xlong,1,0.106931900924355
2,4,xlong,2,0.183082668269547
2,3,xlong,4,0.01402285910552
2,4,long,3,0.022335913472992
2,1,medium,1,0.4897804080334289
2,1,medium,2,0.448638997381584
2,2,xlong,6,0.006758514957999001
2,1,medium,4,0.0615805945849868
2,6,xlong,3,0.0129676201126708
2,3,long,3,0.522589411004674
2,3,long,5,0.0123457390768668
2,3,long,2,0.38807107020279497
2,3,medium,3,0.5049264613989269
2,3,medium,2,0.493661460480616
2,6,xlong,1,0.000160570536366619
2,5,xlong,5,0.583177964788374
2,5,xlong,2,0.16871143276914094
2,5,long,5,0.546011021803675
2,5,long,2,0.366419882994387
2,3,xlong,6,0.00775467495189595
2,2,xlong,5,0.15192399934627
2,2,xlong,4,0.0346768715109242
2,2,xlong,2,0.447012423761673
2,2,medium,2,0.989027914030015
2,4,short,2,0.649344565998693
2,4,short,4,0.35065543400130705
2,4,long,4,0.240468259269109
2,4,long,5,0.237900047487518
2,4,long,2,0.49929577977038
2,3,xlong,1,0.0113358678864762
2,2,xlong,1,0.0238652130211122
2,5,medium,4,0.0280572740977967
2,2,long,3,0.3465257266387539
2,5,xlong,1,0.00133994809036841
2,5,xlong,3,0.16867563868774696
2,5,medium,5,0.485154180136151
2,3,xlong,2,0.195836537096035
2,2,xlong,3,0.335762977402021
2,2,long,4,0.0257342738099664
2,2,short,2,1.0
2,5,xlong,4,0.0675244233668756
2,1,long,1,0.242321147467966
2,1,long,2,0.40561837273446
2,5,medium,2,0.486788545766052
2,5,long,6,0.000373346838700125
2,6,xlong,4,0.003809650342331271
2,3,xlong,3,0.6746729105997789
2,3,xlong,5,0.0963771503602939
2,1,long,3,0.352060479797574
3,2,medium,2,0.500420013692119
3,2,xlong,4,0.0681367007775936
3,3,xlong,6,0.0609481906312236
3,2,short,1,0.27822114578274204
3,2,medium,5,0.0067592516045428
3,2,long,1,0.0214002826579504
3,2,long,4,0.0251131049454252
3,2,medium,3,0.4928207347033379
3,1,long,2,0.3302435421702169
3,2,xlong,6,0.0135367347254393
3,1,long,3,0.450394968627802
3,3,xlong,1,0.0542539257456871
3,1,xlong,2,0.263808872360634
3,4,long,5,0.0840339514726995
3,4,long,4,0.30324051226203497
3,4,long,3,0.439855350820149
3,1,medium,1,0.47758571098354
3,1,medium,3,0.2264145986578629
3,6,long,4,0.00295059496150381
3,2,xlong,1,0.0282875857301304
3,6,xlong,1,0.00700369790856577
3,1,xlong,3,0.385361940790707
3,1,xlong,6,0.0935150362230941
3,1,xlong,1,0.257314150625566
3,3,long,2,0.110673882583149
3,1,long,1,0.219361489201981
3,2,long,6,4.5824715534094e-05
3,4,long,2,0.172870185445117
3,5,short,5,0.2367218976709
3,5,short,3,0.7632781023290999
3,3,short,3,1.0
3,3,long,3,0.878710549739463
3,6,xlong,3,0.4093408110684221
3,6,xlong,6,0.531126859080208
3,5,xlong,3,0.28555724222557394
3,5,xlong,2,0.0440644183562257
3,5,xlong,5,0.5746627989105689
3,2,xlong,3,0.544485615658169
3,6,long,6,0.685746290677647
3,6,long,3,0.311016234222206
3,2,xlong,5,0.0995259401377697
3,2,xlong,2,0.246027422970898
3,3,xlong,5,0.0614565289147852
3,3,xlong,2,0.112736310352149
3,3,xlong,4,0.0297815711734617
3,3,xlong,3,0.680823473182693
3,3,long,1,0.00984051937484554
3,5,xlong,6,0.013335890215204
3,5,xlong,4,0.0742442287918094
3,3,long,5,0.000404289755072252
3,1,medium,2,0.295999690358597
3,5,long,3,0.368824697946646
3,2,short,2,0.223647764286472
3,2,short,3,0.498131089930786
3,3,medium,3,1.0
3,5,long,4,0.106863793439164
3,5,long,5,0.45562154646402
3,2,long,5,0.0278269250499412
3,2,long,3,0.349571833045009
3,2,long,2,0.57604202958614
3,4,xlong,3,0.3945329178382029
3,5,medium,3,0.51666112007738
3,6,xlong,2,0.009202500666609407
3,6,xlong,5,0.0358631536160334
3,5,medium,2,0.00323177073021078
3,5,medium,5,0.48010710919241
3,5,long,2,0.0686899621501698
3,4,medium,2,0.0508387118778821
3,6,xlong,4,0.0052876001273893785
3,3,long,4,0.000370758547470903
3,4,medium,3,0.519937409563209
3,4,medium,4,0.429223878558909
3,4,xlong,4,0.195366520743605
3,4,xlong,2,0.0858557801859428
3,4,xlong,5,0.324244781232249
3,6,long,5,0.000286880138643523
4,2,medium,2,0.5227235083448539
4,2,medium,4,0.449474561264283
4,5,medium,5,0.4611631256108571
4,2,xlong,4,0.21303105951313
4,2,xlong,2,0.291438563274721
4,5,long,4,0.4500309903961
4,2,xlong,5,0.0880818580812913
4,5,medium,4,0.538836874389144
4,2,short,2,0.461987877282654
4,2,medium,5,0.0223166599453329
4,5,long,6,0.00788803440689962
4,3,medium,3,0.565452471044536
4,4,long,5,0.20873907583765
4,2,long,4,0.244638895590858
4,2,long,5,0.16675116273349802
4,2,long,2,0.568288189632886
4,3,long,6,4.83560531205121e-05
4,3,medium,4,0.434547528955464
4,5,long,3,0.0191778552033397
4,4,long,3,0.0131960804297339
4,5,long,5,0.504717904543276
4,5,long,2,0.0181852154503846
4,3,long,2,0.3758938328890449
4,5,xlong,6,0.00070073356807095
4,5,xlong,4,0.21839030701002804
4,3,xlong,6,0.0112283893186339
4,5,xlong,5,0.66638655133353
4,3,xlong,4,0.252648634151037
4,3,xlong,3,0.543984088935652
4,3,xlong,5,0.0759594735994215
4,1,xlong,4,0.926588538668176
4,5,short,4,0.5154787969626919
4,1,xlong,1,0.0734114613318235
4,4,long,2,0.0641854573662737
4,3,xlong,2,0.112223663524994
4,5,short,5,0.484521203037309
4,5,xlong,2,0.0473786675799606
4,4,xlong,1,0.00232880536422733
4,4,xlong,2,0.125243097651957
4,4,xlong,4,0.694822925737861
4,2,xlong,1,0.0260485809285141
4,4,short,4,1.0
4,4,long,4,0.713879386366342
4,2,short,4,0.538012122717346
4,2,medium,3,0.00548527044552971
4,5,xlong,3,0.0671437405084105
4,4,xlong,3,0.112959750833987
4,4,medium,4,1.0
4,1,long,1,0.100168790968219
4,3,xlong,1,0.003955750470262321
4,1,long,2,0.838321974962669
4,1,long,4,0.061509234069113
4,3,long,4,0.209025453188084
4,3,long,5,0.037859000678788
4,3,long,3,0.3771733571909621
4,2,long,3,0.0203217520427578
4,6,xlong,6,0.250849017740476
4,6,xlong,3,0.0167553061968638
4,6,xlong,5,0.0238562619204262
4,6,xlong,4,0.0691554382976891
4,2,xlong,3,0.381399938202344
4,4,xlong,5,0.0646454204119685
5,2,xlong,1,0.00701958977078693
5,1,xlong,5,0.689486143155475
5,1,xlong,2,0.0894816365602473
5,1,xlong,3,0.171151678097298
5,1,xlong,1,0.0492630595057548
5,2,long,1,0.00131919901837021
5,2,short,2,0.200076618779558
5,4,medium,2,0.0160382129022101
5,4,xlong,6,0.000641915127307486
5,2,short,5,0.799923381220442
5,6,long,4,0.00779433210544395
5,4,short,4,0.5154787969626919
5,4,short,5,0.484521203037309
5,1,long,5,0.581091988620615
5,1,long,2,0.30649881109939603
5,1,long,1,0.112409200279989
5,1,xlong,4,0.000617482681225634
5,5,xlong,1,0.0048615642189065
5,4,long,5,0.52163326124534
5,6,long,3,0.0494324497636641
5,5,long,3,0.0148877800827969
5,2,long,5,0.443087919685898
5,5,xlong,4,0.0490669179825763
5,3,long,2,0.113223199267144
5,6,long,6,0.398056916940576
5,6,long,5,0.544716301190316
5,2,long,2,0.42826162974263504
5,3,long,5,0.43499664842353297
5,3,long,3,0.3604786161538169
5,6,xlong,3,0.0039791338951709
5,2,medium,5,0.5458884164245661
5,2,medium,2,0.452403707223647
5,3,long,4,0.0913015361555053
5,2,long,4,0.0575395048671084
5,6,xlong,2,0.00240693032451247
5,6,xlong,4,0.00276259779291285
5,2,long,3,0.0697917466859886
5,5,long,5,0.945727923643918
5,5,medium,4,0.00175290371133099
5,5,medium,2,0.0016774051517497901
5,3,xlong,2,0.0856113058922937
5,3,xlong,4,0.0613583347105041
5,3,medium,3,0.449055295026063
5,3,medium,5,0.508408408308774
5,4,xlong,3,0.08845867538593903
5,4,xlong,4,0.422859601708901
5,4,xlong,2,0.0768678267795271
5,4,xlong,5,0.411171980998326
5,6,xlong,5,0.281377240868026
5,6,xlong,6,0.709474097119378
5,5,long,2,0.0221996269755166
5,5,long,4,0.0171846692977685
5,6,medium,6,0.559510691762151
5,3,medium,2,0.0425362966651636
5,4,long,6,0.000436529962596261
5,4,long,2,0.0118498101377693
5,3,xlong,1,0.008841547570683209
5,2,xlong,4,0.0859950502281028
5,4,long,4,0.33359063409501805
5,4,medium,5,0.4509099414447629
5,4,long,3,0.132489764559277
5,2,xlong,6,0.0017781977228506101
5,4,medium,4,0.5330518456530271
5,5,medium,5,0.9965696911369192
5,2,xlong,5,0.3960199651815
5,2,xlong,2,0.2812217285786369
5,6,medium,5,0.4404893082378489
5,5,short,5,1.0
5,3,xlong,6,0.0608265692802536
5,5,xlong,5,0.72842606279057
5,5,xlong,3,0.08913753262525
5,3,xlong,5,0.327118025479747
5,3,xlong,3,0.44564114132794297
5,2,medium,4,0.00170787635178665
5,5,xlong,6,0.0666080714983367
5,2,xlong,3,0.22756367984665804
5,5,xlong,2,0.0322369717748336
6,3,xlong,6,0.698161311727948
6,5,xlong,5,0.33943098571361
6,5,xlong,6,0.596724688489452
6,3,xlong,3,0.241254361630328
6,5,medium,6,0.538563708400586
6,6,xlong,6,0.99812860374437
6,5,long,5,0.555995637755192
6,5,long,6,0.442453241074724
6,5,medium,5,0.461436291599414
6,6,long,6,1.0
6,2,long,2,0.156485393399909
6,2,xlong,2,0.0937165398301606
6,4,xlong,5,0.335874174879153
6,4,xlong,4,0.18233648631074
6,6,medium,6,1.0
6,1,long,1,0.180496191539098
6,1,long,2,0.107187586366114
