ModesAllowed,SubnetworkID,ModeTypeID
Auto-Bus-Bike,120,auto
Auto-Bus-Bike,140,bike
Auto-Bus-Bike,135,bike
Auto-Bus-Bike,130,bike
Auto-Bus-Bike,125,bike
Auto-Bus-Bike,120,bike
Auto-Bus-Bike,145,bus
Auto-Bus-Bike,140,bus
Auto-Bus-Bike,135,bus
Auto-Bus-Bike,145,bike
Auto-Bus-Bike,125,bus
Auto-Bus-Bike,120,bus
Auto-Bus-Bike,145,auto
Auto-Bus-Bike,140,auto
Auto-Bus-Bike,135,auto
Auto-Bus-Bike,130,auto
Auto-Bus-Bike,125,auto
Auto-Bus-Bike,130,bus
Bike,136,bike
Bike,131,bike
Bike,126,bike
Bike,121,bike
Bike,146,bike
Bike,141,bike
Bus,147,bus
Bus,132,bus
Bus,127,bus
Bus,122,bus
Bus,137,bus
Bus,142,bus
Walk,124,walk
Walk,129,walk
Walk,134,walk
Walk,139,walk
Walk,144,walk
Walk,149,walk
