MicrotypeID,Population,PopulationGroupTypeID
1,125132,HighIncVeh
1,8045,LowIncVehSenior
1,1266,HighIncVehSenior
1,22909,LowIncVeh
2,33428,LowIncNoVeh
2,503211,HighIncVeh
2,55977,HighIncVehSenior
2,71810,LowIncVehSenior
2,398685,LowIncVeh
2,1489,LowIncNoVehSenior
3,19095,LowIncNoVeh
3,356983,LowIncVeh
3,345609,HighIncVeh
3,30715,LowIncVehSenior
3,46715,HighIncVehSenior
3,13058,LowIncNoVehSenior
4,27950,LowIncVehSenior
4,143,HighIncNoVehSenior
4,3408,LowIncNoVeh
4,136949,HighIncVeh
4,50232,HighIncVehSenior
4,63802,LowIncVeh
5,446629,HighIncVeh
5,3772,LowIncNoVehSenior
5,9182,LowIncNoVeh
5,114009,HighIncVehSenior
5,124777,LowIncVehSenior
5,265470,LowIncVeh
6,1382,LowIncNoVeh
6,290195,HighIncVeh
6,58306,HighIncVehSenior
6,378901,LowIncVeh
6,55743,LowIncVehSenior
