Mode,MicrotypeID,LaneDedicationPerLaneMile,ROWConstructionPerLaneMile
bike,1,453000.0,5743000.0
bike,2,385000.0,4161000.0
bike,4,341000.0,3003000.0
bike,5,192000.0,1043000.0
bike,6,192000.0,1043000.0
bike,3,385000.0,4161000.0
bus,6,260610.406411581,1320991.61516873
bus,5,265182.846041235,1344342.96768209
bus,4,478105.416057934,4495720.12077636
bus,3,580862.768404934,6530659.508886099
bus,1,637390.072337514,7831155.53862925
bus,2,536206.983083343,5955848.48099308
hv,6,260610.406411581,1320991.61516873
hv,5,265182.846041235,1344342.96768209
hv,4,478105.416057934,4495720.12077636
hv,3,580862.768404934,6530659.508886099
hv,2,536206.983083343,5955848.48099308
hv,1,637390.072337514,7831155.53862925
