SubnetworkID,Dedicated,Length,MFD,MicrotypeID,ModesAllowed,Type,avgLinkLength,capacityFlow,densityMax,smoothingFactor,vMax,waveSpeed
120,False,1100933.2353207818,loder,1,Auto-Bus-Bike,Road,50.0,0.18,0.15,0.13,17.0,3.78
121,True,220186.6470641564,fixed,1,Walk,Sidewalk,,,,,1.35,
122,True,0.0,bottleneck,1,Bus,Road,50.0,0.4,,,17.0,
123,True,0.0,fixed,1,Bike,Road,,,,,5.0,
124,True,,fixed,1,Rail,Rail,,,,,20.0,
125,False,10662620.962952353,loder,2,Auto-Bus-Bike,Road,50.0,0.18,0.15,0.13,17.0,3.78
126,True,2132524.1925904704,fixed,2,Walk,Sidewalk,,,,,1.35,
127,True,0.0,bottleneck,2,Bus,Road,50.0,0.4,,,17.0,
128,True,0.0,fixed,2,Bike,Road,,,,,5.0,
129,True,,fixed,2,Rail,Rail,,,,,20.0,
130,False,22256951.18451461,bottleneck,3,Auto-Bus-Bike,Road,50.0,0.4,0.0,0.0,28.0,0.0
131,True,4451390.236902921,fixed,3,Walk,Sidewalk,,,,,1.35,
132,True,0.0,bottleneck,3,Bus,Road,50.0,0.4,,,17.0,
133,True,0.0,fixed,3,Bike,Road,,,,,5.0,
134,True,,fixed,3,Rail,Rail,,,,,20.0,
135,False,8944629.583486777,bottleneck,4,Auto-Bus-Bike,Road,50.0,0.38,0.0,0.0,18.8,0.0
136,True,1788925.9166973557,fixed,4,Walk,Sidewalk,,,,,1.35,
137,True,0.0,bottleneck,4,Bus,Road,50.0,0.4,,,17.0,
138,True,0.0,fixed,4,Bike,Road,,,,,5.0,
139,True,,fixed,4,Rail,Rail,,,,,20.0,
140,False,53139478.85585151,bottleneck,5,Auto-Bus-Bike,Road,50.0,0.38,0.0,0.0,18.8,0.0
141,True,10627895.7711703,fixed,5,Walk,Sidewalk,,,,,1.35,
142,True,0.0,bottleneck,5,Bus,Road,50.0,0.4,,,17.0,
143,True,0.0,fixed,5,Bike,Road,,,,,5.0,
144,True,,fixed,5,Rail,Rail,,,,,20.0,
145,False,238207568.26883233,bottleneck,6,Auto-Bus-Bike,Road,50.0,0.38,0.0,0.0,18.8,0.0
146,True,47641513.65376646,fixed,6,Walk,Sidewalk,,,,,1.35,
147,True,0.0,bottleneck,6,Bus,Road,50.0,0.4,,,17.0,
148,True,0.0,fixed,6,Bike,Road,,,,,5.0,
149,True,,fixed,6,Rail,Rail,,,,,20.0,
