FromMicrotypeID,ToMicrotypeID,DistanceBinID,ThroughMicrotypeID,Portion
1,3,xlong,2,0.31115217090893604
1,5,medium,1,0.139535458382897
1,5,medium,2,0.359577519907992
1,5,medium,5,0.470181316058786
1,5,long,4,0.0331868438742735
1,5,medium,3,0.0307057056503255
1,3,medium,2,0.178700518542215
1,4,xlong,5,0.128906048607386
1,4,xlong,3,0.41333874412532395
1,4,xlong,4,0.203156000087966
1,4,xlong,1,0.0558746942029356
1,3,long,2,0.228611318207496
1,5,long,5,0.302816367617849
1,2,xlong,4,0.0440158747606648
1,4,xlong,2,0.198724512976388
1,4,long,1,0.138935495755962
1,4,long,2,0.28193298173451004
1,4,long,4,0.315691433503203
1,1,medium,1,0.9130401524674558
1,2,long,6,0.00033816802511072797
1,4,long,5,0.0160805244469068
1,3,xlong,1,0.0524246930560131
1,3,xlong,3,0.455312366340262
1,3,xlong,4,0.0506118729741151
1,2,short,3,0.122046173897569
1,3,xlong,6,0.00408289969020014
1,1,long,1,0.978743051021558
1,6,long,1,0.308626265850584
1,6,long,2,0.298922504732439
1,6,long,6,0.392451229416977
1,3,long,5,0.00556828085725075
1,5,long,3,0.274411248281821
1,4,short,1,0.48419289127955295
1,4,long,3,0.247359564559418
1,4,short,2,0.476488197480345
1,2,long,3,0.0863675152442454
1,3,short,2,0.03830952099919999
1,2,long,4,0.0022732392506556
1,2,medium,2,0.5754793411352939
1,2,medium,1,0.380551845729017
1,1,short,1,1.0
1,5,xlong,4,0.0575928718471811
1,5,xlong,3,0.317926046234019
1,3,xlong,5,0.12378084104646901
1,4,short,4,0.0393189112401018
1,3,long,4,0.0101632714968802
1,5,long,1,0.11381458536393302
1,3,long,1,0.210799267234441
1,2,short,1,0.463974891440178
1,6,xlong,1,0.042405942362112
1,6,xlong,5,0.32585181516416495
1,3,long,3,0.5448578622039321
1,2,short,2,0.41397893466225294
1,2,medium,3,0.0302115634871819
1,1,medium,2,0.00612141562569594
1,3,medium,5,0.00454515658654741
1,3,short,3,0.582934518764084
1,3,short,1,0.378755960236716
1,5,xlong,1,0.0726787120180766
1,5,xlong,2,0.20940289005746696
1,6,xlong,2,0.0689476883406508
1,2,xlong,1,0.0785897410204357
1,1,long,3,0.0212569489784425
1,5,xlong,5,0.29164279200300797
1,2,long,1,0.21054203768537802
1,2,long,5,0.0179197230962479
1,2,xlong,5,0.0986588534608317
1,2,long,2,0.682559316698363
1,6,xlong,3,0.0879655269396425
1,3,medium,1,0.310141004245415
1,5,long,2,0.275770954862123
1,3,medium,3,0.506613320625822
1,5,xlong,6,0.0484125145188374
1,1,medium,3,0.0808384319068484
1,6,xlong,6,0.46455567857395896
1,2,xlong,3,0.34333132721891807
1,2,xlong,2,0.434419640581412
1,2,medium,5,0.0137572496485075
1,1,xlong,1,1.0
2,4,long,1,0.00080654884970229
2,6,xlong,4,0.00968574925821042
2,2,medium,5,0.0150770693312999
2,1,short,2,0.45334206524328
2,3,xlong,4,0.0482115650776674
2,1,long,6,0.0021754346999717897
2,3,long,1,0.00629977152357943
2,2,long,3,0.165767098418518
2,2,long,6,0.000201396033628997
2,4,medium,5,0.0790514158993649
2,4,long,4,0.375130927945308
2,3,xlong,6,0.00114414150648929
2,4,xlong,6,0.000573105174888543
2,3,medium,2,0.48551353551812393
2,4,short,2,0.4160694782862221
2,3,medium,5,0.0298973796299577
2,3,medium,1,0.0103652764523122
2,3,medium,3,0.46622465982984496
2,2,xlong,6,0.000543818528541856
2,2,long,1,0.0116358694499689
2,4,short,4,0.576447630396232
2,2,medium,3,0.0238387278737157
2,4,xlong,4,0.313878257512672
2,5,medium,4,0.00601810096808339
2,5,xlong,1,0.0030103729576016302
2,1,xlong,6,0.00417404541136974
2,1,xlong,1,0.022383772986049
2,1,xlong,3,0.32669401462994896
2,1,long,3,0.14328705114840098
2,2,xlong,1,0.0034156000147275
2,1,xlong,5,0.367157438621924
2,1,xlong,2,0.23117108816570897
2,1,medium,5,0.0010206103373022
2,2,xlong,4,0.0316518838616369
2,5,short,5,0.380359203118024
2,5,short,2,0.619640796881976
2,1,short,1,0.5450329662735159
2,1,xlong,4,0.0253365704146119
2,4,xlong,2,0.12848411614559402
2,4,long,3,0.0883404686943752
2,1,long,4,0.0215926268334348
2,3,short,3,0.46913681309998495
2,3,short,2,0.5264205386349929
2,4,xlong,3,0.3077294188795
2,4,xlong,5,0.24509466835752103
2,5,long,3,0.10855564667105802
2,1,medium,3,0.089197572244123
2,3,medium,4,0.007999148569760941
2,5,medium,3,0.0410195891852412
2,3,long,5,0.138045607091783
2,2,long,5,0.0625505097915262
2,2,long,4,0.01873970059673
2,4,medium,2,0.48089483938883404
2,4,medium,4,0.39428245087511504
2,4,long,5,0.188122415508022
2,3,xlong,1,0.00205425399199543
2,2,medium,4,0.0028938868589063
2,4,long,2,0.34759963900259194
2,5,long,1,0.000635578190251878
2,3,xlong,5,0.21516890751800696
2,3,xlong,3,0.572638364725466
2,4,short,3,0.0074828913175457
2,6,long,6,0.0260347500361226
2,6,long,2,0.973965249963877
2,5,medium,1,0.00199245350295829
2,6,xlong,2,0.0955486407418318
2,3,xlong,2,0.136588035550113
2,6,xlong,5,0.30440808783400897
2,6,xlong,6,0.4732783707412849
2,2,xlong,2,0.32476889143860904
2,2,xlong,3,0.38036484404975196
2,2,xlong,5,0.257778622098943
2,1,medium,2,0.5029143249829411
2,1,medium,1,0.40686749243563397
2,1,long,5,0.00879016509813511
2,6,xlong,3,0.108658945841661
2,4,xlong,1,0.00124178215321679
2,1,short,3,0.00132535865539036
2,5,xlong,3,0.361214674391701
2,3,short,4,0.00444264826502234
2,6,medium,6,0.184432481178239
2,6,medium,2,0.815567518821761
2,5,medium,2,0.44888770660569505
2,5,medium,5,0.502082149738022
2,2,medium,2,0.957264145882059
2,2,short,2,1.0
2,5,xlong,6,0.0138909130216255
2,1,long,2,0.48491615725537895
2,2,long,2,0.7411054257096279
2,5,long,2,0.33823863268608695
2,5,long,4,0.0396210732945365
2,5,long,5,0.51225674810223
2,5,xlong,2,0.129824795343004
2,5,xlong,4,0.0404350252524771
2,5,xlong,5,0.445301975360081
2,1,long,1,0.33923856496467797
2,1,short,4,0.000299609827813785
2,2,medium,1,0.000926170054019438
2,6,xlong,1,0.00101368103337713
2,3,long,6,8.04367535943979e-05
2,3,long,4,0.0627100851577189
2,3,long,2,0.327582450781539
2,5,long,6,0.00044015983750787
2,4,medium,3,0.0457712938366868
2,3,long,3,0.46528164869178495
3,4,long,5,0.118296077409576
3,1,xlong,5,0.22961680047319896
3,4,medium,3,0.49160466015657595
3,4,short,4,0.599823795859282
3,2,long,4,0.116378861220346
3,4,medium,4,0.44629124556759403
3,2,xlong,4,0.0202019665367508
3,4,short,3,0.400176204140718
3,3,short,3,1.0
3,5,xlong,3,0.35888191262855795
3,5,xlong,2,0.0347511391241769
3,5,xlong,5,0.556939247102848
3,6,long,5,0.0467310417383624
3,2,long,3,0.35836359039351395
3,2,long,5,0.139768026673886
3,2,long,2,0.379507089701159
3,1,xlong,6,0.0372876765917998
3,3,medium,3,0.943453030422942
3,3,long,5,0.0622139835085402
3,3,long,2,0.0506091095583431
3,1,long,3,0.5101538214085211
3,4,medium,5,0.020164092945995
3,1,medium,2,0.24189439292764
3,3,medium,4,0.0163726654141016
3,2,medium,4,0.00790402849168817
3,1,long,5,0.0008481149496075701
3,2,short,4,0.00584958551710794
3,2,short,2,0.582604099462686
3,2,short,3,0.402467647261117
3,6,xlong,6,0.239054592093276
3,6,xlong,4,0.0101455127464812
3,6,xlong,2,0.0211967349545569
3,6,xlong,3,0.6215225599690161
3,3,long,1,0.00393709159945237
3,5,long,3,0.368949540426606
3,4,medium,2,0.0419400013298357
3,5,long,4,0.0235671675953303
3,1,short,3,0.5695528560912679
3,5,long,2,0.0500723258780146
3,5,long,5,0.5561846735481629
3,5,xlong,1,0.00022619963896995
3,3,xlong,6,0.000769825353629448
3,1,xlong,3,0.381807042619635
3,1,xlong,2,0.13495671370659099
3,1,xlong,1,0.0446506879167228
3,1,short,2,0.0335199773017146
3,4,long,2,0.0637745844858453
3,4,long,4,0.39954685351521
3,4,long,3,0.41794808072573797
3,1,short,1,0.396927166607018
3,5,xlong,6,0.00975663743301304
3,2,medium,5,0.10225453079595899
3,2,long,1,0.005982432011095789
3,5,medium,4,0.00209110430525748
3,6,long,3,0.459117413077214
3,1,medium,5,0.0126142279308545
3,4,xlong,3,0.5582604803775479
3,3,medium,5,0.00171467652233995
3,3,medium,2,0.0384596276406164
3,1,medium,3,0.446887889861781
3,4,xlong,6,0.0034893987251354
3,1,medium,1,0.29860348927972497
3,2,medium,1,0.00482575893624864
3,4,xlong,5,0.22049058705527302
3,4,xlong,4,0.17065343895632099
3,2,xlong,5,0.257130470019916
3,4,xlong,2,0.0461002319970726
3,6,xlong,5,0.10808060023666902
3,6,long,6,0.494151545184424
3,4,long,1,0.000434403863631382
3,1,long,1,0.204494733223524
3,1,long,2,0.280020396434151
3,5,xlong,4,0.0311159949901444
3,1,long,4,0.00448293398419668
3,2,short,1,0.009078667759088959
3,5,short,5,0.545915146459807
3,5,medium,5,0.513511825209433
3,2,medium,3,0.39814021862284293
3,2,medium,2,0.48687546315326197
3,2,xlong,3,0.528293495787857
3,2,xlong,1,0.00410264720091835
3,2,xlong,2,0.18938349857652198
3,5,long,1,0.0012262925518859
3,2,xlong,6,0.000369435433902474
3,5,short,3,0.454084853540193
3,3,long,4,0.0270846518985497
3,1,xlong,4,0.0654824178075138
3,3,xlong,4,0.0334053403971614
3,3,xlong,5,0.23396593124447
3,3,xlong,2,0.0860151226031863
3,3,xlong,1,0.0014693849750637901
3,5,medium,3,0.45696512177782106
3,5,medium,2,0.0267144829256179
3,3,long,3,0.8561551634351149
3,3,xlong,3,0.6394931530449929
4,2,short,2,0.406086502868939
4,3,long,1,0.00114990074185396
4,1,medium,4,0.337056988414009
4,2,short,5,0.0125752708875196
4,2,short,4,0.581338226243542
4,5,medium,3,0.0301786945893577
4,5,xlong,1,0.00023120267564753102
4,3,medium,2,0.0390161101924118
4,5,short,4,0.515748173260611
4,3,short,2,0.434842455382927
4,5,short,5,0.484251826739161
4,3,short,4,0.456261586705835
4,4,long,1,0.000463750259132338
4,1,xlong,2,0.10959841013908198
4,1,long,3,0.373863929263956
4,3,medium,5,0.0558993393777448
4,5,short,3,2.28172372144157e-13
4,3,xlong,6,0.00044721565035502596
4,2,xlong,6,0.000729315985924522
4,4,xlong,1,9.5731572180642e-05
4,4,medium,3,0.000141156628229292
4,3,short,3,0.108895957911238
4,5,medium,2,0.0276892595368169
4,4,medium,5,0.0108224547470828
4,4,medium,2,0.00355242450456765
4,2,medium,5,0.0508387359299823
4,1,long,5,0.00112464511444423
4,1,medium,1,0.0739734720504835
4,1,xlong,4,0.337238998189054
4,2,medium,4,0.373451001686105
4,2,long,2,0.466108386464312
4,4,short,4,1.0
4,5,long,2,0.0279012076209674
4,2,long,4,0.29399013007692604
4,1,xlong,3,0.45761159848917105
4,1,long,1,0.12119918354714801
4,1,long,2,0.319754440480943
4,1,long,4,0.184057801593508
4,3,xlong,2,0.0556645390009601
4,3,xlong,3,0.532845912355859
4,3,long,4,0.303767304011695
4,2,long,1,0.00331936921409913
4,2,xlong,5,0.224126351799751
4,3,long,5,0.123610431546256
4,2,long,5,0.149179336586693
4,3,long,3,0.505860608993435
4,2,xlong,4,0.21074878149894602
4,4,long,5,0.106924868562086
4,4,long,3,0.12272194872089
4,2,xlong,1,0.0075542435225958
4,2,xlong,2,0.209568164894256
4,3,xlong,1,0.0010282964092931
4,3,medium,3,0.47057847333724
4,3,medium,4,0.434506077092604
4,4,long,4,0.6697257981626701
4,5,long,3,0.0986125169915061
4,4,medium,4,0.98548396412012
4,3,long,2,0.0656117547067602
4,5,long,4,0.31371912693760806
4,5,long,5,0.5597671484499179
4,2,medium,2,0.540321680621877
4,1,xlong,5,0.0434556640024097
4,1,xlong,1,0.0520953291802839
4,4,xlong,4,0.444460663067209
4,4,xlong,5,0.235858820058443
4,4,xlong,3,0.295981789074773
4,4,xlong,2,0.0236029962273935
4,6,xlong,6,0.12455288283085801
4,6,xlong,5,0.129886535064823
