ModesAllowed,SubnetworkID,ModeTypeID
Auto-Bus-Bike,150,auto
Auto-Bus-Bike,170,bike
Auto-Bus-Bike,165,bike
Auto-Bus-Bike,160,bike
Auto-Bus-Bike,155,bike
Auto-Bus-Bike,150,bike
Auto-Bus-Bike,175,bus
Auto-Bus-Bike,170,bus
Auto-Bus-Bike,165,bus
Auto-Bus-Bike,175,bike
Auto-Bus-Bike,155,bus
Auto-Bus-Bike,150,bus
Auto-Bus-Bike,175,auto
Auto-Bus-Bike,170,auto
Auto-Bus-Bike,165,auto
Auto-Bus-Bike,160,auto
Auto-Bus-Bike,155,auto
Auto-Bus-Bike,160,bus
Bike,166,bike
Bike,161,bike
Bike,156,bike
Bike,151,bike
Bike,176,bike
Bike,171,bike
Bus,177,bus
Bus,162,bus
Bus,157,bus
Bus,152,bus
Bus,167,bus
Bus,172,bus
Walk,154,walk
Walk,159,walk
Walk,164,walk
Walk,169,walk
Walk,174,walk
Walk,179,walk
