HomeMicrotypeID,TimePeriodID,PopulationGroupTypeID,TripPurposeID,OriginMicrotypeID,DestinationMicrotypeID,Portion
1,12,LowIncVeh,leisure,1,1,0.14026612052305498
1,7,HighIncVeh,work,2,5,0.0209597021417395
1,15,LowIncVehSenior,leisure,1,1,0.38514909914448797
1,17,LowIncNoVeh,home,2,5,0.34603612520242305
1,6,HighIncNoVehSenior,work,1,1,1.0
1,14,HighIncVeh,leisure,5,4,0.138789523011999
1,11,HighIncVeh,leisure,1,2,0.33306808096213003
1,5,HighIncVeh,home,1,1,1.0
1,16,LowIncVehSenior,leisure,1,1,0.324077949344203
1,14,LowIncNoVeh,leisure,4,2,0.494195630815454
1,15,LowIncVehSenior,home,1,1,0.7002106580493921
1,5,HighIncVeh,leisure,1,1,0.189453092994719
1,11,LowIncVehSenior,leisure,1,1,0.0533883940192678
1,20,HighIncVeh,home,1,1,0.30756644252715504
1,16,HighIncNoVehSenior,home,1,1,1.0
1,16,LowIncVehSenior,home,1,1,1.0
1,20,HighIncVeh,home,5,1,0.15348369031674802
1,17,HighIncVeh,work,1,2,1.0
1,10,LowIncNoVeh,leisure,1,1,0.163249511070731
1,22,LowIncNoVeh,home,1,1,1.0
1,13,LowIncNoVeh,leisure,3,2,1.0
1,7,HighIncVehSenior,leisure,1,1,0.6407712538536651
1,6,HighIncVeh,work,1,2,0.460821490137026
1,14,HighIncVeh,home,1,1,0.42102835751103207
1,18,HighIncVeh,leisure,1,1,0.0310906604422964
1,9,HighIncVeh,work,5,2,0.0711520457922309
1,8,LowIncNoVeh,work,1,1,1.0
1,12,LowIncNoVeh,leisure,2,3,0.38558228183696003
1,11,HighIncVeh,leisure,2,3,0.031077101007292007
1,10,HighIncVehSenior,home,1,1,0.6443114123045091
1,20,LowIncNoVeh,leisure,1,1,0.702249701765512
1,16,HighIncVeh,leisure,5,1,0.0223238540184707
1,12,HighIncNoVehSenior,work,1,1,1.0
1,11,HighIncVeh,other,1,4,0.8699671676756691
1,12,HighIncVeh,leisure,4,2,0.0631489792568919
1,13,HighIncVeh,leisure,1,1,0.0544271687745782
1,8,LowIncVeh,work,2,2,0.10097192886919802
1,7,HighIncNoVeh,work,1,2,0.44414911385405803
1,7,LowIncVeh,other,1,1,1.0
1,16,LowIncNoVeh,home,2,1,1.0
1,10,HighIncVeh,home,1,1,0.261505941858228
1,10,HighIncVeh,work,1,1,0.9600423534288879
1,9,HighIncVeh,work,1,2,0.41030560412434997
1,16,HighIncVeh,home,1,2,0.0285212677752339
1,9,HighIncVeh,leisure,1,1,0.0918666102196265
1,17,LowIncVeh,other,2,1,0.557798566934057
1,11,HighIncNoVehSenior,home,1,1,1.0
1,17,HighIncNoVeh,home,1,1,1.0
1,16,HighIncNoVeh,leisure,2,1,1.0
1,12,LowIncVehSenior,other,1,1,0.380496817653111
1,16,HighIncVeh,leisure,4,2,0.157791180078425
1,10,LowIncVehSenior,home,2,1,1.0
1,13,HighIncVeh,work,1,1,0.21501678695446
1,11,HighIncVeh,leisure,2,5,0.14564413470299
1,11,HighIncVeh,work,2,5,0.109788451289589
1,12,HighIncVeh,work,5,5,0.040362669208606004
1,8,HighIncVehSenior,leisure,1,1,0.499357149284091
1,6,HighIncVeh,home,1,1,0.298268267442043
1,10,LowIncNoVeh,leisure,1,4,0.163186115188896
1,16,HighIncNoVehSenior,leisure,1,1,1.0
1,6,HighIncVeh,home,2,1,0.7017317325579571
1,7,LowIncNoVeh,work,1,2,0.284760865229683
1,22,HighIncVeh,home,2,1,0.7496170803931059
1,11,LowIncVehSenior,home,2,1,0.9130707245837321
1,8,LowIncVehSenior,medical,1,3,1.0
1,0,LowIncVeh,other,6,1,1.0
1,7,LowIncVeh,work,1,4,0.15132812123650302
1,18,LowIncNoVeh,leisure,2,2,1.0
1,0,LowIncVeh,home,1,1,0.161340512879462
1,21,LowIncVeh,leisure,1,1,0.40239766409123706
1,17,LowIncVeh,leisure,4,1,0.265128648484355
1,12,HighIncNoVeh,work,1,1,1.0
1,14,LowIncVeh,work,3,6,0.22221531688100896
1,11,LowIncVeh,other,1,1,1.0
1,16,LowIncNoVeh,work,1,2,1.0
1,12,HighIncNoVeh,leisure,1,1,1.0
1,18,HighIncNoVeh,leisure,1,1,0.36098405054730104
1,9,HighIncNoVeh,work,1,1,1.0
1,15,LowIncNoVeh,work,1,3,0.22671774956898202
1,20,HighIncNoVeh,home,1,1,1.0
1,11,LowIncVeh,leisure,2,3,0.0241804784473621
1,9,HighIncNoVeh,leisure,1,1,1.0
1,15,LowIncNoVeh,home,1,1,1.0
1,7,LowIncVeh,work,1,1,0.21455777212333604
1,20,HighIncNoVeh,leisure,1,1,1.0
1,13,LowIncVeh,leisure,3,3,0.151510949464306
1,14,LowIncNoVeh,work,1,1,1.0
1,11,LowIncNoVeh,work,1,1,1.0
1,21,LowIncNoVeh,home,1,1,1.0
1,10,LowIncNoVeh,work,1,1,1.0
1,11,LowIncVeh,leisure,1,2,0.0241804784473621
1,19,HighIncVehSenior,leisure,1,1,0.652771887909001
1,18,HighIncVehSenior,home,5,1,0.9162643185187621
1,13,LowIncVeh,work,1,1,0.445406701579656
