MicrotypeID,Population,PopulationGroupTypeID
1,178,HighIncNoVehSenior
1,1934,HighIncNoVeh
1,4704,HighIncVehSenior
1,2129,LowIncNoVehSenior
1,20068,LowIncNoVeh
1,32280,LowIncVeh
1,9165,LowIncVehSenior
1,44845,HighIncVeh
2,51717,LowIncNoVeh
2,221045,HighIncVehSenior
2,790,HighIncNoVeh
2,206442,LowIncVehSenior
2,1427660,HighIncVeh
2,18412,LowIncNoVehSenior
2,808482,LowIncVeh
3,165961,LowIncVehSenior
3,213,HighIncNoVehSenior
3,48596,LowIncNoVeh
3,5789,HighIncNoVeh
3,129227,HighIncVehSenior
3,1136740,HighIncVeh
3,758345,LowIncVeh
3,33228,LowIncNoVehSenior
4,246805,LowIncVeh
4,109355,LowIncVehSenior
4,120032,HighIncVehSenior
4,320,HighIncNoVehSenior
4,7079,LowIncNoVehSenior
4,7957,HighIncNoVeh
4,720335,HighIncVeh
4,24368,LowIncNoVeh
5,6079,HighIncNoVeh
5,95881,LowIncNoVeh
5,1646996,LowIncVeh
5,11003,LowIncNoVehSenior
5,428293,HighIncVehSenior
5,4110,HighIncNoVehSenior
5,345658,LowIncVehSenior
5,3191060,HighIncVeh
6,52993,LowIncVehSenior
6,197547,LowIncVeh
6,55405,HighIncVehSenior
6,251030,HighIncVeh
