Mode,Intercept,PopulationGroupTypeID,BetaTravelTime,BetaAccessTime,BetaWaitTime,BetaTravelTime_Pooled,BetaAccessTime_Pooled,BetaWaitTime_Pooled,Intercept_Pooled,BetaTravelTimeMixed
bike,-1.7490789329404801,HighIncome,-0.05001930811527651,-0.122791022560873,-0.31272122444854,-0.0872179185808605,-0.187298622849245,-0.2437662619516,-2.33567954886947,-0.05001930811527651
bike,-1.9378495127753002,LowIncome,-0.02875752515721855,-0.168448172660359,-0.260013898336081,-0.0872179185808605,-0.187298622849245,-0.2437662619516,-2.33567954886947,-0.02875752515721855
bus,1.51077527238049,HighIncome,-0.10003861623055302,-0.122791022560873,-0.31272122444854,-0.0872179185808605,-0.187298622849245,-0.2437662619516,0.865337623275059,0.0
bus,1.3940531953318602,LowIncome,-0.0575150503144371,-0.168448172660359,-0.260013898336081,-0.0872179185808605,-0.187298622849245,-0.2437662619516,0.865337623275059,0.0
auto,0.0,HighIncome,-0.10003861623055302,-0.122791022560873,-0.31272122444854,-0.0872179185808605,-0.187298622849245,-0.2437662619516,0.0,0.0
auto,0.0,LowIncome,-0.0575150503144371,-0.168448172660359,-0.260013898336081,-0.0872179185808605,-0.187298622849245,-0.2437662619516,0.0,0.0
hv_pass,-1.6004611564591003,HighIncome,-0.10003861623055302,-0.122791022560873,-0.31272122444854,-0.0872179185808605,-0.187298622849245,-0.2437662619516,-1.35946966777614,0.0
hv_pass,-1.32039609633377,LowIncome,-0.0575150503144371,-0.168448172660359,-0.260013898336081,-0.0872179185808605,-0.187298622849245,-0.2437662619516,-1.35946966777614,0.0
rail,-0.73073852121877,HighIncome,-0.10003861623055302,-0.122791022560873,-0.31272122444854,-0.0872179185808605,-0.187298622849245,-0.2437662619516,-0.15759108229034602,0.0
rail,0.569710925845576,LowIncome,-0.0575150503144371,-0.168448172660359,-0.260013898336081,-0.0872179185808605,-0.187298622849245,-0.2437662619516,-0.15759108229034602,0.0
rail_l,0.31552085430299603,HighIncome,-0.10003861623055302,-0.122791022560873,-0.31272122444854,-0.0872179185808605,-0.187298622849245,-0.2437662619516,0.0953313028521612,0.0
rail_l,0.91041957230224,LowIncome,-0.0575150503144371,-0.168448172660359,-0.260013898336081,-0.0872179185808605,-0.187298622849245,-0.2437662619516,0.0953313028521612,0.0
taxi,-3.46928244988702,HighIncome,-0.10003861623055302,-0.122791022560873,-0.31272122444854,-0.0872179185808605,-0.187298622849245,-0.2437662619516,-3.5843988081851204,0.0
taxi,-2.76775987323413,LowIncome,-0.0575150503144371,-0.168448172660359,-0.260013898336081,-0.0872179185808605,-0.187298622849245,-0.2437662619516,-3.5843988081851204,0.0
walk,1.97670914659334,HighIncome,-0.10003861623055302,-0.122791022560873,-0.31272122444854,-0.0872179185808605,-0.187298622849245,-0.2437662619516,1.6711165896366298,0.0
walk,0.756142432850964,LowIncome,-0.0575150503144371,-0.168448172660359,-0.260013898336081,-0.0872179185808605,-0.187298622849245,-0.2437662619516,1.6711165896366298,0.0
