cost_group,f_sys,MicrotypeID,fsys_weight,microtype,Location,Functional Class,Category,Resurface Existing Lane (RESURFACING),"Add Lane, If No Obstacles (Normal Cost)","Add Lane, If Obstacle Code A",cost_class,restripe,add_obsA,add_noobs,LaneDedicationPerLaneMile,ROWConstructionPerLaneMile,Unnamed: 17
1,7,6,0.0,6,RURAL,Local,Flat,192000,1043000,2808000,rural_flat,192000,2808000,1043000,265530.6072,1340692.832,0.030193807000000003
1,5,6,0.528089555,6,RURAL,Major Collector,Flat,240000,1228000,3382000,rural_flat,240000,3382000,1228000,265530.6072,1340692.832,0.030193807000000003
1,4,6,0.195911704,6,RURAL,Minor Arterial,Flat,269000,1360000,3685000,rural_flat,269000,3685000,1360000,265530.6072,1340692.832,0.030193807000000003
1,3,6,0.136121649,6,RURAL,Other Principal Arterial,Flat,296000,1491000,4073000,rural_flat,296000,4073000,1491000,265530.6072,1340692.832,0.030193807000000003
1,2,6,0.030496062999999997,6,RURAL,Other Freeway and Expressway,Flat,316000,1557000,4254000,rural_flat,316000,4254000,1557000,265530.6072,1340692.832,0.030193807000000003
1,1,6,0.10460744699999999,6,RURAL,Interstate,Flat,336000,1625000,4511000,rural_flat,336000,4511000,1625000,265530.6072,1340692.832,0.030193807000000003
1,6,6,0.004773582,6,RURAL,Minor Collector,Flat,212000,1117000,3046000,rural_flat,212000,3046000,1117000,265530.6072,1340692.832,0.030193807000000003
1,1,3,0.387105149,3,RURAL,Interstate,Flat,336000,1625000,4511000,rural_flat,336000,4511000,1625000,291859.9074,1448033.95,0.033187743
1,2,3,0.077701672,3,RURAL,Other Freeway and Expressway,Flat,316000,1557000,4254000,rural_flat,316000,4254000,1557000,291859.9074,1448033.95,0.033187743
1,3,3,0.077892431,3,RURAL,Other Principal Arterial,Flat,296000,1491000,4073000,rural_flat,296000,4073000,1491000,291859.9074,1448033.95,0.033187743
1,4,3,0.160791593,3,RURAL,Minor Arterial,Flat,269000,1360000,3685000,rural_flat,269000,3685000,1360000,291859.9074,1448033.95,0.033187743
1,5,3,0.28829394,3,RURAL,Major Collector,Flat,240000,1228000,3382000,rural_flat,240000,3382000,1228000,291859.9074,1448033.95,0.033187743
1,6,3,0.008094175,3,RURAL,Minor Collector,Flat,212000,1117000,3046000,rural_flat,212000,3046000,1117000,291859.9074,1448033.95,0.033187743
1,7,3,0.000121035,3,RURAL,Local,Flat,192000,1043000,2808000,rural_flat,192000,2808000,1043000,291859.9074,1448033.95,0.033187743
4,1,2,0.015088313,2,URBAN,Interstate,Small Urban,589000,2379000,5848000,urban_xsmall,589000,5848000,2379000,466671.5865,4370088.009,0.053065790999999994
4,2,2,0.030996334,2,URBAN,Other Freeway and Expressway,Small Urban,557000,2287000,5378000,urban_xsmall,557000,5378000,2287000,466671.5865,4370088.009,0.053065790999999994
4,7,2,5.24e-06,2,URBAN,Local,Small Urban,341000,1497000,3003000,urban_xsmall,341000,3003000,1497000,466671.5865,4370088.009,0.053065790999999994
4,3,2,0.234081023,2,URBAN,Other Principal Arterial,Small Urban,527000,2199000,5019000,urban_xsmall,527000,5019000,2199000,466671.5865,4370088.009,0.053065790999999994
4,4,2,0.30827766100000004,2,URBAN,Minor Arterial,Small Urban,476000,2000000,4404000,urban_xsmall,476000,4404000,2000000,466671.5865,4370088.009,0.053065790999999994
4,5,2,0.402786685,2,URBAN,Major Collector,Small Urban,415000,1760000,3856000,urban_xsmall,415000,3856000,1760000,466671.5865,4370088.009,0.053065790999999994
4,6,2,0.008764744,2,URBAN,Minor Collector,Small Urban,372000,1600000,3364000,urban_xsmall,372000,3364000,1600000,466671.5865,4370088.009,0.053065790999999994
5,2,4,0.007482450999999999,4,URBAN,Other Freeway and Expressway,Small Urbanized,630000,2653000,7091000,urban_small,630000,7091000,2653000,512446.7823,5694236.172,0.058270944000000005
5,7,5,0.0,5,URBAN,Local,Small Urbanized,385000,1699000,4161000,urban_small,385000,4161000,1699000,503331.6675,5605297.597,0.057234453
5,6,5,0.244334882,5,URBAN,Minor Collector,Small Urbanized,419000,1824000,4605000,urban_small,419000,4605000,1824000,503331.6675,5605297.597,0.057234453
5,5,5,0.40145561399999996,5,URBAN,Major Collector,Small Urbanized,469000,2021000,5216000,urban_small,469000,5216000,2021000,503331.6675,5605297.597,0.057234453
5,4,5,0.166215021,5,URBAN,Minor Arterial,Small Urbanized,539000,2305000,5928000,urban_small,539000,5928000,2305000,503331.6675,5605297.597,0.057234453
5,3,5,0.030307852000000003,5,URBAN,Other Principal Arterial,Small Urbanized,596000,2548000,6673000,urban_small,596000,6673000,2548000,503331.6675,5605297.597,0.057234453
5,2,5,0.0,5,URBAN,Other Freeway and Expressway,Small Urbanized,630000,2653000,7091000,urban_small,630000,7091000,2653000,503331.6675,5605297.597,0.057234453
5,1,5,0.157686611,5,URBAN,Interstate,Small Urbanized,666000,2761000,7601000,urban_small,666000,7601000,2761000,503331.6675,5605297.597,0.057234453
5,7,4,0.0,4,URBAN,Local,Small Urbanized,385000,1699000,4161000,urban_small,385000,4161000,1699000,512446.7823,5694236.172,0.058270944000000005
5,6,4,0.00875952,4,URBAN,Minor Collector,Small Urbanized,419000,1824000,4605000,urban_small,419000,4605000,1824000,512446.7823,5694236.172,0.058270944000000005
5,5,4,0.5473603920000001,4,URBAN,Major Collector,Small Urbanized,469000,2021000,5216000,urban_small,469000,5216000,2021000,512446.7823,5694236.172,0.058270944000000005
5,3,4,0.16638725,4,URBAN,Other Principal Arterial,Small Urbanized,596000,2548000,6673000,urban_small,596000,6673000,2548000,512446.7823,5694236.172,0.058270944000000005
5,1,4,0.020851778,4,URBAN,Interstate,Small Urbanized,666000,2761000,7601000,urban_small,666000,7601000,2761000,512446.7823,5694236.172,0.058270944000000005
5,4,4,0.249158615,4,URBAN,Minor Arterial,Small Urbanized,539000,2305000,5928000,urban_small,539000,5928000,2305000,512446.7823,5694236.172,0.058270944000000005
