SubnetworkID,Dedicated,Length,MFD,MicrotypeID,ModesAllowed,Type,avgLinkLength,capacityFlow,densityMax,smoothingFactor,vMax,waveSpeed
150,False,1360142.2717332907,loder,1,Auto-Bus-Bike,Road,50.0,0.18,0.15,0.13,17.0,3.78
151,True,272028.4543466581,fixed,1,Walk,Sidewalk,,,,,1.35,
152,True,0.0,bottleneck,1,Bus,Road,50.0,0.4,,,17.0,
153,True,0.0,fixed,1,Bike,Road,,,,,5.0,
154,True,518030.4526,fixed,1,Rail,Rail,,,,,20.0,
155,False,22971224.43383023,loder,2,Auto-Bus-Bike,Road,50.0,0.18,0.15,0.13,17.0,3.78
156,True,4594244.886766046,fixed,2,Walk,Sidewalk,,,,,1.35,
157,True,0.0,bottleneck,2,Bus,Road,50.0,0.4,,,17.0,
158,True,0.0,fixed,2,Bike,Road,,,,,5.0,
159,True,518030.4526,fixed,2,Rail,Rail,,,,,20.0,
160,False,53772579.74503119,bottleneck,3,Auto-Bus-Bike,Road,50.0,0.4,0.0,0.0,28.0,0.0
161,True,10754515.94900624,fixed,3,Walk,Sidewalk,,,,,1.35,
162,True,0.0,bottleneck,3,Bus,Road,50.0,0.4,,,17.0,
163,True,0.0,fixed,3,Bike,Road,,,,,5.0,
164,True,518030.4526,fixed,3,Rail,Rail,,,,,20.0,
165,False,15135417.976882095,bottleneck,4,Auto-Bus-Bike,Road,50.0,0.38,0.0,0.0,18.8,0.0
166,True,3027083.5953764194,fixed,4,Walk,Sidewalk,,,,,1.35,
167,True,0.0,bottleneck,4,Bus,Road,50.0,0.4,,,17.0,
168,True,0.0,fixed,4,Bike,Road,,,,,5.0,
169,True,518030.4526,fixed,4,Rail,Rail,,,,,20.0,
170,False,209361520.4016104,bottleneck,5,Auto-Bus-Bike,Road,50.0,0.38,0.0,0.0,18.8,0.0
171,True,41872304.08032208,fixed,5,Walk,Sidewalk,,,,,1.35,
172,True,0.0,bottleneck,5,Bus,Road,50.0,0.4,,,17.0,
173,True,0.0,fixed,5,Bike,Road,,,,,5.0,
174,True,518030.4526,fixed,5,Rail,Rail,,,,,20.0,
175,False,304320661.7360347,bottleneck,6,Auto-Bus-Bike,Road,50.0,0.38,0.0,0.0,18.8,0.0
176,True,60864132.34720694,fixed,6,Walk,Sidewalk,,,,,1.35,
177,True,0.0,bottleneck,6,Bus,Road,50.0,0.4,,,17.0,
178,True,0.0,fixed,6,Bike,Road,,,,,5.0,
179,True,518030.4526,fixed,6,Rail,Rail,,,,,20.0,
