MicrotypeID,Population,PopulationGroupTypeID
1,1276038,LowIncVeh
1,1809173,HighIncVeh
1,67532,LowIncNoVehSenior
1,2185,HighIncNoVehSenior
1,18326,HighIncNoVeh
1,199411,LowIncVehSenior
1,180471,HighIncVehSenior
1,208816,LowIncNoVeh
2,1749441,HighIncVeh
2,3250,HighIncNoVehSenior
2,7497,LowIncNoVehSenior
2,31099,LowIncNoVeh
2,608593,LowIncVeh
2,228175,HighIncVehSenior
2,119414,LowIncVehSenior
3,711,HighIncNoVehSenior
3,18806,LowIncNoVehSenior
3,146298,HighIncVehSenior
3,3938,LowIncNoVeh
3,1305603,HighIncVeh
3,70067,LowIncVehSenior
3,409167,LowIncVeh
4,11237,LowIncVehSenior
4,30441,LowIncVeh
4,31789,HighIncVehSenior
4,256914,HighIncVeh
4,1283,LowIncNoVehSenior
5,2634,LowIncNoVehSenior
5,72524,HighIncVehSenior
5,126194,LowIncVeh
5,25687,LowIncVehSenior
5,15733,LowIncNoVeh
5,440104,HighIncVeh
5,1253,HighIncNoVeh
6,1039,HighIncVeh
6,7710,LowIncVehSenior
