PopulationGroupTypeID,TripPurposeID,Mode,Intercept,BetaWaitAccessTime,BetaTravelTime,BetaMonetaryCost,BikeShare_Bike,Intercept_Pooled,BetaWaitAccessTime_Pooled,BetaTravelTime_Pooled,BetaMonetaryCost_Pooled,BikeShare_Bike_Pooled,Intercept_Pooled_EW,BetaWaitAccessTime_Pooled_EW,BetaTravelTime_Pooled_EW,BetaMonetaryCost_Pooled_EW,BikeShare_Bike_Pooled_EW,BetaWaitTime,BetaAccessTime,BetaWaitTime_Pooled,BetaAccessTime_Pooled,BetaTravelTimeMixed
LowIncNoVeh,work,auto,-3.602,-0.128,-0.019,-0.047,0.0,-3.466,-0.142,-0.044000000000000004,-0.022000000000000002,0.0,-3.503,-0.13,-0.044000000000000004,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
LowIncVeh,work,auto,0.0,-0.128,-0.019,-0.047,0.0,0.0,-0.142,-0.044000000000000004,-0.022000000000000002,0.0,0.0,-0.13,-0.044000000000000004,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
HighIncNoVeh,work,auto,-3.602,-0.14800000000000002,-0.065,-0.019,0.0,-3.466,-0.142,-0.044000000000000004,-0.022000000000000002,0.0,-3.503,-0.13,-0.044000000000000004,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
HighIncVeh,work,auto,0.0,-0.14800000000000002,-0.065,-0.019,0.0,0.0,-0.142,-0.044000000000000004,-0.022000000000000002,0.0,0.0,-0.13,-0.044000000000000004,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
LowIncNoVeh,work,bus,-2.8960000000000004,-0.128,-0.012,-0.047,0.0,-2.875,-0.142,-0.027999999999999997,-0.022000000000000002,0.0,-3.0580000000000003,-0.13,-0.027999999999999997,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
LowIncVeh,work,bus,-2.8960000000000004,-0.128,-0.012,-0.047,0.0,-2.875,-0.142,-0.027999999999999997,-0.022000000000000002,0.0,-3.0580000000000003,-0.13,-0.027999999999999997,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
HighIncNoVeh,work,bus,-2.8960000000000004,-0.14800000000000002,-0.049,-0.019,0.0,-2.875,-0.142,-0.027999999999999997,-0.022000000000000002,0.0,-3.0580000000000003,-0.13,-0.027999999999999997,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
HighIncVeh,work,bus,-2.8960000000000004,-0.14800000000000002,-0.049,-0.019,0.0,-2.875,-0.142,-0.027999999999999997,-0.022000000000000002,0.0,-3.0580000000000003,-0.13,-0.027999999999999997,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
LowIncNoVeh,work,rail,-3.234,-0.128,-0.012,-0.047,0.0,-3.153,-0.142,-0.027999999999999997,-0.022000000000000002,0.0,-3.385,-0.13,-0.027999999999999997,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
LowIncVeh,work,rail,-3.234,-0.128,-0.012,-0.047,0.0,-3.153,-0.142,-0.027999999999999997,-0.022000000000000002,0.0,-3.385,-0.13,-0.027999999999999997,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
HighIncNoVeh,work,rail,-3.234,-0.14800000000000002,-0.049,-0.019,0.0,-3.153,-0.142,-0.027999999999999997,-0.022000000000000002,0.0,-3.385,-0.13,-0.027999999999999997,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
HighIncVeh,work,rail,-3.234,-0.14800000000000002,-0.049,-0.019,0.0,-3.153,-0.142,-0.027999999999999997,-0.022000000000000002,0.0,-3.385,-0.13,-0.027999999999999997,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
LowIncNoVeh,work,ridehail,-5.186,-0.128,-0.019,-0.047,0.0,-5.191,-0.142,-0.044000000000000004,-0.022000000000000002,0.0,-5.166,-0.13,-0.044000000000000004,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
LowIncVeh,work,ridehail,-5.186,-0.128,-0.019,-0.047,0.0,-5.191,-0.142,-0.044000000000000004,-0.022000000000000002,0.0,-5.166,-0.13,-0.044000000000000004,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
HighIncNoVeh,work,ridehail,-5.186,-0.14800000000000002,-0.065,-0.019,0.0,-5.191,-0.142,-0.044000000000000004,-0.022000000000000002,0.0,-5.166,-0.13,-0.044000000000000004,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
HighIncVeh,work,ridehail,-5.186,-0.14800000000000002,-0.065,-0.019,0.0,-5.191,-0.142,-0.044000000000000004,-0.022000000000000002,0.0,-5.166,-0.13,-0.044000000000000004,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
LowIncNoVeh,work,bike,-3.168,-0.128,-0.040999999999999995,-0.047,0.654,-3.1319999999999997,-0.142,-0.081,-0.022000000000000002,0.667,-3.133,-0.13,-0.081,-0.019,0.6659999999999999,-0.128,-0.128,-0.142,-0.142,-0.040999999999999995
LowIncVeh,work,bike,-3.168,-0.128,-0.040999999999999995,-0.047,0.654,-3.1319999999999997,-0.142,-0.081,-0.022000000000000002,0.667,-3.133,-0.13,-0.081,-0.019,0.6659999999999999,-0.128,-0.128,-0.142,-0.142,-0.040999999999999995
HighIncNoVeh,work,bike,-3.168,-0.14800000000000002,-0.0415,-0.019,0.654,-3.1319999999999997,-0.142,-0.081,-0.022000000000000002,0.667,-3.133,-0.13,-0.081,-0.04,0.6659999999999999,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,-0.0415
HighIncVeh,work,bike,-3.168,-0.14800000000000002,-0.0415,-0.019,0.654,-3.1319999999999997,-0.142,-0.081,-0.022000000000000002,0.667,-3.133,-0.13,-0.081,-0.04,0.6659999999999999,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,-0.0415
LowIncNoVeh,work,walk,0.825,-0.128,-0.08199999999999999,-0.047,0.0,0.825,-0.142,-0.081,-0.022000000000000002,0.0,0.831,-0.13,-0.081,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
LowIncVeh,work,walk,0.825,-0.128,-0.08199999999999999,-0.047,0.0,0.825,-0.142,-0.081,-0.022000000000000002,0.0,0.831,-0.13,-0.081,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
HighIncNoVeh,work,walk,0.825,-0.14800000000000002,-0.083,-0.019,0.0,0.825,-0.142,-0.081,-0.022000000000000002,0.0,0.831,-0.13,-0.081,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
HighIncVeh,work,walk,0.825,-0.14800000000000002,-0.083,-0.019,0.0,0.825,-0.142,-0.081,-0.022000000000000002,0.0,0.831,-0.13,-0.081,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
LowIncNoVehSenior,work,auto,-3.602,-0.128,-0.019,-0.047,0.0,-3.466,-0.142,-0.044000000000000004,-0.022000000000000002,0.0,-3.503,-0.13,-0.044000000000000004,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
LowIncVehSenior,work,auto,0.0,-0.128,-0.019,-0.047,0.0,0.0,-0.142,-0.044000000000000004,-0.022000000000000002,0.0,0.0,-0.13,-0.044000000000000004,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
HighIncNoVehSenior,work,auto,-3.602,-0.14800000000000002,-0.065,-0.019,0.0,-3.466,-0.142,-0.044000000000000004,-0.022000000000000002,0.0,-3.503,-0.13,-0.044000000000000004,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
HighIncVehSenior,work,auto,0.0,-0.14800000000000002,-0.065,-0.019,0.0,0.0,-0.142,-0.044000000000000004,-0.022000000000000002,0.0,0.0,-0.13,-0.044000000000000004,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
LowIncNoVehSenior,work,bus,-2.8960000000000004,-0.128,-0.012,-0.047,0.0,-2.875,-0.142,-0.027999999999999997,-0.022000000000000002,0.0,-3.0580000000000003,-0.13,-0.027999999999999997,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
LowIncVehSenior,work,bus,-2.8960000000000004,-0.128,-0.012,-0.047,0.0,-2.875,-0.142,-0.027999999999999997,-0.022000000000000002,0.0,-3.0580000000000003,-0.13,-0.027999999999999997,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
HighIncNoVehSenior,work,bus,-2.8960000000000004,-0.14800000000000002,-0.049,-0.019,0.0,-2.875,-0.142,-0.027999999999999997,-0.022000000000000002,0.0,-3.0580000000000003,-0.13,-0.027999999999999997,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
HighIncVehSenior,work,bus,-2.8960000000000004,-0.14800000000000002,-0.049,-0.019,0.0,-2.875,-0.142,-0.027999999999999997,-0.022000000000000002,0.0,-3.0580000000000003,-0.13,-0.027999999999999997,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
LowIncNoVehSenior,work,rail,-3.234,-0.128,-0.012,-0.047,0.0,-3.153,-0.142,-0.027999999999999997,-0.022000000000000002,0.0,-3.385,-0.13,-0.027999999999999997,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
LowIncVehSenior,work,rail,-3.234,-0.128,-0.012,-0.047,0.0,-3.153,-0.142,-0.027999999999999997,-0.022000000000000002,0.0,-3.385,-0.13,-0.027999999999999997,-0.019,0.0,-0.128,-0.128,-0.142,-0.142,0.0
HighIncNoVehSenior,work,rail,-3.234,-0.14800000000000002,-0.049,-0.019,0.0,-3.153,-0.142,-0.027999999999999997,-0.022000000000000002,0.0,-3.385,-0.13,-0.027999999999999997,-0.04,0.0,-0.14800000000000002,-0.14800000000000002,-0.142,-0.142,0.0
