Mode,MicrotypeID,LaneDedicationPerLaneMile,ROWConstructionPerLaneMile
bike,6,481000.0,6769000.0
bike,5,481000.0,6769000.0
bike,3,481000.0,6769000.0
bike,1,481000.0,6769000.0
bike,4,385000.0,4161000.0
bike,2,481000.0,6769000.0
bus,6,665177.003725106,9166279.32850031
bus,5,666387.99620586,9160735.48393685
bus,4,541079.886883729,6021080.42377925
bus,3,740800.737196743,9986682.08126881
bus,1,682365.619370722,9328176.46617008
bus,2,676942.027301986,9267549.9634209
hv,6,665177.003725106,9166279.32850031
hv,5,666387.99620586,9160735.48393685
hv,4,541079.886883729,6021080.42377925
hv,3,740800.737196743,9986682.08126881
hv,2,676942.027301986,9267549.9634209
hv,1,682365.619370722,9328176.46617008
