SubnetworkID,Dedicated,Length,MFD,MicrotypeID,ModesAllowed,Type,a,avgLinkLength,b,capacityFlow,k_jam,smoothingFactor,vMax,waveSpeed
0,FALSE,14647675.73,modified-quadratic,1,Auto-Bus-Bike,Road,-97.3,50,0.12,,0.5,,11.6,
1,TRUE,2929535.146,fixed,1,Walk,Sidewalk,,,,,,,1.35,
2,TRUE,0,bottleneck,1,Bus,Road,,50,,0.4,,,17,
3,TRUE,0,fixed,1,Bike,Road,,,,,0.15,,5,
4,FALSE,13743357.42,modified-quadratic,2,Auto-Bus-Bike,Road,-183,50,0.0849,,0.0849,,,
5,TRUE,2748671.483,fixed,2,Walk,Sidewalk,,,,,,,1.35,
6,TRUE,0,bottleneck,2,Bus,Road,,50,,0.4,,,17,
7,TRUE,0,fixed,2,Bike,Road,,,,,0.15,,5,
8,FALSE,17855159.52,modified-quadratic,3,Auto-Bus-Bike,Road,-357,50,0.0632,,0.0632,,,
9,TRUE,3571031.904,fixed,3,Walk,Sidewalk,,,,,,,1.35,
10,TRUE,0,bottleneck,3,Bus,Road,,50,,0.4,,,17,
11,TRUE,0,fixed,3,Bike,Road,,,,,0.15,,5,
12,FALSE,2019053.871,modified-quadratic,4,Auto-Bus-Bike,Road,-243,50,0.0784,,0.0784,,,
13,TRUE,403810.7742,fixed,4,Walk,Sidewalk,,,,,,,1.35,
14,TRUE,0,bottleneck,4,Bus,Road,,50,,0.4,,,17,
15,TRUE,0,fixed,4,Bike,Road,,,,,0.15,,5,
16,FALSE,6260044.299,modified-quadratic,5,Auto-Bus-Bike,Road,-240,50,0.0791,,0.0791,,,
17,TRUE,1252008.86,fixed,5,Walk,Sidewalk,,,,,,,1.35,
18,TRUE,0,bottleneck,5,Bus,Road,,50,,0.4,,,17,
19,TRUE,0,fixed,5,Bike,Road,,,,,0.15,,5,
20,FALSE,1367682.994,rural,6,Auto-Bus-Bike,Road,-160,50,0.137,,0.0376,,,
21,TRUE,273536.5988,fixed,6,Walk,Sidewalk,,,,,,,1.35,
22,TRUE,0,bottleneck,6,Bus,Road,,50,,0.4,,,17,
23,TRUE,0,fixed,6,Bike,Road,,,,,0.15,,5,
