TripPurposeID,OriginMicrotypeID,DestinationMicrotypeID,DistanceBinID,Portion
home,1,1,xlong,0.142567046187845
home,1,5,short,0.11287015130776899
home,1,5,medium,0.11778380988894001
home,1,5,long,0.25148656981621
home,1,5,xlong,0.517859468987082
home,4,4,long,0.112147272511985
home,4,4,xlong,0.0104851876351812
home,3,3,xlong,0.20163035370478
home,3,3,long,0.23525614649809498
home,4,5,xlong,0.4973523112724771
home,4,5,short,0.113041612838678
home,4,5,medium,0.248417387123097
home,4,5,long,0.141188688765748
home,4,4,medium,0.345656405618942
home,1,4,short,0.0591073687784316
home,1,4,long,0.22279718725838102
home,1,4,xlong,0.474004774107318
home,3,2,short,0.12386391565663099
home,3,2,long,0.31667295518984
home,3,2,medium,0.251928878008513
home,5,1,xlong,0.553701758317516
home,5,1,medium,0.316131634847675
home,5,1,long,0.113614113264678
home,3,5,medium,0.160678921090818
home,3,2,xlong,0.30753425114501504
home,2,3,xlong,0.280270426169012
home,2,3,short,0.148558987498159
home,1,4,medium,0.24409066985587
home,2,3,long,0.288165524682075
home,4,4,short,0.531711134233892
home,3,3,medium,0.184219176541863
home,3,5,short,0.0810725229950564
home,3,5,long,0.27823015023930603
home,2,2,xlong,0.135228207306014
home,2,2,medium,0.24895386226416896
home,4,1,xlong,0.335179361907959
home,4,1,long,0.43284781242444004
home,4,1,medium,0.18989019791079398
home,4,1,short,0.0420826277568061
home,2,2,short,0.414950459045859
home,2,2,long,0.200867471383957
home,2,1,long,0.363578969415741
home,2,1,medium,0.17851767729534
home,3,3,short,0.378894323255262
home,2,1,xlong,0.273962011053254
home,3,4,short,0.16390775128542903
home,3,4,medium,0.183883263509099
home,4,2,xlong,0.41066509585845895
home,4,2,long,0.116999277432172
home,4,2,medium,0.31490044759588
home,4,2,short,0.157435179113489
home,3,4,long,0.46966312702257296
home,3,4,xlong,0.18254585818289998
home,4,3,medium,0.24293905289792703
home,4,3,xlong,0.261000598287281
home,4,3,short,0.0557038195471801
home,4,3,long,0.440356529267613
home,2,1,short,0.18394134223566502
home,5,2,xlong,0.176870777168397
home,5,1,short,0.0165524935701313
home,5,2,long,0.39690346642413
home,5,5,short,0.405329917055085
home,5,5,long,0.22356848536401303
home,5,2,medium,0.30824120036499203
home,1,2,xlong,0.369503085203925
home,1,2,long,0.25755518252319
home,1,2,short,0.170301908276268
home,5,6,xlong,1.0
home,2,5,short,0.0893441243150281
home,6,1,long,0.25636856593796803
home,6,1,medium,0.30052646932154903
home,6,1,xlong,0.44310496474048294
home,2,5,medium,0.252876199885213
home,5,5,xlong,0.113986316052649
home,2,5,xlong,0.31760641858180894
home,6,2,long,0.0756271023597816
home,6,2,xlong,0.924372897640218
home,2,4,xlong,0.196468683492705
home,2,4,long,0.5610339819092149
home,6,3,xlong,1.0
home,2,4,medium,0.164169815388995
home,6,4,medium,1.0
home,6,5,xlong,1.0
home,2,4,short,0.0783275192090847
home,1,1,medium,0.22289526535193696
home,1,1,short,0.4474524429905
