ModesAllowed,SubnetworkID,Mode
Auto-Bus-Bike,0,auto
Auto-Bus-Bike,12,bike
Auto-Bus-Bike,16,auto
Auto-Bus-Bike,8,bike
Auto-Bus-Bike,8,bus
Auto-Bus-Bike,8,auto
Auto-Bus-Bike,16,bus
Auto-Bus-Bike,16,bike
Auto-Bus-Bike,12,auto
Auto-Bus-Bike,12,bus
Auto-Bus-Bike,4,bus
Auto-Bus-Bike,4,auto
Auto-Bus-Bike,20,auto
Auto-Bus-Bike,20,bus
Auto-Bus-Bike,20,bike
Auto-Bus-Bike,0,bike
Auto-Bus-Bike,0,bus
Auto-Bus-Bike,4,bike
Bike,15,bike
Bike,19,bike
Bike,11,bike
Bike,7,bike
Bike,3,bike
Bike,23,bike
Bus,14,bus
Bus,10,bus
Bus,6,bus
Bus,18,bus
Bus,2,bus
Bus,22,bus
Walk,13,walk
Walk,9,walk
Walk,17,walk
Walk,5,walk
Walk,1,walk
Walk,21,walk
