HomeMicrotypeID,TimePeriodID,PopulationGroupTypeID,TripPurposeID,OriginMicrotypeID,DestinationMicrotypeID,Portion
1,11,HighIncVehSenior,home,1,1,0.578471074678381
1,17,HighIncVeh,other,1,4,0.0653348828858148
1,17,HighIncVeh,medical,1,3,0.580893559702278
1,10,HighIncVeh,work,3,1,0.0100165133803578
1,10,LowIncVeh,home,1,3,0.0523493697487612
1,6,LowIncVeh,work,1,3,0.263478661159902
1,9,HighIncVeh,work,2,2,0.0294806010345527
1,10,HighIncVeh,work,2,2,0.0685153932305191
1,16,HighIncVeh,work,1,2,0.18750033890670395
1,14,HighIncVeh,work,2,2,0.0147655945308915
1,17,HighIncVeh,other,3,1,0.0685209749451407
1,1,HighIncVeh,home,3,1,0.13338113711540303
1,7,HighIncVeh,other,1,4,0.0275250972227906
1,7,HighIncVeh,work,1,1,0.44980882002523603
1,7,HighIncVeh,other,1,1,0.514628308554114
1,17,HighIncVeh,other,2,2,0.0529010460593856
1,11,HighIncVeh,leisure,2,3,0.0269794416046966
1,13,HighIncVeh,other,3,3,0.0413148000673438
1,15,HighIncVeh,work,3,1,0.0329539291646778
1,9,HighIncVeh,leisure,1,3,0.151591954564509
1,14,HighIncVeh,other,1,2,0.0466879473187391
1,14,HighIncVeh,other,2,1,0.100644035433096
1,13,HighIncVeh,other,3,4,0.069593074386366
1,15,HighIncVeh,leisure,1,1,0.368181426419559
1,14,HighIncVeh,home,2,1,0.206264828793534
1,18,HighIncVeh,home,1,1,0.5634666266884271
1,6,HighIncVeh,work,1,6,0.0362191423942188
1,17,HighIncVeh,home,4,1,0.012906211364876002
1,8,HighIncVeh,work,4,1,0.018586407682762002
1,11,HighIncVeh,leisure,2,5,0.015491825378943003
1,11,HighIncVeh,leisure,5,2,0.0130668412106962
1,8,LowIncVehSenior,medical,1,1,1.0
1,7,HighIncVehSenior,work,1,3,0.26062674304357203
1,8,HighIncVehSenior,home,6,1,0.0431571138602344
1,14,HighIncVehSenior,work,3,1,0.11446035476513301
1,7,HighIncVehSenior,leisure,1,6,0.0466357145895121
1,12,LowIncVehSenior,home,1,1,0.42907885568073495
1,11,LowIncVehSenior,leisure,1,1,0.665434616794383
1,23,HighIncVehSenior,home,1,1,1.0
1,18,HighIncVehSenior,leisure,1,1,0.40544893054742703
1,20,HighIncVehSenior,home,1,1,0.778373111399915
1,17,LowIncVehSenior,home,1,1,0.5486123735999591
1,10,HighIncVehSenior,leisure,1,1,0.476597020446354
1,18,HighIncVeh,leisure,1,3,0.107284023560212
1,5,HighIncVeh,leisure,1,1,0.531240226878851
1,0,HighIncVeh,home,1,1,0.159719567513909
1,22,HighIncVeh,other,3,3,0.30031424161136
1,18,HighIncVeh,leisure,3,3,0.0550331106663339
1,21,HighIncVeh,leisure,3,1,0.012767750981749999
1,12,HighIncVeh,leisure,1,1,0.374575606855982
1,23,HighIncVeh,home,3,1,0.29647101959746996
1,18,HighIncVeh,other,1,3,0.0647375496314633
1,13,HighIncVehSenior,other,1,3,0.104792863776145
1,11,HighIncVehSenior,home,3,1,0.21187778922907397
1,13,HighIncVeh,work,3,1,0.0520753334505457
1,14,HighIncVeh,home,2,2,0.0177935395766038
1,6,HighIncVeh,leisure,1,3,0.19071156234216102
1,14,HighIncVeh,leisure,1,2,0.0764355260375678
1,14,LowIncVeh,leisure,1,1,0.368750117660527
1,16,HighIncVeh,work,2,3,0.0418753760686119
1,15,HighIncVeh,work,3,2,0.0658006531989723
1,12,HighIncVeh,leisure,1,4,0.0219042648459417
1,8,HighIncVehSenior,other,1,3,0.0754583907757267
1,9,HighIncVehSenior,medical,3,3,0.269100037702246
1,10,LowIncVeh,leisure,3,1,0.0649624524694595
1,9,LowIncVeh,school,1,2,0.398740624297655
1,18,LowIncVeh,other,3,2,0.251706926687413
1,15,LowIncVeh,school,1,2,0.349892005793096
1,12,LowIncVeh,leisure,1,2,0.0603872591728256
1,14,LowIncVeh,leisure,1,2,0.15481881937383
1,12,LowIncVeh,other,1,1,0.725358908568893
1,16,HighIncVeh,leisure,3,1,0.0236319698816911
1,12,HighIncVeh,medical,1,1,0.434108890588765
1,13,LowIncVehSenior,home,1,1,0.9425019437903629
1,14,HighIncVeh,medical,1,1,0.41895565854828604
1,4,LowIncVehSenior,medical,1,1,1.0
1,17,HighIncVeh,leisure,2,3,0.0210196699247008
1,16,LowIncVehSenior,leisure,1,2,0.0382132800584379
1,15,LowIncVehSenior,other,2,1,0.0785128453538221
1,9,LowIncVehSenior,medical,3,1,0.0473267784780505
1,12,LowIncVeh,other,3,2,0.0514183972585659
1,12,LowIncVeh,leisure,3,3,0.0074550702530864
1,12,HighIncVeh,school,1,2,0.624553979138648
1,8,HighIncVeh,school,1,1,0.4458516603694
1,19,HighIncVeh,leisure,1,1,0.448366541950294
1,8,HighIncVeh,work,1,5,0.0253554536849318
1,8,HighIncVeh,work,3,2,0.00421402762453106
1,11,HighIncVeh,leisure,3,3,0.0384994228619734
1,15,HighIncVeh,medical,2,2,0.285344468399382
1,12,HighIncVeh,work,3,3,0.10341097598674501
1,10,HighIncVeh,work,2,3,0.013550953121453999
1,13,HighIncVeh,other,1,1,0.273149473071042
1,16,HighIncVeh,other,2,2,0.0178170442532631
1,14,HighIncVeh,other,4,2,0.028411211638051
1,14,HighIncVeh,leisure,1,1,0.509826139147903
1,10,HighIncVeh,home,3,1,0.139320004729193
1,16,HighIncVeh,leisure,4,2,0.0198502992626008
1,8,HighIncVeh,work,2,3,0.019184005228343997
1,17,LowIncVehSenior,leisure,1,1,0.738824115940305
1,9,HighIncVeh,work,1,1,0.544971658270051
1,18,LowIncVehSenior,home,1,1,0.959170814163698
1,8,HighIncVeh,work,1,1,0.484790740989576
1,8,HighIncVeh,leisure,3,2,0.009110143697932291
1,9,HighIncVeh,home,2,1,0.11428187422471499
1,7,HighIncVeh,leisure,1,3,0.166599936636935
1,22,HighIncVeh,home,1,1,0.7224700878353001
1,15,HighIncVeh,home,1,1,0.5204480730637581
1,6,HighIncVeh,work,2,1,0.036217489381275
1,5,HighIncVeh,leisure,1,2,0.329360100366601
1,23,HighIncVeh,home,1,1,0.55837040067567
1,16,HighIncVeh,home,5,1,0.0219436149619759
1,7,HighIncVeh,work,2,1,0.00482639854693267
1,19,HighIncVeh,home,3,2,0.0303688844159508
1,17,HighIncVeh,home,3,2,0.0105332002181692
1,18,HighIncVeh,leisure,2,3,0.011463850998070001
1,5,LowIncVeh,leisure,1,1,0.640453137946528
1,17,LowIncVeh,leisure,1,1,0.820327407460892
1,9,LowIncVeh,school,1,1,0.363029512112646
1,12,LowIncNoVeh,work,1,1,1.0
1,18,HighIncVeh,home,5,1,0.0421705746147147
1,18,HighIncVeh,school,1,5,0.1962900373359
1,16,HighIncVeh,other,1,3,0.0541251051024288
1,12,HighIncVeh,other,2,5,0.110955513272571
1,16,HighIncVeh,school,1,5,0.775415310736609
1,17,HighIncVeh,other,3,3,0.0606011999106207
1,20,HighIncVeh,home,5,1,0.0348352153459667
