PopulationGroupTypeID,TripPurposeID,Mode,Intercept,BetaWaitAccessTime,BetaTravelTime,BetaMonetaryCost,BikeShare_Bike,Intercept_Pooled,BetaWaitAccessTime_Pooled,BetaTravelTime_Pooled,BetaMonetaryCost_Pooled,BikeShare_Bike_Pooled,Intercept_Pooled_EW,BetaWaitAccessTime_Pooled_EW,BetaTravelTime_Pooled_EW,BetaMonetaryCost_Pooled_EW,BikeShare_Bike_Pooled_EW,BetaWaitTime,BetaAccessTime,BetaWaitTime_Pooled,BetaAccessTime_Pooled,BetaTravelTimeMixed,BetaTravelTimeMixed_Pooled
LowIncNoVeh,work,auto,-3.964,-0.053,-0.053,-0.009000000000000001,0.0,-4.23,-0.038,-0.038,-0.008,0.0,-4.247,-0.038,-0.038,-0.02,0.0,-0.053,-0.053,-0.038,-0.038,0.0,
LowIncVeh,work,auto,0.0,-0.053,-0.053,-0.009000000000000001,0.0,0.0,-0.038,-0.038,-0.008,0.0,0.0,-0.038,-0.038,-0.02,0.0,-0.053,-0.053,-0.038,-0.038,0.0,
HighIncNoVeh,work,auto,-3.964,-0.031,-0.031,-0.009000000000000001,0.0,-4.23,-0.038,-0.038,-0.008,0.0,-4.247,-0.038,-0.038,-0.005,0.0,-0.031,-0.031,-0.038,-0.038,0.0,
HighIncVeh,work,auto,0.0,-0.031,-0.031,-0.009000000000000001,0.0,0.0,-0.038,-0.038,-0.008,0.0,0.0,-0.038,-0.038,-0.005,0.0,-0.031,-0.031,-0.038,-0.038,0.0,
LowIncNoVeh,work,bus,-4.39,-0.017,-0.017,-0.009000000000000001,0.0,-4.405,-0.018000000000000002,-0.018000000000000002,-0.008,0.0,-4.407,-0.018000000000000002,-0.018000000000000002,-0.02,0.0,-0.017,-0.017,-0.018000000000000002,-0.018000000000000002,0.0,
LowIncVeh,work,bus,-4.39,-0.017,-0.017,-0.009000000000000001,0.0,-4.405,-0.018000000000000002,-0.018000000000000002,-0.008,0.0,-4.407,-0.018000000000000002,-0.018000000000000002,-0.02,0.0,-0.017,-0.017,-0.018000000000000002,-0.018000000000000002,0.0,
HighIncNoVeh,work,bus,-4.39,-0.022000000000000002,-0.022000000000000002,-0.009000000000000001,0.0,-4.405,-0.018000000000000002,-0.018000000000000002,-0.008,0.0,-4.407,-0.018000000000000002,-0.018000000000000002,-0.005,0.0,-0.022000000000000002,-0.022000000000000002,-0.018000000000000002,-0.018000000000000002,0.0,
HighIncVeh,work,bus,-4.39,-0.022000000000000002,-0.022000000000000002,-0.009000000000000001,0.0,-4.405,-0.018000000000000002,-0.018000000000000002,-0.008,0.0,-4.407,-0.018000000000000002,-0.018000000000000002,-0.005,0.0,-0.022000000000000002,-0.022000000000000002,-0.018000000000000002,-0.018000000000000002,0.0,
LowIncNoVeh,work,ridehail,-4.645,-0.053,-0.053,-0.009000000000000001,0.0,-4.69,-0.038,-0.038,-0.008,0.0,-4.67,-0.038,-0.038,-0.02,0.0,-0.053,-0.053,-0.038,-0.038,0.0,
LowIncVeh,work,ridehail,-4.645,-0.053,-0.053,-0.009000000000000001,0.0,-4.69,-0.038,-0.038,-0.008,0.0,-4.67,-0.038,-0.038,-0.02,0.0,-0.053,-0.053,-0.038,-0.038,0.0,
