SubnetworkID,Dedicated,Length,MFD,MicrotypeID,ModesAllowed,Type,a,avgLinkLength,capacityFlow,criticalDensity,densityMax,vMax,smoothingFactor,waveSpeed
0,False,24647675.731897322,modified-quadratic,1,Auto-Bus-Bike,Road,-100.0,50.0,,0.11800000000000001,0.15,,,
1,True,2929535.1463794643,fixed,1,Walk,Sidewalk,,,,,,1.35,,
2,True,0.0,bottleneck,1,Bus,Road,,50.0,0.4,,,17.0,,
3,True,0.0,fixed,1,Bike,Road,,,,,,5.0,,
4,False,13743357.417341646,modified-quadratic,2,Auto-Bus-Bike,Road,-182.0,50.0,,0.085,0.15,,,
5,True,2748671.483468329,fixed,2,Walk,Sidewalk,,,,,,1.35,,
6,True,0.0,bottleneck,2,Bus,Road,,50.0,0.4,,,17.0,,
7,True,0.0,fixed,2,Bike,Road,,,,,,5.0,,
8,False,17855159.51975659,bottleneck,3,Auto-Bus-Bike,Road,,50.0,0.344,,,14.8,,
9,True,3571031.903951318,fixed,3,Walk,Sidewalk,,,,,,1.35,,
10,True,0.0,bottleneck,3,Bus,Road,,50.0,0.4,,,17.0,,
11,True,0.0,fixed,3,Bike,Road,,,,,,5.0,,
12,False,2019053.871177581,bottleneck,4,Auto-Bus-Bike,Road,,50.0,0.305,,,14.5,,
13,True,403810.77423551615,fixed,4,Walk,Sidewalk,,,,,,1.35,,
14,True,0.0,bottleneck,4,Bus,Road,,50.0,0.4,,,17.0,,
15,True,0.0,fixed,4,Bike,Road,,,,,,5.0,,
16,False,6260044.299348177,bottleneck,5,Auto-Bus-Bike,Road,,50.0,0.292,,,15.5,,
17,True,1252008.8598696357,fixed,5,Walk,Sidewalk,,,,,,1.35,,
18,True,0.0,bottleneck,5,Bus,Road,,50.0,0.4,,,17.0,,
19,True,0.0,fixed,5,Bike,Road,,,,,,5.0,,
20,False,1367682.9942394998,bottleneck,6,Auto-Bus-Bike,Road,,50.0,0.325,,,19.4,,
21,True,273536.59884789994,fixed,6,Walk,Sidewalk,,,,,,1.35,,
22,True,0.0,bottleneck,6,Bus,Road,,50.0,0.4,,,17.0,,
23,True,0.0,fixed,6,Bike,Road,,,,,,5.0,,
