TripPurposeID,OriginMicrotypeID,DestinationMicrotypeID,DistanceBinID,Portion
home,_3,_3,xlong,1
leisure,_3,_3,long,1
work,_3,_3,long,1
leisure,_3,_4,long,1
home,_3,C_4,xlong,1
home,_3,C_5,xlong,1
home,_3,E_5,xlong,1
home,_3,F_5,xlong,1
home,_4,_4,short,0.175964860352054
home,_4,_4,long,0.351929720704109
home,_4,_4,medium,0.472105418943837
leisure,_4,_4,medium,0.360072693521676
leisure,_4,_4,long,0.639927306478324
other,_4,_4,long,0.0386226947824033
other,_4,_4,medium,0.961377305217597
school,_4,_4,short,0.5
school,_4,_4,medium,0.5
leisure,_4,_5,long,0.83961502218652
leisure,_4,_5,xlong,0.16038497781348
work,_4,_5,xlong,1
work,_4,C_4,xlong,1
work,_4,C_6,xlong,1
home,_5,_4,long,0.0386226947824033
home,_5,_4,xlong,0.961377305217597
leisure,_5,_4,long,1
home,_5,_5,short,0.161122734850726
home,_5,_5,xlong,0.010563596169549
home,_5,_5,medium,0.794343023251687
home,_5,_5,long,0.0339706457280374
leisure,_5,_5,short,0.272958102228287
leisure,_5,_5,medium,0.334241655396279
leisure,_5,_5,long,0.392278399220544
leisure,_5,_5,xlong,0.000521843154889907
school,_5,_5,long,0.757423845718068
school,_5,_5,xlong,0.242576154281932
work,_5,_5,long,0.25211266672938
work,_5,_5,medium,0.158794516821727
work,_5,_5,xlong,0.589092816448893
leisure,_5,A_1,xlong,1
home,_5,C_2,xlong,1
home,_5,C_3,xlong,1
leisure,_5,C_3,xlong,1
work,_5,C_3,xlong,1
work,_5,C_4,xlong,1
home,_5,C_5,xlong,1
leisure,_5,C_5,xlong,1
home,_5,C_6,xlong,1
leisure,_5,C_6,xlong,1
home,_5,E_5,xlong,1
home,_5,F_5,xlong,0.663179409783184
home,_5,F_5,long,0.336820590216816
other,_5,F_5,xlong,1
work,_5,F_5,xlong,1
leisure,_6,_6,short,1
leisure,_6,C_3,long,1
home,_6,C_6,xlong,1
other,_6,D_6,xlong,1
home,A_1,A_1,short,0.525298036582972
home,A_1,A_1,xlong,0.112407659158107
home,A_1,A_1,medium,0.189539482669107
home,A_1,A_1,long,0.172754821589815
leisure,A_1,A_1,short,0.676018706532895
leisure,A_1,A_1,medium,0.146496354051685
leisure,A_1,A_1,xlong,0.0557861585113474
leisure,A_1,A_1,long,0.121698780904073
medical,A_1,A_1,short,0.380316550593887
medical,A_1,A_1,xlong,0.143932613684388
medical,A_1,A_1,medium,0.241484105066382
medical,A_1,A_1,long,0.234266730655343
other,A_1,A_1,xlong,0.0892579538301728
other,A_1,A_1,short,0.502832252635555
other,A_1,A_1,medium,0.251215925590074
other,A_1,A_1,long,0.156693867944199
school,A_1,A_1,long,0.180501536959779
school,A_1,A_1,short,0.545200702565964
school,A_1,A_1,xlong,0.0963429746204901
school,A_1,A_1,medium,0.177954785853767
work,A_1,A_1,short,0.436733702029402
work,A_1,A_1,xlong,0.182033301115642
work,A_1,A_1,long,0.229211889270112
work,A_1,A_1,medium,0.152021107584845
home,A_1,A_2,long,0.265757924720572
home,A_1,A_2,xlong,0.396080343971541
home,A_1,A_2,medium,0.185965597749414
home,A_1,A_2,short,0.152196133558472
leisure,A_1,A_2,medium,0.260380228030988
leisure,A_1,A_2,long,0.300820768335016
leisure,A_1,A_2,xlong,0.225513245124904
leisure,A_1,A_2,short,0.213285758509092
