FromMicrotypeID,ToMicrotypeID,DistanceBinID,ThroughMicrotypeID,Portion
E_5,E_4,long,E_5,0.51366012433594
E_5,E_4,long,E_2,0.0125948417477101
E_5,E_4,long,E_4,0.332925257192941
E_2,E_4,long,E_2,0.49929577977038
E_2,E_4,long,E_5,0.237900047487518
E_2,E_4,long,E_4,0.240468259269109
C_4,E_5,xlong,C_4,0.0530356794345599
C_4,E_5,xlong,C_3,0.250829653032851
C_4,E_5,xlong,C_5,0.423004212927739
C_4,E_5,xlong,E_3,0.0194024690672397
C_4,E_5,xlong,E_6,0.0228119146884981
C_4,E_5,xlong,E_5,0.166583046182558
C_4,E_5,xlong,E_4,0.0321677624058613
E_5,C_5,xlong,E_5,0.226035191258401
E_5,C_5,xlong,E_4,0.0190506042042075
E_5,C_5,xlong,E_6,0.127313726816571
E_5,C_5,xlong,E_3,0.0841793602062114
E_5,C_5,xlong,C_6,0.14474460766461
E_5,C_5,xlong,C_3,0.0934647132835723
E_5,C_5,xlong,C_5,0.243670645267218
E_4,E_5,medium,E_4,0.538836874389144
E_4,E_5,medium,E_5,0.461163125610857
E_5,E_4,medium,E_5,0.450909941444763
E_5,E_4,medium,E_4,0.533051845653027
A_5,A_4,long,A_5,0.388509125279169
A_5,A_4,long,A_4,0.46223677087361
A_4,A_5,long,A_4,0.390793099224929
A_4,A_5,long,A_3,0.0516072422546615
A_4,A_5,long,A_5,0.495626257867635
B_1,B_3,long,B_1,0.240242127163664
B_1,B_3,long,B_2,0.150905858684315
B_1,B_3,long,B_3,0.589405100587209
B_3,B_1,long,B_3,0.459426926045301
B_3,B_1,long,B_2,0.147094467181922
B_3,B_1,long,B_1,0.363909746089708
B_2,B_1,short,B_2,0.511365864722233
B_2,B_1,short,B_1,0.480838900891079
B_2,B_4,long,B_2,0.302223216220258
B_2,B_4,long,B_1,0.0152035547171788
B_2,B_4,long,B_3,0.158129732723578
B_2,B_4,long,B_4,0.433479200056503
B_3,B_4,xlong,B_3,0.397915665295163
B_3,B_4,xlong,B_4,0.388723520711937
B_4,B_1,long,B_4,0.279593960922768
B_4,B_1,long,B_3,0.200181360258166
B_4,B_1,long,B_2,0.31875687515942
B_4,B_1,long,B_1,0.193723827728468
B_1,B_4,xlong,B_1,0.0652539841813925
B_1,B_4,xlong,B_2,0.118040812050679
B_1,B_4,xlong,B_3,0.453592332278406
B_1,B_4,xlong,B_4,0.293089090412647
B_3,B_1,xlong,B_3,0.517723040582508
B_3,B_1,xlong,B_4,0.0377162489528874
B_3,B_1,xlong,B_2,0.0605931994695561
B_3,B_1,xlong,B_1,0.0921553857494422
B_5,B_2,long,B_5,0.403982474989532
B_5,B_2,long,B_4,0.0253179683976824
B_5,B_2,long,B_2,0.432936329517343
B_2,B_5,long,B_2,0.325420076447614
B_2,B_5,long,B_4,0.0299983046613421
B_2,B_5,long,B_5,0.472650451181194
F_5,F_5,xlong,F_5,0.620725593693505
F_5,F_5,xlong,F_3,0.254417706960378
F_5,F_3,long,F_5,0.428392036964357
F_5,F_3,long,F_2,0.0469416147564037
F_5,F_3,long,F_3,0.497170571529169
F_3,F_5,long,F_3,0.377333631888329
F_3,F_5,long,F_2,0.0557752344497119
F_3,F_5,long,F_5,0.534613207661352
F_5,F_2,medium,F_5,0.561045579291877
F_5,F_2,medium,F_2,0.392282709799786
F_2,F_5,medium,F_2,0.42632912769065
F_2,F_5,medium,F_5,0.510920779583451
