Mode,Intercept,PopulationGroupTypeID,BetaTravelTime,BetaAccessTime,BetaWaitTime,BetaTravelTimeMixed,TripPurposeID
bike,-1.749078933,high income,-0.050019308,-0.122791023,-0.312721224,-0.050019308,home
walk,1.976709147,high income,-0.100038616,-0.122791023,-0.312721224,0,home
bus,1.510775272,high income,-0.100038616,-0.122791023,-0.312721224,0,home
taxi,-3.46928245,high income,-0.100038616,-0.122791023,-0.312721224,0,home
rail,0.315520854,high income,-0.100038616,-0.122791023,-0.312721224,0,home
rail_c,-0.730738521,high income,-0.100038616,-0.122791023,-0.312721224,0,home
hv_pass,-1.600461156,high income,-0.100038616,-0.122791023,-0.312721224,0,home
auto,0,high income,-0.100038616,-0.122791023,-0.312721224,0,home
bike,-1.937849513,low income,-0.028757525,-0.168448173,-0.260013898,-0.028757525,home
walk,0.756142433,low income,-0.05751505,-0.168448173,-0.260013898,0,home
bus,1.394053195,low income,-0.05751505,-0.168448173,-0.260013898,0,home
taxi,-2.767759873,low income,-0.05751505,-0.168448173,-0.260013898,0,home
rail,0.910419572,low income,-0.05751505,-0.168448173,-0.260013898,0,home
rail_c,0.569710926,low income,-0.05751505,-0.168448173,-0.260013898,0,home
hv_pass,-1.320396096,low income,-0.05751505,-0.168448173,-0.260013898,0,home
auto,0,low income,-0.05751505,-0.168448173,-0.260013898,0,home
bike,-1.749078933,high income,-0.050019308,-0.122791023,-0.312721224,-0.050019308,school
walk,1.976709147,high income,-0.100038616,-0.122791023,-0.312721224,0,school
bus,1.510775272,high income,-0.100038616,-0.122791023,-0.312721224,0,school
taxi,-3.46928245,high income,-0.100038616,-0.122791023,-0.312721224,0,school
rail,0.315520854,high income,-0.100038616,-0.122791023,-0.312721224,0,school
rail_c,-0.730738521,high income,-0.100038616,-0.122791023,-0.312721224,0,school
hv_pass,-1.600461156,high income,-0.100038616,-0.122791023,-0.312721224,0,school
auto,0,high income,-0.100038616,-0.122791023,-0.312721224,0,school
bike,-1.937849513,low income,-0.028757525,-0.168448173,-0.260013898,-0.028757525,school
walk,0.756142433,low income,-0.05751505,-0.168448173,-0.260013898,0,school
bus,1.394053195,low income,-0.05751505,-0.168448173,-0.260013898,0,school
taxi,-2.767759873,low income,-0.05751505,-0.168448173,-0.260013898,0,school
rail,0.910419572,low income,-0.05751505,-0.168448173,-0.260013898,0,school
rail_c,0.569710926,low income,-0.05751505,-0.168448173,-0.260013898,0,school
hv_pass,-1.320396096,low income,-0.05751505,-0.168448173,-0.260013898,0,school
auto,0,low income,-0.05751505,-0.168448173,-0.260013898,0,school
bike,-1.7490789,high income,-0.050019308,-0.122791,-0.3127212,-0.0500193,work
walk,1.97670915,high income,-0.100038616,-0.122791,-0.3127212,0,work
bus,1.51077527,high income,-0.100038616,-0.122791,-0.3127212,0,work
taxi,-3.4692825,high income,-0.100038616,-0.122791,-0.3127212,0,work
rail,0.31552085,high income,-0.100038616,-0.122791,-0.3127212,0,work
rail_c,-0.7307385,high income,-0.100038616,-0.122791,-0.3127212,0,work
