SubnetworkID,MicrotypeID,ModesAllowed,Dedicated,Length,Type,vMax,avgLinkLength,densityMax
0,A_1,Auto-Bus-Bike,False,54274271.319799766,Road,16.0,50.0,0.145
1,A_1,Bike,True,0.0,Road,4.2,50.0,0.145
2,A_1,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
3,A_1,Rail,True,5579603.978164425,Rail,20.0,50.0,0.145
4,A_1,Walk,True,43419417.055839814,Sidewalk,1.4,50.0,0.145
5,A_2,Auto-Bus-Bike,False,84192483.22544546,Road,16.0,50.0,0.145
6,A_2,Bike,True,0.0,Road,4.2,50.0,0.145
7,A_2,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
8,A_2,Rail,True,8655311.30889387,Rail,20.0,50.0,0.145
9,A_2,Walk,True,67353986.58035637,Sidewalk,1.4,50.0,0.145
10,A_3,Auto-Bus-Bike,False,126020956.10224959,Road,16.0,50.0,0.145
11,A_3,Bike,True,0.0,Road,4.2,50.0,0.145
12,A_3,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
13,A_3,Rail,True,12955439.306721406,Rail,20.0,50.0,0.145
14,A_3,Walk,True,100816764.88179967,Sidewalk,1.4,50.0,0.145
15,A_4,Auto-Bus-Bike,False,199580500.26119499,Road,16.0,50.0,0.145
16,A_4,Bike,True,0.0,Road,4.2,50.0,0.145
17,A_4,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
18,A_4,Rail,True,11265297.171545096,Rail,20.0,50.0,0.145
19,A_4,Walk,True,87664400.208956,Sidewalk,1.4,50.0,0.145
20,A_5,Auto-Bus-Bike,False,80411504.310101821,Road,16.0,50.0,0.145
21,A_5,Bike,True,0.0,Road,4.2,50.0,0.145
22,A_5,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
23,A_5,Rail,True,659127.319165166,Rail,20.0,50.0,0.145
24,A_5,Walk,True,5129203.448081457,Sidewalk,1.4,50.0,0.145
25,A_6,Auto-Bus-Bike,False,26405269.512245987,Road,16.0,50.0,0.145
26,A_6,Bike,True,0.0,Road,4.2,50.0,0.145
27,A_6,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
28,A_6,Rail,True,2714563.332355303,Rail,20.0,50.0,0.145
29,A_6,Walk,True,21124215.609796792,Sidewalk,1.4,50.0,0.145
35,B_1,Auto-Bus-Bike,False,59338597.4813423,Road,16.0,50.0,0.145
36,B_1,Bike,True,0.0,Road,4.2,50.0,0.145
37,B_1,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
38,B_1,Rail,True,124091.5097729109,Rail,20.0,50.0,0.145
39,B_1,Walk,True,47470877.98507384,Sidewalk,1.4,50.0,0.145
40,B_2,Auto-Bus-Bike,False,363723286.94235486,Road,16.0,50.0,0.145
41,B_2,Bike,True,0.0,Road,4.2,50.0,0.145
42,B_2,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
43,B_2,Rail,True,760634.2874961646,Rail,20.0,50.0,0.145
44,B_2,Walk,True,290978629.5538839,Sidewalk,1.4,50.0,0.145
45,B_3,Auto-Bus-Bike,False,590712100.8165576,Road,16.0,50.0,0.145
46,B_3,Bike,True,0.0,Road,4.2,50.0,0.145
47,B_3,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
48,B_3,Rail,True,1235323.3737029745,Rail,20.0,50.0,0.145
49,B_3,Walk,True,472569680.6532461,Sidewalk,1.4,50.0,0.145
50,B_4,Auto-Bus-Bike,False,532431481.51328355,Road,16.0,50.0,0.145
51,B_4,Bike,True,0.0,Road,4.2,50.0,0.145
52,B_4,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
53,B_4,Rail,True,1113444.3548718079,Rail,20.0,50.0,0.145
54,B_4,Walk,True,425945185.21062684,Sidewalk,1.4,50.0,0.145
55,B_5,Auto-Bus-Bike,False,30912246.32004745,Road,16.0,50.0,0.145
56,B_5,Bike,True,0.0,Road,4.2,50.0,0.145
57,B_5,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
58,B_5,Rail,True,64645.062053125286,Rail,20.0,50.0,0.145
59,B_5,Walk,True,24729797.056037962,Sidewalk,1.4,50.0,0.145
60,B_6,Auto-Bus-Bike,False,469813070.4445525,Road,16.0,50.0,0.145
61,B_6,Bike,True,0.0,Road,4.2,50.0,0.145
62,B_6,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
63,B_6,Rail,True,982493.9532964616,Rail,20.0,50.0,0.145
64,B_6,Walk,True,375850456.355642,Sidewalk,1.4,50.0,0.145
70,C_1,Auto-Bus-Bike,False,1408093.717657112,Road,16.0,50.0,0.145
71,C_1,Bike,True,0.0,Road,4.2,50.0,0.145
72,C_1,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
74,C_1,Walk,True,1126474.9741256896,Sidewalk,1.4,50.0,0.145
75,C_2,Auto-Bus-Bike,False,11916913.67153307,Road,16.0,50.0,0.145
76,C_2,Bike,True,0.0,Road,4.2,50.0,0.145
77,C_2,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
79,C_2,Walk,True,9533530.937226458,Sidewalk,1.4,50.0,0.145
80,C_3,Auto-Bus-Bike,False,31835393.57512645,Road,16.0,50.0,0.145
81,C_3,Bike,True,0.0,Road,4.2,50.0,0.145
82,C_3,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
84,C_3,Walk,True,25468314.860101163,Sidewalk,1.4,50.0,0.145
85,C_4,Auto-Bus-Bike,False,31474239.545566138,Road,16.0,50.0,0.145
86,C_4,Bike,True,0.0,Road,4.2,50.0,0.145
87,C_4,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
89,C_4,Walk,True,25179391.63645291,Sidewalk,1.4,50.0,0.145
