TimePeriodID,PopulationGroupTypeID,TripPurposeID,TripGenerationRatePerHour
12,high income,leisure,0.127163643858312
9,high income,home,0.0346274473923965
7,high income,other,0.0435289809266738
22,high income,home,0.0347974577155035
7,high income,leisure,0.0346251062856925
16,high income,other,0.0303664029742726
6,high income,work,0.0682359390968567
18,high income,home,0.105682648176517
13,high income,leisure,0.107977775978235
15,high income,leisure,0.0939799750974132
13,high income,home,0.0649363434128778
0,high income,home,0.00756392013240399
8,high income,other,0.0292259084751745
10,high income,work,0.0254107958938237
19,high income,home,0.088466079186476
18,high income,leisure,0.0949550536116699
15,high income,other,0.0296050062817464
8,high income,home,0.029867200460177
10,high income,leisure,0.1090038521171
9,high income,work,0.0388766195245125
10,high income,home,0.0465904746141412
11,high income,work,0.0254604072648818
6,high income,other,0.0120210773498605
16,high income,home,0.131710640290606
11,high income,leisure,0.127707038402729
14,high income,work,0.0241649650192214
17,high income,leisure,0.106081953840302
16,high income,leisure,0.0940150919107063
13,high income,work,0.0376758891432607
23,high income,home,0.0206225972003394
17,high income,home,0.149115776208804
20,high income,leisure,0.0324471584949707
8,high income,school,0.0165944629564139
7,high income,school,0.0197204555472655
12,high income,home,0.0700307604881393
9,high income,leisure,0.0822267437070713
11,high income,home,0.0621673750882462
7,high income,work,0.112946391469807
14,high income,other,0.0255575668653071
17,high income,work,0.00845550982183496
8,high income,leisure,0.0565801528369856
8,high income,work,0.0799387144123497
21,high income,home,0.0560857260179884
12,high income,work,0.0390820394073017
20,high income,home,0.0774395117101431
14,high income,home,0.0779229079421699
11,high income,medical,0.00415202232554916
15,high income,home,0.106422306603063
14,high income,leisure,0.0962629242122792
5,high income,work,0.0286571210448089
16,high income,work,0.0142803488744597
9,high income,medical,0.00676829911550656
19,high income,leisure,0.0608489371395083
9,high income,other,0.0138687998001798
17,high income,other,0.0269333169218982
20,high income,other,0.00531014489712504
13,high income,other,0.0142652540294389
18,high income,medical,0.000738215663280286
6,high income,home,0.0127543243531509
23,high income,leisure,0.0035800311538313
8,high income,medical,0.00432151732001578
7,high income,home,0.0269501849688875
19,high income,other,0.00801021094224726
15,high income,work,0.0188147740615201
6,high income,leisure,0.0176668744622349
21,high income,leisure,0.0154702237474272
22,high income,leisure,0.00725061529442374
16,high income,medical,0.00193396873523243
0,high income,leisure,0.00116968544296855
19,high income,work,0.0024581855221701
14,high income,medical,0.00396897401921436
11,high income,other,0.0144885716950822
12,high income,school,0.00610822150354995
5,high income,leisure,0.00961817149311826
11,high income,school,0.00507590892062515
5,high income,home,0.00409752199072407
10,high income,school,0.0133473806066601
1,high income,home,0.00514480502683392
6,high income,school,0.0048861426243004
13,high income,medical,0.00394237000826219
17,high income,school,0.00814982348557313
18,high income,work,0.00595274138725805
21,high income,other,0.00377996869630505
13,high income,school,0.00379988525684466
20,high income,school,0.000726868764737171
18,high income,other,0.0139995396386206
16,high income,school,0.00618389205824568
12,high income,other,0.0143632591012313
19,high income,school,0.00300044487356634
20,high income,work,0.00170390198976556
18,high income,school,0.00905825894031455
10,high income,other,0.0122921680961608
17,high income,medical,0.00113097738782291
7,high income,medical,0.00287008418527896
2,high income,home,0.00202141822517198
4,high income,leisure,0.00278784490175964
9,high income,school,0.0166577368783929
14,high income,school,0.00315299046196671
1,high income,leisure,0.00084906540680884
22,high income,other,0.00243326182842262
15,high income,school,0.00364115268054318
15,high income,medical,0.00350406499530183
12,high income,medical,0.00350410914041725
6,high income,medical,0.000906898387569114
1,high income,other,0.000546361296336032
4,high income,home,0.0014699346587081
5,high income,other,0.00302267083670865
4,high income,other,0.00110196031926871
3,high income,other,4.80038693483798e-06
23,high income,work,0.000863429534576822
0,high income,work,0.000232661255991336
4,high income,work,0.00946671569792745
21,high income,work,0.00188101935155935
10,high income,medical,0.00523488185809976
23,high income,other,0.00100728923909292
0,high income,other,0.000736164308360379
22,high income,work,0.00197349872193358
21,high income,medical,3.02191905564186e-05
3,high income,home,0.00122688583724796
5,high income,school,0.000677547667471406
2,high income,work,6.3036679858876e-05
20,high income,medical,8.3862946244669e-05
1,high income,work,9.55604316244883e-05
19,high income,medical,0.000341802068735452
5,high income,medical,0.000514718614976235
3,high income,work,0.000135127369456018
2,high income,leisure,0.000237209978766029
21,high income,school,0.00034162213898852
6,low income,leisure,0.0123520204961455
10,low income,leisure,0.116185217356938
5,low income,leisure,0.00491199287241331
19,low income,home,0.0708660020927154
17,low income,leisure,0.0810716599656048
18,low income,leisure,0.070686780340766
17,low income,other,0.0171590913063539
22,low income,home,0.0324618139104943
7,low income,other,0.0377251161213636
7,low income,school,0.0176277380054433
12,low income,leisure,0.119604645979684
10,low income,work,0.0188899041348799
6,low income,work,0.0425255665094631
20,low income,home,0.0594507681882074
16,low income,home,0.106663215571007
11,low income,home,0.0667080734795051
8,low income,leisure,0.0589611307520718
9,low income,leisure,0.0882970439192629
8,low income,school,0.0191358855060916
14,low income,leisure,0.101816214647467
23,low income,home,0.0221872243359418
21,low income,home,0.0459904475182361
13,low income,work,0.023284752633877
8,low income,home,0.0299343848299146
19,low income,leisure,0.0436832658457688
11,low income,leisure,0.123668090254104
8,low income,work,0.0468290267531234
6,low income,other,0.0147328368708259
10,low income,home,0.0504180531756205
9,low income,medical,0.0100222601788307
16,low income,leisure,0.0889045180489274
18,low income,home,0.0874522379482444
15,low income,leisure,0.096533245789485
18,low income,school,0.0102253521870425
22,low income,leisure,0.00945959551077077
13,low income,leisure,0.104774300168387
22,low income,other,0.00202026891216749
7,low income,work,0.0612342778106245
14,low income,other,0.0266387498071797
6,low income,school,0.00514486442388249
11,low income,work,0.0177956724557246
21,low income,leisure,0.0162183880492825
15,low income,home,0.101851987449818
19,low income,work,0.00253521480360596
9,low income,school,0.0174949935404442
13,low income,other,0.0166378539819365
7,low income,leisure,0.0311699663683916
21,low income,other,0.00427991955275869
4,low income,leisure,0.0024451080750984
13,low income,home,0.0713911290396473
9,low income,other,0.0161673475653747
12,low income,work,0.0239985299110113
20,low income,leisure,0.0259944631659939
6,low income,medical,0.00251327980321922
10,low income,other,0.0140071615700922
3,low income,home,0.00139290209170757
14,low income,home,0.0850701418956898
9,low income,work,0.0280913576553091
17,low income,home,0.105117792226289
15,low income,work,0.0163655587613945
4,low income,home,0.00223832876113806
