MicrotypeID,PerStartCost,PerEndCost,PerMileCost,VehicleSize,SpeedInMetersPerSecond,DedicatedLanePreference
A_1,0,0,0,0.1,4.2,0.7
A_2,0,0,0,0.1,4.2,0.6
A_3,0,0,0,0.1,4.2,0.5
A_4,0,0,0,0.1,4.2,0.4
A_5,0,0,0,0.1,4.2,0.3
A_6,0,0,0,0.1,4.2,0.2
A_7,0,0,0,0.1,4.2,0.1
B_1,0,0,0,0.1,4.2,0.7
B_2,0,0,0,0.1,4.2,0.6
B_3,0,0,0,0.1,4.2,0.5
B_4,0,0,0,0.1,4.2,0.4
B_5,0,0,0,0.1,4.2,0.3
B_6,0,0,0,0.1,4.2,0.2
B_7,0,0,0,0.1,4.2,0.1
C_1,0,0,0,0.1,4.2,0.7
C_2,0,0,0,0.1,4.2,0.6
C_3,0,0,0,0.1,4.2,0.5
C_4,0,0,0,0.1,4.2,0.4
C_5,0,0,0,0.1,4.2,0.3
C_6,0,0,0,0.1,4.2,0.2
D_1,0,0,0,0.1,4.2,0.7
D_2,0,0,0,0.1,4.2,0.6
D_3,0,0,0,0.1,4.2,0.5
D_4,0,0,0,0.1,4.2,0.4
D_5,0,0,0,0.1,4.2,0.3
D_6,0,0,0,0.1,4.2,0.2
D_7,0,0,0,0.1,4.2,0.1
E_1,0,0,0,0.1,4.2,0.7
E_2,0,0,0,0.1,4.2,0.6
E_3,0,0,0,0.1,4.2,0.5
E_4,0,0,0,0.1,4.2,0.4
E_5,0,0,0,0.1,4.2,0.3
E_6,0,0,0,0.1,4.2,0.2
E_7,0,0,0,0.1,4.2,0.1
F_2,0,0,0,0.1,4.2,0.7
F_3,0,0,0,0.1,4.2,0.6
F_4,0,0,0,0.1,4.2,0.5
F_5,0,0,0,0.1,4.2,0.4
F_6,0,0,0,0.1,4.2,0.3
F_7,0,0,0,0.1,4.2,0.2
G_1,0,0,0,0.1,4.2,0.7
G_2,0,0,0,0.1,4.2,0.6
G_3,0,0,0,0.1,4.2,0.5
G_4,0,0,0,0.1,4.2,0.4
G_5,0,0,0,0.1,4.2,0.3
G_6,0,0,0,0.1,4.2,0.2
H_1,0,0,0,0.1,4.2,0.7
H_2,0,0,0,0.1,4.2,0.6
H_3,0,0,0,0.1,4.2,0.5
H_4,0,0,0,0.1,4.2,0.4
H_5,0,0,0,0.1,4.2,0.3
H_6,0,0,0,0.1,4.2,0.2
I_2,0,0,0,0.1,4.2,0.7
I_3,0,0,0,0.1,4.2,0.6
I_4,0,0,0,0.1,4.2,0.5
I_6,0,0,0,0.1,4.2,0.4
