MicrotypeID,Headway,PerStartCost,PerEndCost,PerMileCost,VehicleCapacity,VehicleSize,StopSpacing,VehicleOperatingCostPerHour,PassengerWait,PassengerWaitDedicated,MinStopTime,CoveragePortion
A_1,180,0,0,0,50,3,600,117.1,5,2,15,0.2
A_2,240,0,0,0,50,3,600,117.1,5,2,15,0.18
A_3,400,0,0,0,50,3,800,117.1,5,2,15,0.18
A_4,500,0,0,0,50,3,800,117.1,5,2,15,0.16
A_5,600,0,0,0,50,3,800,117.1,5,2,15,0.16
A_6,600,0,0,0,50,3,1200,117.1,5,2,15,0.14
A_7,600,0,0,0,50,3,1200,117.1,5,2,15,0.14
B_1,180,0,0,0,50,3,600,95.6,5,2,15,0.2
B_2,240,0,0,0,50,3,600,95.6,5,2,15,0.18
B_3,400,0,0,0,50,3,800,95.6,5,2,15,0.18
B_4,500,0,0,0,50,3,800,95.6,5,2,15,0.16
B_5,600,0,0,0,50,3,800,95.6,5,2,15,0.16
B_6,600,0,0,0,50,3,1200,95.6,5,2,15,0.14
B_7,600,0,0,0,50,3,1200,95.6,5,2,15,0.14
C_1,600,0,0,0,50,3,600,110.7,5,2,15,0.16
C_2,600,0,0,0,50,3,600,110.7,5,2,15,0.14
C_3,600,0,0,0,50,3,800,110.7,5,2,15,0.12
C_4,600,0,0,0,50,3,800,110.7,5,2,15,0.1
C_5,600,0,0,0,50,3,800,110.7,5,2,15,0.08
C_6,600,0,0,0,50,3,1200,110.7,5,2,15,0.06
D_1,600,0,0,0,50,3,600,65.4,5,2,15,0.16
D_2,600,0,0,0,50,3,600,65.4,5,2,15,0.14
D_3,600,0,0,0,50,3,800,65.4,5,2,15,0.12
D_4,600,0,0,0,50,3,800,65.4,5,2,15,0.1
D_5,600,0,0,0,50,3,800,65.4,5,2,15,0.08
D_6,600,0,0,0,50,3,1200,65.4,5,2,15,0.06
D_7,600,0,0,0,50,3,1200,65.4,5,2,15,0.04
E_1,600,0,0,0,50,3,600,62.5,5,2,15,0.1
E_2,600,0,0,0,50,3,600,62.5,5,2,15,0.1
E_3,600,0,0,0,50,3,800,62.5,5,2,15,0.1
E_4,600,0,0,0,50,3,800,62.5,5,2,15,0.1
E_5,600,0,0,0,50,3,800,62.5,5,2,15,0.1
E_6,600,0,0,0,50,3,1200,62.5,5,2,15,0.1
E_7,600,0,0,0,50,3,1200,62.5,5,2,15,0.1
F_2,600,0,0,0,50,3,600,117.1,5,2,15,0.1
F_3,600,0,0,0,50,3,800,117.1,5,2,15,0.1
F_4,600,0,0,0,50,3,800,117.1,5,2,15,0.1
F_5,600,0,0,0,50,3,1200,117.1,5,2,15,0.1
F_6,600,0,0,0,50,3,1200,117.1,5,2,15,0.1
F_7,600,0,0,0,50,3,1200,117.1,5,2,15,0.1
G_1,600,0,0,0,50,3,600,117.1,5,2,15,0.1
G_2,600,0,0,0,50,3,600,117.1,5,2,15,0.1
G_3,600,0,0,0,50,3,800,117.1,5,2,15,0.1
G_4,600,0,0,0,50,3,800,117.1,5,2,15,0.1
G_5,600,0,0,0,50,3,800,117.1,5,2,15,0.1
G_6,600,0,0,0,50,3,1200,117.1,5,2,15,0.1
H_1,600,0,0,0,50,3,600,117.1,5,2,15,0.1
H_2,600,0,0,0,50,3,800,117.1,5,2,15,0.1
H_3,600,0,0,0,50,3,800,117.1,5,2,15,0.1
H_4,600,0,0,0,50,3,1200,117.1,5,2,15,0.1
H_5,600,0,0,0,50,3,1200,117.1,5,2,15,0.1
H_6,600,0,0,0,50,3,1200,117.1,5,2,15,0.1
I_2,600,0,0,0,50,3,800,117.1,5,2,15,0.1
I_3,600,0,0,0,50,3,1200,117.1,5,2,15,0.1
I_4,600,0,0,0,50,3,1200,117.1,5,2,15,0.1
I_6,600,0,0,0,50,3,1200,117.1,5,2,15,0.1
