MicrotypeID,Headway,PerStartCost,PerEndCost,PerMileCost,VehicleCapacity,StopSpacing,SpeedInMetersPerSecond,VehicleOperatingCostsPerHour,VehicleSize,CoveragePortion
A_1,500,4,0,0,2000,1600,20,230,10,0.8
A_2,600,4,0,0,2000,1600,20,230,10,0.7
A_3,800,4,0,0,2000,1600,20,230,10,0.6
A_4,900,4,0,0,2000,1600,20,230,10,0.3
A_5,900,4,0,0,2000,1600,20,230,10,0.2
A_6,900,4,0,0,2000,1600,20,230,10,0.1
A_7,900,4,0,0,2000,1600,20,230,10,0.1
B_1,600,4,0,0,2000,1600,20,273.1,10,0.8
B_2,600,4,0,0,2000,1600,20,273.1,10,0.6
B_3,900,4,0,0,2000,1600,20,273.1,10,0.5
B_4,900,4,0,0,2000,1600,20,273.1,10,0.2
B_5,900,4,0,0,2000,1600,20,273.1,10,0.1
B_6,900,4,0,0,2000,1600,20,273.1,10,0.1
B_7,900,4,0,0,2000,1600,20,273.1,10,0.1
C_1,900,4,0,0,2000,1600,20,230,10,0.6
C_2,900,4,0,0,2000,1600,20,230,10,0.4
C_3,900,4,0,0,2000,1600,20,230,10,0.2
C_4,900,4,0,0,2000,1600,20,230,10,0.1
C_6,900,4,0,0,2000,1600,20,230,10,0.05
D_1,900,4,0,0,2000,1600,20,230,10,0.3
D_2,900,4,0,0,2000,1600,20,230,10,0.1
D_3,900,4,0,0,2000,1600,20,230,10,0.1
D_4,900,4,0,0,2000,1600,20,230,10,0.05
D_5,900,4,0,0,2000,1600,20,230,10,0.05
D_6,900,4,0,0,2000,1600,20,230,10,0.05
D_7,900,4,0,0,2000,1600,20,230,10,0.05
E_1,1200,4,0,0,2000,1600,20,230,10,0.2
E_2,1200,4,0,0,2000,1600,20,230,10,0.1
E_3,1200,4,0,0,2000,1600,20,230,10,0.02
E_4,1200,4,0,0,2000,1600,20,230,10,0.02
E_6,1200,4,0,0,2000,1600,20,230,10,0.02
E_7,1200,4,0,0,2000,1600,20,230,10,0.01
F_2,1200,4,0,0,2000,1600,20,230,10,0.2
F_3,1200,4,0,0,2000,1600,20,230,10,0.02
F_4,1200,4,0,0,2000,1600,20,230,10,0.02
F_6,1200,4,0,0,2000,1600,20,230,10,0.02
F_7,1200,4,0,0,2000,1600,20,230,10,0.02
G_1,1200,4,0,0,2000,1600,20,230,10,0.2
G_2,1200,4,0,0,2000,1600,20,230,10,0.2
G_3,1200,4,0,0,2000,1600,20,230,10,0.01
G_4,1200,4,0,0,2000,1600,20,230,10,0.01
G_6,1200,4,0,0,2000,1600,20,230,10,0.01
H_1,1200,4,0,0,2000,1600,20,230,10,0.2
H_2,1200,4,0,0,2000,1600,20,230,10,0.02
H_3,1200,4,0,0,2000,1600,20,230,10,0.01
H_4,1200,4,0,0,2000,1600,20,230,10,0.01
H_6,1200,4,0,0,2000,1600,20,230,10,0.01
I_2,1200,4,0,0,2000,1600,20,230,10,0.1
I_3,1200,4,0,0,2000,1600,20,230,10,0.02
I_4,1200,4,0,0,2000,1600,20,230,10,0.01
I_6,1200,4,0,0,2000,1600,20,230,10,0.01
