TripPurposeID,OriginMicrotypeID,DestinationMicrotypeID,DistanceBinID,Portion
home,A_1,A_1,short,0.507708627195019
home,A_1,A_1,xlong,0.120219568356751
home,A_1,A_1,medium,0.190073481239513
home,A_1,A_1,long,0.181998323208718
medical,A_1,A_1,short,0.365036077960029
medical,A_1,A_1,long,0.237486374499701
medical,A_1,A_1,xlong,0.155993533435909
medical,A_1,A_1,medium,0.241484014104362
other,A_1,A_1,xlong,0.0961745092086637
other,A_1,A_1,short,0.494085465165712
other,A_1,A_1,medium,0.239194444965548
other,A_1,A_1,long,0.170545580660076
school,A_1,A_1,long,0.150896972871015
school,A_1,A_1,medium,0.20177319598247
school,A_1,A_1,short,0.554907272955511
school,A_1,A_1,xlong,0.0924225581910046
social,A_1,A_1,short,0.646488874207027
social,A_1,A_1,xlong,0.0631170249794993
social,A_1,A_1,medium,0.155415125293545
social,A_1,A_1,long,0.134978975519929
work,A_1,A_1,xlong,0.201865601465793
work,A_1,A_1,long,0.239559282679776
work,A_1,A_1,short,0.411540810271403
work,A_1,A_1,medium,0.147034305583028
home,A_1,A_2,long,0.21660617999476
home,A_1,A_2,xlong,0.411507077312996
home,A_1,A_2,medium,0.202089474814939
home,A_1,A_2,short,0.169797267877304
medical,A_1,A_2,xlong,0.431393840120016
medical,A_1,A_2,medium,0.0960703180962947
medical,A_1,A_2,long,0.388820909359787
medical,A_1,A_2,short,0.0837149324239028
other,A_1,A_2,long,0.222749122799059
other,A_1,A_2,medium,0.188601387694792
other,A_1,A_2,xlong,0.30656524391017
other,A_1,A_2,short,0.282084245595979
school,A_1,A_2,xlong,0.258104242680784
school,A_1,A_2,long,0.286260227670575
school,A_1,A_2,short,0.354084362166083
school,A_1,A_2,medium,0.101551167482559
social,A_1,A_2,xlong,0.275229667540847
social,A_1,A_2,long,0.306568108712174
social,A_1,A_2,short,0.208263990705934
social,A_1,A_2,medium,0.209938233041044
work,A_1,A_2,xlong,0.449186913043496
work,A_1,A_2,long,0.276033657089881
work,A_1,A_2,medium,0.160080541744778
work,A_1,A_2,short,0.114698888121845
home,A_1,A_3,short,0.162250766646875
home,A_1,A_3,xlong,0.359987715808287
home,A_1,A_3,medium,0.188738770467591
home,A_1,A_3,long,0.289022747077247
medical,A_1,A_3,xlong,0.601648521633553
medical,A_1,A_3,long,0.159851278459786
medical,A_1,A_3,short,0.0704841397976448
medical,A_1,A_3,medium,0.168016060109016
other,A_1,A_3,medium,0.160317607844834
other,A_1,A_3,xlong,0.393502424017892
other,A_1,A_3,long,0.324995314355933
other,A_1,A_3,short,0.121184653781341
school,A_1,A_3,xlong,0.192442290356424
school,A_1,A_3,medium,0.316224944212541
school,A_1,A_3,long,0.220594457572795
school,A_1,A_3,short,0.27073830785824
social,A_1,A_3,xlong,0.305005728169987
social,A_1,A_3,medium,0.207897846181152
social,A_1,A_3,short,0.245526665318157
social,A_1,A_3,long,0.241569760330704
work,A_1,A_3,long,0.318992315288366
work,A_1,A_3,xlong,0.412035444335119
work,A_1,A_3,short,0.0930200030022136
work,A_1,A_3,medium,0.175952237374301
home,A_1,A_4,xlong,0.675532514885166
home,A_1,A_4,long,0.158613189847976
home,A_1,A_4,medium,0.0838477560046339
home,A_1,A_4,short,0.0820065392622239
medical,A_1,A_4,short,0.148140588624687
medical,A_1,A_4,medium,0.157982188684476
medical,A_1,A_4,xlong,0.564166618920912
medical,A_1,A_4,long,0.129710603769924
other,A_1,A_4,xlong,0.769776313149634
other,A_1,A_4,long,0.115853824562758
other,A_1,A_4,short,0.0214560887983466
other,A_1,A_4,medium,0.0929137734892613
school,A_1,A_4,long,0.17060093702998
school,A_1,A_4,short,0.137381547832868
school,A_1,A_4,xlong,0.228950900975005
school,A_1,A_4,medium,0.463066614162147
social,A_1,A_4,xlong,0.528441330132638
social,A_1,A_4,long,0.230628067435708
social,A_1,A_4,medium,0.154996869982318
social,A_1,A_4,short,0.0859337324493365
work,A_1,A_4,xlong,0.52998441538063
work,A_1,A_4,long,0.344937052202394
work,A_1,A_4,medium,0.0907780876939353
work,A_1,A_4,short,0.0343004447230413
home,A_1,A_5,xlong,0.391453379331251
home,A_1,A_5,long,0.110297184018501
home,A_1,A_5,short,0.402491063673636
home,A_1,A_5,medium,0.0957583729766115
other,A_1,A_5,medium,0.123083970668343
other,A_1,A_5,short,0.654267329586196
other,A_1,A_5,xlong,0.222648699745461
school,A_1,A_5,short,1
social,A_1,A_5,medium,0.517615524561219
social,A_1,A_5,xlong,0.409535071286029
social,A_1,A_5,long,0.0728494041527513
work,A_1,A_5,xlong,1
home,A_1,A_6,xlong,0.464851586745588
home,A_1,A_6,long,0.0172904050378251
home,A_1,A_6,short,0.517858008216587
medical,A_1,A_6,medium,1
other,A_1,A_6,long,0.0834576004774211
other,A_1,A_6,xlong,0.916542399522579
