MicrotypeID,ModeTypeID,CostPerMeter
A_1,bus,0.07810914
A_2,bus,0.07745187
A_3,bus,0.08607998
A_4,bus,0.07638173
A_5,bus,0.07142748
A_6,bus,0.07628723
A_7,bus,0.03771167
B_1,bus,0.07780214
B_2,bus,0.07734351
B_3,bus,0.08507822
B_4,bus,0.075982
B_5,bus,0.05641419
B_6,bus,0.0300489
C_1,bus,0.06183717
C_2,bus,0.06163746
C_3,bus,0.06701173
C_4,bus,0.06032392
C_5,bus,0.05730824
C_6,bus,0.05993541
D_1,bus,0.06125031
D_2,bus,0.06094087
D_3,bus,0.06627784
D_4,bus,0.05990677
D_5,bus,0.05739465
D_6,bus,0.05960893
E_1,bus,0.07270918
E_2,bus,0.06092756
E_3,bus,0.06651152
E_4,bus,0.05952048
E_5,bus,0.04974128
E_7,bus,0.03263512
F_2,bus,0.05306579
F_3,bus,0.03318774
F_4,bus,0.05827094
F_5,bus,0.05723445
F_6,bus,0.03019381
G_1,bus,0.05840001
G_2,bus,0.06154513
G_3,bus,0.06724363
G_4,bus,0.05950566
G_5,bus,0.04923264
G_6,bus,0.02962138
G_7,bus,0.02962138
H_1,bus,0.05190202
H_2,bus,0.05946098
H_3,bus,0.05768175
H_4,bus,0.02951535
H_5,bus,0.05668618
H_6,bus,0.05198934
I_2,bus,0.05328142
I_3,bus,0.05917275
I_4,bus,0.05388392
I_6,bus,0.02981494
I_7,bus,0.02962138
