FromMicrotypeID,ToMicrotypeID,DistanceBinID,ThroughMicrotypeID,Portion
F_5,F_2,medium,F_5,0.474189730453941
F_5,F_2,medium,F_2,0.415374796042964
F_6,F_2,xlong,F_6,0.42038840279271
F_6,F_2,xlong,F_2,0.118114824068147
F_5,F_5,medium,F_5,0.913390852915881
F_5,F_5,medium,F_2,0.0455434467173565
F_6,F_5,long,F_6,0.472805097533788
F_6,F_5,long,F_5,0.300052818150076
F_3,F_5,xlong,F_3,0.335815206946391
F_3,F_5,xlong,F_5,0.505831375573829
F_5,F_5,long,F_5,0.859255533505173
F_5,F_5,xlong,F_5,0.772858748593488
F_5,F_5,xlong,F_4,0.0438209351396628
F_5,F_5,xlong,F_3,0.117940049334293
F_2,F_5,medium,F_2,0.428916279189743
F_2,F_5,medium,F_5,0.484712615993379
F_6,F_5,long,F_2,0.227142084316137
F_6,F_5,xlong,F_6,0.658722755883825
F_6,F_5,xlong,F_5,0.319203784696892
F_5,F_6,long,F_5,0.437333515169853
F_5,F_6,long,F_6,0.562666484830147
F_3,F_6,xlong,F_3,0.272891815409347
F_3,F_6,xlong,F_5,0.274446137530608
F_3,F_6,xlong,F_4,0.101441882503538
F_3,F_6,xlong,F_6,0.342090404078536
F_2,F_6,xlong,F_2,0.17113824517336
F_2,F_6,xlong,F_6,0.437362432296307
C_4,C_5,xlong,C_4,0.345592614633719
C_4,C_5,xlong,C_5,0.490752661355109
C_3,C_5,xlong,C_3,0.377750321495614
C_3,C_5,xlong,C_4,0.0469256292469
C_3,C_5,xlong,C_5,0.470159170762416
C_5,C_4,xlong,C_5,0.477990657544696
C_5,C_4,xlong,C_4,0.330777393751847
C_4,C_4,long,C_4,0.806080352573827
C_4,C_4,long,C_3,0.0659790147357662
C_3,C_4,medium,C_3,0.467245178734711
C_3,C_4,medium,C_4,0.456872875043184
C_4,C_4,xlong,C_4,0.841283213282713
C_4,C_4,xlong,C_3,0.0365702888360972
C_3,C_4,long,C_3,0.418229927329064
C_3,C_4,long,C_4,0.398940589836398
C_4,C_3,long,C_4,0.32460664620998
C_4,C_3,long,C_3,0.430992429040977
C_4,C_3,medium,C_4,0.49276264189038
C_4,C_3,medium,C_3,0.434001550936355
C_5,C_4,long,C_5,0.485474392300584
C_5,C_4,long,C_4,0.375496258513776
C_5,C_5,xlong,C_5,0.828814116972207
C_5,C_3,xlong,C_5,0.462975857532625
C_5,C_3,xlong,C_3,0.369701845555346
C_5,C_5,xlong,C_6,0.0580396576437788
C_5,C_4,medium,C_5,0.494635401332726
