MicrotypeID,DiameterInMiles
A_1,0.341525817
A_2,0.661853841
A_3,0.910462002
A_4,1.26618955
A_5,1.725840868
A_6,4.454452746
B_1,0.34152582
B_2,0.66185384
B_3,0.910462
B_4,1.26618955
B_5,1.72584087
B_6,4.45445275
C_1,0.34152582
C_2,0.66185384
C_3,0.910462
C_4,1.26618955
C_5,1.72584087
C_6,4.45445275
D_1,0.34152582
D_2,0.66185384
D_3,0.910462
D_4,1.26618955
D_5,1.72584087
D_6,4.45445275
E_1,0.34152582
E_2,0.66185384
E_3,0.910462
E_4,1.26618955
E_5,1.72584087
E_6,4.45445275
F_2,0.66185384
F_3,0.910462
F_4,1.26618955
F_5,1.72584087
F_6,4.45445275
G_2,0.66185384
G_3,0.910462
G_4,1.26618955
G_5,1.72584087
G_6,4.45445275
H_2,0.66185384
H_3,0.910462
H_4,1.26618955
H_5,1.72584087
H_6,4.45445275
I_2,0.66185384
I_3,0.910462
I_4,1.26618955
I_6,4.45445275
