SubnetworkID,ModeTypeID
1,auto
2,auto
3,auto
4,auto
5,auto
6,auto
7,auto
8,auto
9,auto
10,auto
11,auto
12,auto
13,auto
14,auto
15,auto
16,auto
17,auto
18,auto
19,auto
20,auto
21,auto
22,auto
23,auto
24,auto
25,auto
26,auto
27,auto
28,auto
29,auto
30,auto
31,auto
32,auto
33,auto
34,auto
35,auto
36,auto
37,auto
38,auto
39,auto
40,auto
41,auto
42,auto
43,auto
44,auto
45,auto
46,auto
47,auto
48,auto
49,auto
50,auto
51,auto
52,auto
53,auto
53,bus
54,auto
54,bus
55,auto
55,bus
56,auto
56,bus
57,auto
57,bus
58,auto
58,bus
59,auto
59,bus
60,auto
60,bus
61,auto
61,bus
62,auto
62,bus
63,auto
63,bus
64,auto
64,bus
65,auto
65,bus
66,auto
66,bus
67,auto
67,bus
68,auto
68,bus
69,auto
69,bus
70,auto
70,bus
71,auto
71,bus
72,auto
72,bus
73,auto
73,bus
74,auto
74,bus
75,auto
75,bus
76,auto
76,bus
77,auto
77,bus
78,auto
78,bus
79,auto
79,bus
80,auto
80,bus
81,auto
81,bus
82,auto
82,bus
83,auto
83,bus
84,auto
84,bus
85,auto
85,bus
86,auto
86,bus
87,auto
87,bus
88,auto
88,bus
89,auto
89,bus
90,auto
90,bus
91,auto
91,bus
92,auto
92,bus
93,auto
93,bus
94,auto
94,bus
95,auto
95,bus
96,auto
96,bus
97,auto
97,bus
98,auto
98,bus
99,auto
99,bus
100,auto
100,bus
101,auto
101,bus
102,auto
102,bus
103,auto
103,bus
104,auto
104,bus
105,auto
105,bus
106,auto
106,bus
107,auto
107,bus
108,auto
108,bus
109,auto
109,bus
110,auto
110,bus
111,auto
111,bus
112,auto
113,walk
114,walk
115,walk
116,walk
117,walk
118,walk
119,walk
120,walk
121,walk
122,walk
123,walk
124,walk
125,walk
126,walk
127,walk
128,walk
129,walk
130,walk
131,walk
132,walk
133,walk
134,walk
135,walk
136,walk
137,walk
138,walk
139,walk
140,walk
141,walk
142,walk
143,walk
144,walk
145,walk
146,walk
147,walk
148,walk
149,walk
150,walk
151,walk
152,walk
153,walk
154,walk
155,walk
156,walk
157,walk
158,walk
159,walk
160,walk
161,walk
162,walk
163,walk
164,walk
165,walk
166,walk
167,walk
168,walk
