HomeMicrotypeID,TimePeriodID,PopulationGroupTypeID,TripPurposeID,OriginMicrotypeID,DestinationMicrotypeID,Portion
E_4,other_time,D,school,E_4,E_3,0.084615455758498
E_4,other_time,D,home,E_3,E_4,0.0911447884423426
B_4,other_time,D,home,B_3,B_4,0.191074359733407
B_4,other_time,D,work,B_4,B_3,0.13884934833573
B_1,morning_rush,D,home,B_1,B_1,0.745002329749049
B_1,morning_rush,D,social,B_1,B_1,0.551992903838423
B_1,other_time,D,home,B_4,B_1,0.0649833054215168
B_1,morning_rush,D,home,B_4,B_1,0.00725676390699144
B_1,other_time,D,work,B_3,B_4,0.00424465469751008
B_1,evening_rush,D,social,B_1,B_4,0.0294133548423679
B_1,other_time,D,work,B_1,B_3,0.105865355861458
B_1,other_time,D,social,B_1,B_4,0.0299947416428177
D_6,other_time,B,medical,D_6,D_2,0.14881191113994
D_6,evening_rush,B,home,D_2,D_6,0.179406873457204
B_4,other_time,B,home,B_3,B_4,0.179765245396576
B_4,morning_rush,B,medical,B_4,B_2,0.352535697447593
B_4,other_time,B,social,B_2,B_3,0.0186352546290335
B_2,morning_rush,D,work,B_2,B_2,0.344260228990078
B_2,other_time,D,social,B_2,B_2,0.395852954035737
B_2,other_time,D,home,B_2,B_2,0.520342642560269
B_2,other_time,D,social,B_2,B_3,0.101718270459495
B_2,other_time,D,home,B_3,B_2,0.180096437610583
B_4,morning_rush,D,work,B_4,A_1,0.00473810360400227
B_4,evening_rush,D,home,A_1,B_4,0.00272300543246346
D_6,other_time,D,social,D_2,D_2,0.0870842037934844
D_6,morning_rush,D,work,D_6,D_2,0.210465257730353
D_6,evening_rush,D,home,D_2,D_6,0.223477899108744
D_6,other_time,D,work,D_2,D_2,0.0664302626710891
B_3,morning_rush,D,other,B_3,B_3,0.47777947838985
B_3,morning_rush,D,social,B_3,B_3,0.458817935293284
B_3,evening_rush,D,home,B_3,B_3,0.451557637629395
B_3,evening_rush,D,other,B_3,B_3,0.291378359765419
B_3,morning_rush,D,work,B_3,B_3,0.32078189440724
B_1,morning_rush,D,work,B_1,B_1,0.45659850961237
B_1,other_time,D,social,B_1,B_1,0.439385366588675
B_1,other_time,D,work,B_1,B_1,0.492887305946605
B_1,other_time,D,home,B_1,B_1,0.54463232791361
B_1,evening_rush,D,home,B_1,B_1,0.526357735557365
B_1,evening_rush,D,social,B_1,B_1,0.491339369988039
D_4,evening_rush,B,home,D_6,D_2,0.000128795631582767
