MicrotypeID,LengthNetwork
A_1,33724.5524996581
A_2,52314.913707138
A_3,78305.98636848
A_4,68090.3353307536
A_5,3983.93397921
A_6,16407.5145788
A_7,35.9299755
B_1,36871.386705943
B_2,226007.734190634
B_3,367052.394656541
B_4,330838.40674642
B_5,19208.0270918808
B_6,291929.03329598
B_7,309.788025353
C_1,874.9510468
C_2,7404.8452605
C_3,19781.6456281
C_4,19557.2343604
C_5,17431.393123913
C_6,76717.67412154
D_1,6420.2189789
D_2,105678.449281214
D_3,155494.2734991
D_4,150719.578170328
D_5,6371.7579361
D_6,652535.66956938
D_7,12.678891
E_1,1245.1138403
E_2,19226.776819837
E_3,79144.4037179
E_4,271600.453886919
E_5,3444.78034891
E_6,291866.3583313
E_7,58.9074056
F_2,1415.2183269
F_3,43057.6738079
F_4,11732.45076774
F_5,264.659719
F_6,90537.4542438
F_7,14.834433
G_1,80.804214
G_2,2828.78945107
G_3,5213.47208
G_4,15958.4045514
G_5,398.734702
G_6,73589.2579147
H_1,90.531802
H_2,6158.1146198
H_3,31455.384245
H_4,25857.1394373
H_5,824.5375228
H_6,659858.7388904
I_2,460.2103455
I_3,2070.334074
I_4,1776.864249
I_6,424997.783812042
