SubnetworkID,MicrotypeID,ModesAllowed,Dedicated,Length,Type,vMax,avgLinkLength,densityMax
0,A_1,Auto-Bike,False,12945571.569051491,Road,16.0,50.0,0.145
1,A_1,Auto-Bus-Bike,False,41328699.75074827,Road,16.0,50.0,0.145
2,A_1,Bike,True,0.0,BikeLane,4.2,50.0,0.145
3,A_1,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
4,A_1,Rail,True,5579603.978164425,Rail,20.0,50.0,0.145
5,A_1,Walk,True,43419417.055839814,Sidewalk,1.4,50.0,0.145
6,A_2,Auto-Bike,False,20081703.3682322,Road,16.0,50.0,0.145
7,A_2,Auto-Bus-Bike,False,64110779.85721326,Road,16.0,50.0,0.145
8,A_2,Bike,True,0.0,BikeLane,4.2,50.0,0.145
9,A_2,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
10,A_2,Rail,True,8655311.30889387,Rail,20.0,50.0,0.145
11,A_2,Walk,True,67353986.58035637,Sidewalk,1.4,50.0,0.145
12,A_3,Auto-Bike,False,30058686.49639177,Road,16.0,50.0,0.145
13,A_3,Auto-Bus-Bike,False,95962269.6058578,Road,16.0,50.0,0.145
14,A_3,Bike,True,0.0,BikeLane,4.2,50.0,0.145
15,A_3,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
16,A_3,Rail,True,12955439.306721406,Rail,20.0,50.0,0.145
17,A_3,Walk,True,100816764.88179967,Sidewalk,1.4,50.0,0.145
18,A_4,Auto-Bike,False,26137287.04610454,Road,16.0,50.0,0.145
19,A_4,Auto-Bus-Bike,False,83443213.21509044,Road,16.0,50.0,0.145
20,A_4,Bike,True,0.0,BikeLane,4.2,50.0,0.145
21,A_4,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
22,A_4,Rail,True,11265297.171545096,Rail,20.0,50.0,0.145
23,A_4,Walk,True,87664400.208956,Sidewalk,1.4,50.0,0.145
24,A_5,Auto-Bike,False,1529280.5576815885,Road,16.0,50.0,0.145
25,A_5,Auto-Bus-Bike,False,4882223.752420233,Road,16.0,50.0,0.145
26,A_5,Bike,True,0.0,BikeLane,4.2,50.0,0.145
27,A_5,Bus-Bike,True,0.0,Road,16.0,50.0,0.145
28,A_5,Rail,True,659127.319165166,Rail,20.0,50.0,0.145
29,A_5,Walk,True,5129203.448081457,Sidewalk,1.4,50.0,0.145
