geotype,mode_group,veh_revenue_hours,veh_revenue_miles,dir_route_miles
D,bus,2479041552,35477496476,6204972.96
B,bus,120959775049,1554200451179,167278468.83
B,rail,16213013982,385048673179,4281675.14
E,bus,682741151,10626132484,1778530.8
B,BRT,7232386942,121602952648,1820878.32
C,bus,1915465540,23118995268,1700996.04
A,rail,294882130794,6333653760148,41835286.9
A,bus,386280810656,4126695412294,323548470.94
A,BRT,14972412376,196882205810,2524631.5
H,bus,28268264,487640829,13244.6
C,BRT,10346910,119204964,4875.48
D,BRT,4463512,45857286,1436.64
G,bus,21411088,301368310,59570
D,rail,217170,1551780,156.6
I,bus,3453936,57743172,1360
