Geotype,Mode,Intercept,BetaFleetSize,,,,,,,
A,bus,0,769403,,,,,,,
B,bus,11655005,627893,,,,,,,
C,bus,13798813,727540,,,,,,,
D,bus,16565079,429719,,,,,,,
E,bus,17046689,410939,,,,,,,
F,bus,17361297,769403,,,,,,,
G,bus,17011235,769403,,,,,,,
H,bus,18482976,769403,,,,,,,
I,bus,17578574,769403,,,,,,,
A,brt,-65471058,3615744,,,,,,,
B,brt,89201869,1490401,,,,,,,
C,brt,-65471058,3615744,,,,,,,
D,brt,-65471058,3615744,,,,,,,
E,brt,-65471058,3615744,,,,,,,
F,brt,-65471058,3615744,,,,,,,
G,brt,-65471058,3615744,,,,,,,
H,brt,-65471058,3615744,,,,,,,
I,brt,-65471058,3615744,,,,,,,
A,rail,79938425,1511391,,,,,,,
B,rail,18897434,1794222,,,,,,,
C,rail,79938425,1511391,,,,,,,
D,rail,79938425,1511391,,,,,,,
E,rail,79938425,1511391,,,,,,,
F,rail,79938425,1511391,,,,,,,
G,rail,79938425,1511391,,,,,,,
H,rail,79938425,1511391,,,,,,,
I,rail,79938425,1511391,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
