OriginMicrotypeID,DestinationMicrotypeID,DistanceBinID,From,A_1,B_1,C_1,D_1,E_1,F_1,A_2,B_2,C_2,D_2,E_2,F_2,A_3,B_3,C_3,D_3,E_3,F_3,A_4,B_4,C_4,D_4,E_4,F_4,A_5,B_5,C_5,D_5,E_5,F_5,A_6,B_6,C_6,D_6,E_6,F_6
A_1,A_1,long,A_1,0.883805882,0,0,0,0,0,0.032588899,0,0,0,0,0,0.076573362,0,0,0,0,0,0.002409412,0,0,0,0,0,0.00079587,0,0,0,0,0,0.003793633,0,0,0,0,0
A_1,A_1,long,A_2,0.548135749,0,0,0,0,0,0.329203881,0,0,0,0,0,0.105491345,0,0,0,0,0,0.013479114,0,0,0,0,0,0.001675797,0,0,0,0,0,0.002014115,0,0,0,0,0
A_1,A_1,long,A_3,0.593681262,0,0,0,0,0,0.064086072,0,0,0,0,0,0.336624021,0,0,0,0,0,0.004035867,0,0,0,0,0,0.000193803,0,0,0,0,0,0.001378975,0,0,0,0,0
A_1,A_1,long,A_4,0.570881109,0,0,0,0,0,0.089277414,0,0,0,0,0,0.122535196,0,0,0,0,0,0.217306281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_1,long,A_5,0.602572602,0,0,0,0,0,0.265667773,0,0,0,0,0,0.026541773,0,0,0,0,0,0,0,0,0,0,0,0.105217853,0,0,0,0,0,0,0,0,0,0,0
A_1,A_1,long,A_6,0.780753072,0,0,0,0,0,0.078608912,0,0,0,0,0,0.03645429,0,0,0,0,0,0.014659216,0,0,0,0,0,0,0,0,0,0,0,0.08952451,0,0,0,0,0
A_1,A_1,medium,A_1,0.932792615,0,0,0,0,0,0.026009666,0,0,0,0,0,0.036912768,0,0,0,0,0,0.000933024,0,0,0,0,0,0.000636027,0,0,0,0,0,0.002651803,0,0,0,0,0
A_1,A_1,medium,A_2,0.715453265,0,0,0,0,0,0.225097801,0,0,0,0,0,0.050096982,0,0,0,0,0,0.009351951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_1,medium,A_3,0.710335868,0,0,0,0,0,0.03968846,0,0,0,0,0,0.249671395,0,0,0,0,0,0.000304277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_1,medium,A_4,0.614595562,0,0,0,0,0,0.079031577,0,0,0,0,0,0.137310765,0,0,0,0,0,0.169062096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_1,medium,A_5,0.977742149,0,0,0,0,0,0,0,0,0,0,0,0.022257851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_1,medium,A_6,0.940594667,0,0,0,0,0,0.011691922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047713412,0,0,0,0,0
A_1,A_1,short,A_1,0.965690823,0,0,0,0,0,0.013610294,0,0,0,0,0,0.018444494,0,0,0,0,0,0.000376277,0,0,0,0,0,2.03E-05,0,0,0,0,0,0.001716416,0,0,0,0,0
A_1,A_1,short,A_2,0.933451107,0,0,0,0,0,0.066548893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_1,short,A_3,0.798270496,0,0,0,0,0,0.024762385,0,0,0,0,0,0.176967119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_1,short,A_4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_1,short,A_5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_1,short,A_6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_1,xlong,A_1,0.86865813,0,0,0,0,0,0.038149648,0,0,0,0,0,0.083945551,0,0,0,0,0,0.004673983,0,0,0,0,0,0.002290922,0,0,0,0,0,0.002264312,0,0,0,0,0
A_1,A_1,xlong,A_2,0.421132223,0,0,0,0,0,0.417922755,0,0,0,0,0,0.129069179,0,0,0,0,0,0.017429886,0,0,0,0,0,0.010130828,0,0,0,0,0,0.00431513,0,0,0,0,0
A_1,A_1,xlong,A_3,0.486103991,0,0,0,0,0,0.072660018,0,0,0,0,0,0.427250922,0,0,0,0,0,0.008702024,0,0,0,0,0,0.004840679,0,0,0,0,0,0.000442366,0,0,0,0,0
A_1,A_1,xlong,A_4,0.388191833,0,0,0,0,0,0.173625299,0,0,0,0,0,0.175116077,0,0,0,0,0,0.247107816,0,0,0,0,0,0.015958975,0,0,0,0,0,0,0,0,0,0,0
A_1,A_1,xlong,A_5,0.299548569,0,0,0,0,0,0.25669534,0,0,0,0,0,0.184394562,0,0,0,0,0,0.000582246,0,0,0,0,0,0.258779283,0,0,0,0,0,0,0,0,0,0,0
A_1,A_1,xlong,A_6,0.477085967,0,0,0,0,0,0.23071815,0,0,0,0,0,0.106999704,0,0,0,0,0,0.013140508,0,0,0,0,0,0.001833591,0,0,0,0,0,0.170222081,0,0,0,0,0
A_1,A_2,long,A_1,0.592675734,0,0,0,0,0,0.275924077,0,0,0,0,0,0.116849241,0,0,0,0,0,0.008124603,0,0,0,0,0,0.005911043,0,0,0,0,0,0.000515301,0,0,0,0,0
A_1,A_2,long,A_2,0.178663716,0,0,0,0,0,0.738747692,0,0,0,0,0,0.065261298,0,0,0,0,0,0.009713972,0,0,0,0,0,0.006903922,0,0,0,0,0,0.000528132,0,0,0,0,0
A_1,A_2,long,A_3,0.228413489,0,0,0,0,0,0.360061726,0,0,0,0,0,0.395927635,0,0,0,0,0,0.005747818,0,0,0,0,0,0.009827925,0,0,0,0,0,2.14E-05,0,0,0,0,0
A_1,A_2,long,A_4,0.127076882,0,0,0,0,0,0.618889487,0,0,0,0,0,0.13112925,0,0,0,0,0,0.120372577,0,0,0,0,0,0.002531804,0,0,0,0,0,0,0,0,0,0,0
A_1,A_2,long,A_5,0.093287045,0,0,0,0,0,0.529466341,0,0,0,0,0,0.105626972,0,0,0,0,0,0,0,0,0,0,0,0.271619642,0,0,0,0,0,0,0,0,0,0,0
A_1,A_2,long,A_6,0.347470206,0,0,0,0,0,0.298675039,0,0,0,0,0,0.227529992,0,0,0,0,0,0.043103979,0,0,0,0,0,0,0,0,0,0,0,0.083220785,0,0,0,0,0
A_1,A_2,medium,A_1,0.553969542,0,0,0,0,0,0.373503841,0,0,0,0,0,0.062415798,0,0,0,0,0,0.003544529,0,0,0,0,0,0.006566291,0,0,0,0,0,0,0,0,0,0,0
A_1,A_2,medium,A_2,0.134564957,0,0,0,0,0,0.811447153,0,0,0,0,0,0.044210925,0,0,0,0,0,0.004606498,0,0,0,0,0,0.004749134,0,0,0,0,0,0,0,0,0,0,0
A_1,A_2,medium,A_3,0.175630218,0,0,0,0,0,0.567373242,0,0,0,0,0,0.246834182,0,0,0,0,0,0,0,0,0,0,0,0.010162358,0,0,0,0,0,0,0,0,0,0,0
A_1,A_2,medium,A_4,0.113399004,0,0,0,0,0,0.631280602,0,0,0,0,0,0.060597084,0,0,0,0,0,0.19472331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_2,medium,A_5,0.167765913,0,0,0,0,0,0.666393883,0,0,0,0,0,0.05563193,0,0,0,0,0,0.001570352,0,0,0,0,0,0.108637922,0,0,0,0,0,0,0,0,0,0,0
A_1,A_2,short,A_1,0.357551337,0,0,0,0,0,0.614016541,0,0,0,0,0,0.016330193,0,0,0,0,0,0.00936921,0,0,0,0,0,0.002732719,0,0,0,0,0,0,0,0,0,0,0
A_1,A_2,short,A_2,0.038259297,0,0,0,0,0,0.960077524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000382036,0,0,0,0,0,0,0,0,0,0,0
A_1,A_2,short,A_3,0.2183623,0,0,0,0,0,0.740184311,0,0,0,0,0,0.04145339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_2,short,A_4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_2,short,A_5,0.006501096,0,0,0,0,0,0.993498904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_2,xlong,A_1,0.700806422,0,0,0,0,0,0.153473038,0,0,0,0,0,0.121346453,0,0,0,0,0,0.011473023,0,0,0,0,0,0.012378876,0,0,0,0,0,0.000522188,0,0,0,0,0
A_1,A_2,xlong,A_2,0.159266989,0,0,0,0,0,0.676320328,0,0,0,0,0,0.11819013,0,0,0,0,0,0.024919074,0,0,0,0,0,0.020119614,0,0,0,0,0,0.001102249,0,0,0,0,0
A_1,A_2,xlong,A_3,0.234538802,0,0,0,0,0,0.246889813,0,0,0,0,0,0.477888904,0,0,0,0,0,0.01670283,0,0,0,0,0,0.023143696,0,0,0,0,0,0.000835956,0,0,0,0,0
A_1,A_2,xlong,A_4,0.206710205,0,0,0,0,0,0.390304349,0,0,0,0,0,0.181910242,0,0,0,0,0,0.190125639,0,0,0,0,0,0.030949564,0,0,0,0,0,0,0,0,0,0,0
A_1,A_2,xlong,A_5,0.117287284,0,0,0,0,0,0.337355572,0,0,0,0,0,0.207004717,0,0,0,0,0,0.046588556,0,0,0,0,0,0.289868033,0,0,0,0,0,0.001895838,0,0,0,0,0
A_1,A_2,xlong,A_6,0.22407859,0,0,0,0,0,0.279624756,0,0,0,0,0,0.022011229,0,0,0,0,0,0.010823023,0,0,0,0,0,0,0,0,0,0,0,0.463462402,0,0,0,0,0
A_1,A_3,long,A_1,0.692815822,0,0,0,0,0,0.084947348,0,0,0,0,0,0.209618886,0,0,0,0,0,0.008202047,0,0,0,0,0,0.002697083,0,0,0,0,0,0.001718813,0,0,0,0,0
A_1,A_3,long,A_2,0.217833492,0,0,0,0,0,0.409057341,0,0,0,0,0,0.352285724,0,0,0,0,0,0.010593733,0,0,0,0,0,0.008665985,0,0,0,0,0,0.001563725,0,0,0,0,0
A_1,A_3,long,A_3,0.29481483,0,0,0,0,0,0.119314118,0,0,0,0,0,0.568965353,0,0,0,0,0,0.009686207,0,0,0,0,0,0.00598519,0,0,0,0,0,0.0010388,0,0,0,0,0
A_1,A_3,long,A_4,0.185525838,0,0,0,0,0,0.172696323,0,0,0,0,0,0.361694452,0,0,0,0,0,0.280083387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_3,long,A_5,0.222575816,0,0,0,0,0,0.117092154,0,0,0,0,0,0.527730952,0,0,0,0,0,0.000679558,0,0,0,0,0,0.13192152,0,0,0,0,0,0,0,0,0,0,0
A_1,A_3,long,A_6,0.510662521,0,0,0,0,0,0.103980449,0,0,0,0,0,0.112010854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273346176,0,0,0,0,0
A_1,A_3,medium,A_1,0.618087776,0,0,0,0,0,0.061299632,0,0,0,0,0,0.308587323,0,0,0,0,0,0.006782031,0,0,0,0,0,0.00048954,0,0,0,0,0,0.004753698,0,0,0,0,0
A_1,A_3,medium,A_2,0.327019998,0,0,0,0,0,0.209805226,0,0,0,0,0,0.462507766,0,0,0,0,0,0,0,0,0,0,0,0.000667009,0,0,0,0,0,0,0,0,0,0,0
A_1,A_3,medium,A_3,0.289972077,0,0,0,0,0,0.041430673,0,0,0,0,0,0.664006688,0,0,0,0,0,0.000222663,0,0,0,0,0,0.001924404,0,0,0,0,0,0.001975883,0,0,0,0,0
A_1,A_3,medium,A_4,0.723401527,0,0,0,0,0,0,0,0,0,0,0,0.214270995,0,0,0,0,0,0.062327478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_3,medium,A_5,0.36027065,0,0,0,0,0,0.157203071,0,0,0,0,0,0.41627637,0,0,0,0,0,0,0,0,0,0,0,0.06624991,0,0,0,0,0,0,0,0,0,0,0
A_1,A_3,medium,A_6,0.588641352,0,0,0,0,0,0,0,0,0,0,0,0.363815713,0,0,0,0,0,0.047542936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_3,short,A_1,0.475809714,0,0,0,0,0,0.02387996,0,0,0,0,0,0.49976151,0,0,0,0,0,0.000548816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
