MicrotypeID,PerStartCost,PerEndCost,PerMileCost,VehicleSize
A_1,0,0,0.412759073,1
A_2,0,0,0.404417805,1
A_3,0,0,0.409659818,1
A_4,0,0,0.381561847,1
A_5,0,0,0.330111112,1
A_6,0,0,0.351183437,1
A_7,0,0,0.450041689,1
B_1,0,0,0.366589514,1
B_2,0,0,0.369971464,1
B_3,0,0,0.366177853,1
B_4,0,0,0.368045246,1
B_5,0,0,0.382482174,1
B_6,0,0,0.35368227,1
B_7,0,0,0.349500889,1
C_1,0,0,0.33534086,1
C_2,0,0,0.350744146,1
C_3,0,0,0.344943755,1
C_4,0,0,0.351686021,1
C_5,0,0,0.35165598,1
C_6,0,0,0.326693338,1
D_1,0,0,0.340491727,1
D_2,0,0,0.34018203,1
D_3,0,0,0.337470122,1
D_4,0,0,0.342491174,1
D_5,0,0,0.331072512,1
D_6,0,0,0.335721299,1
D_7,0,0,0.441071682,1
E_1,0,0,0.332391126,1
E_2,0,0,0.337570121,1
E_3,0,0,0.330085389,1
E_4,0,0,0.335074691,1
E_5,0,0,0.336640741,1
E_6,0,0,0.342731158,1
E_7,0,0,0.331129633,1
F_2,0,0,0.332949263,1
F_3,0,0,0.330684643,1
F_4,0,0,0.326728938,1
F_5,0,0,0.345754327,1
F_6,0,0,0.342602099,1
F_7,0,0,0.330725677,1
G_1,0,0,0.312717844,1
G_2,0,0,0.312880316,1
G_3,0,0,0.313243916,1
G_4,0,0,0.313083682,1
G_5,0,0,0.314325885,1
G_6,0,0,0.331483532,1
H_1,0,0,0.319270501,1
H_2,0,0,0.326269202,1
H_3,0,0,0.319005935,1
H_4,0,0,0.324314245,1
H_5,0,0,0.347471851,1
H_6,0,0,0.337706491,1
I_2,0,0,0.313404148,1
I_3,0,0,0.312768177,1
I_4,0,0,0.333377438,1
I_6,0,0,0.332100459,1
