MicrotypeID,PerStartCost,PerEndCost,PerMileCost,VehicleSize,SpeedInMetersPerSecond
A_1,0,0,0,0,4.2
A_2,0,0,0,0,4.2
A_3,0,0,0,0,4.2
A_4,0,0,0,0,4.2
A_5,0,0,0,0,4.2
A_6,0,0,0,0,4.2
A_7,0,0,0,0,4.2
B_1,0,0,0,0,4.2
B_2,0,0,0,0,4.2
B_3,0,0,0,0,4.2
B_4,0,0,0,0,4.2
B_5,0,0,0,0,4.2
B_6,0,0,0,0,4.2
B_7,0,0,0,0,4.2
C_1,0,0,0,0,4.2
C_2,0,0,0,0,4.2
C_3,0,0,0,0,4.2
C_4,0,0,0,0,4.2
C_5,0,0,0,0,4.2
C_6,0,0,0,0,4.2
D_1,0,0,0,0,4.2
D_2,0,0,0,0,4.2
D_3,0,0,0,0,4.2
D_4,0,0,0,0,4.2
D_5,0,0,0,0,4.2
D_6,0,0,0,0,4.2
D_7,0,0,0,0,4.2
E_1,0,0,0,0,4.2
E_2,0,0,0,0,4.2
E_3,0,0,0,0,4.2
E_4,0,0,0,0,4.2
E_5,0,0,0,0,4.2
E_6,0,0,0,0,4.2
E_7,0,0,0,0,4.2
F_2,0,0,0,0,4.2
F_3,0,0,0,0,4.2
F_4,0,0,0,0,4.2
F_5,0,0,0,0,4.2
F_6,0,0,0,0,4.2
F_7,0,0,0,0,4.2
G_1,0,0,0,0,4.2
G_2,0,0,0,0,4.2
G_3,0,0,0,0,4.2
G_4,0,0,0,0,4.2
G_5,0,0,0,0,4.2
G_6,0,0,0,0,4.2
H_1,0,0,0,0,4.2
H_2,0,0,0,0,4.2
H_3,0,0,0,0,4.2
H_4,0,0,0,0,4.2
H_5,0,0,0,0,4.2
H_6,0,0,0,0,4.2
I_2,0,0,0,0,4.2
I_3,0,0,0,0,4.2
I_4,0,0,0,0,4.2
I_6,0,0,0,0,4.2
