MicrotypeID,Headway,PerStartCost,PerEndCost,PerMileCost,VehicleCapacity,VehicleSize,StopSpacing,VehicleOperatingCostPerHour,PassengerWait,PassengerWaitDedicated,MinStopTime
A_1,600,0,0,2.281172969,50,3,600,50,5,2,15
A_2,600,0,0,2.129041275,50,3,600,50,5,2,15
A_3,600,0,0,1.958090902,50,3,600,50,5,2,15
A_4,600,0,0,1.685398407,50,3,600,50,5,2,15
A_5,600,0,0,0.708168847,50,3,600,50,5,2,15
A_6,600,0,0,1.062430226,50,3,600,50,5,2,15
A_7,600,0,0,2.031375922,50,3,600,50,5,2,15
B_1,600,0,0,1.056498625,50,3,600,50,5,2,15
B_2,600,0,0,1.303524311,50,3,600,50,5,2,15
B_3,600,0,0,1.001162483,50,3,600,50,5,2,15
B_4,600,0,0,1.131996305,50,3,600,50,5,2,15
B_5,600,0,0,1.069576626,50,3,600,50,5,2,15
B_6,600,0,0,1.01473472,50,3,600,50,5,2,15
B_7,600,0,0,0.458825068,50,3,600,50,5,2,15
C_1,600,0,0,0.784651308,50,3,600,50,5,2,15
C_2,600,0,0,1.055461592,50,3,600,50,5,2,15
C_3,600,0,0,0.821512334,50,3,600,50,5,2,15
C_4,600,0,0,1.015595886,50,3,600,50,5,2,15
C_5,600,0,0,1.06666388,50,3,600,50,5,2,15
C_6,600,0,0,0.61277016,50,3,600,50,5,2,15
D_1,600,0,0,0.895257341,50,3,600,50,5,2,15
D_2,600,0,0,0.880888634,50,3,600,50,5,2,15
D_3,600,0,0,0.729048331,50,3,600,50,5,2,15
D_4,600,0,0,0.904956549,50,3,600,50,5,2,15
D_5,600,0,0,0.619666751,50,3,600,50,5,2,15
D_6,600,0,0,0.783015832,50,3,600,50,5,2,15
D_7,600,0,0,0.984945728,50,3,600,50,5,2,15
E_1,600,0,0,0.565512511,50,3,600,50,5,2,15
E_2,600,0,0,0.709336254,50,3,600,50,5,2,15
E_3,600,0,0,0.564299575,50,3,600,50,5,2,15
E_4,600,0,0,0.706200916,50,3,600,50,5,2,15
E_5,600,0,0,0.720399524,50,3,600,50,5,2,15
E_6,600,0,0,0.31475759,50,3,600,50,5,2,15
E_7,600,0,0,0.257809881,50,3,600,50,5,2,15
F_2,600,0,0,0.761400916,50,3,600,50,5,2,15
F_3,600,0,0,0.651405098,50,3,600,50,5,2,15
F_4,600,0,0,0.631913183,50,3,600,50,5,2,15
F_5,600,0,0,0.91789865,50,3,600,50,5,2,15
F_6,600,0,0,0.351215599,50,3,600,50,5,2,15
F_7,600,0,0,0.334931061,50,3,600,50,5,2,15
G_1,600,0,0,0.373292479,50,3,600,50,5,2,15
G_2,600,0,0,0.375852637,50,3,600,50,5,2,15
G_3,600,0,0,0.363983664,50,3,600,50,5,2,15
G_4,600,0,0,0.381740894,50,3,600,50,5,2,15
G_5,600,0,0,0.412842982,50,3,600,50,5,2,15
G_6,600,0,0,0.254158054,50,3,600,50,5,2,15
H_1,600,0,0,0.5134112,50,3,600,50,5,2,15
H_2,600,0,0,0.598905749,50,3,600,50,5,2,15
H_3,600,0,0,0.461052734,50,3,600,50,5,2,15
H_4,600,0,0,0.581852043,50,3,600,50,5,2,15
H_5,600,0,0,0.731221104,50,3,600,50,5,2,15
H_6,600,0,0,0.292331785,50,3,600,50,5,2,15
I_2,600,0,0,0.363425817,50,3,600,50,5,2,15
I_3,600,0,0,0.29613873,50,3,600,50,5,2,15
I_4,600,0,0,0.905345835,50,3,600,50,5,2,15
I_6,600,0,0,0.258214006,50,3,600,50,5,2,15
