MicrotypeID,Headway,PerStartCost,PerEndCost,PerMileCost,VehicleCapacity,StopSpacing,SpeedInMetersPerSecond,VehicleOperatingCostsPerHour,VehicleSize
A_1,600,4,0,0,2000,1600,20,50,10
A_2,600,4,0,0,2000,1600,20,50,10
A_3,600,4,0,0,2000,1600,20,50,10
A_4,600,4,0,0,2000,1600,20,50,10
A_6,600,4,0,0,2000,1600,20,50,10
A_7,600,4,0,0,2000,1600,20,50,10
B_1,600,4,0,0,2000,1600,20,50,10
B_2,600,4,0,0,2000,1600,20,50,10
B_3,600,4,0,0,2000,1600,20,50,10
B_4,600,4,0,0,2000,1600,20,50,10
B_6,600,4,0,0,2000,1600,20,50,10
B_7,600,4,0,0,2000,1600,20,50,10
C_1,600,4,0,0,2000,1600,20,50,10
C_2,600,4,0,0,2000,1600,20,50,10
C_3,600,4,0,0,2000,1600,20,50,10
C_4,600,4,0,0,2000,1600,20,50,10
C_6,600,4,0,0,2000,1600,20,50,10
D_1,600,4,0,0,2000,1600,20,50,10
D_2,600,4,0,0,2000,1600,20,50,10
D_3,600,4,0,0,2000,1600,20,50,10
D_4,600,4,0,0,2000,1600,20,50,10
D_6,600,4,0,0,2000,1600,20,50,10
D_7,600,4,0,0,2000,1600,20,50,10
E_1,600,4,0,0,2000,1600,20,50,10
E_2,600,4,0,0,2000,1600,20,50,10
E_3,600,4,0,0,2000,1600,20,50,10
E_4,600,4,0,0,2000,1600,20,50,10
E_6,600,4,0,0,2000,1600,20,50,10
E_7,600,4,0,0,2000,1600,20,50,10
F_2,600,4,0,0,2000,1600,20,50,10
F_3,600,4,0,0,2000,1600,20,50,10
F_4,600,4,0,0,2000,1600,20,50,10
F_6,600,4,0,0,2000,1600,20,50,10
F_7,600,4,0,0,2000,1600,20,50,10
G_1,600,4,0,0,2000,1600,20,50,10
G_2,600,4,0,0,2000,1600,20,50,10
G_3,600,4,0,0,2000,1600,20,50,10
G_4,600,4,0,0,2000,1600,20,50,10
G_6,600,4,0,0,2000,1600,20,50,10
H_1,600,4,0,0,2000,1600,20,50,10
H_2,600,4,0,0,2000,1600,20,50,10
H_3,600,4,0,0,2000,1600,20,50,10
H_4,600,4,0,0,2000,1600,20,50,10
H_6,600,4,0,0,2000,1600,20,50,10
I_2,600,4,0,0,2000,1600,20,50,10
I_3,600,4,0,0,2000,1600,20,50,10
I_4,600,4,0,0,2000,1600,20,50,10
I_6,600,4,0,0,2000,1600,20,50,10
