TimePeriodID,PopulationGroupTypeID,TripPurposeID,TripGenerationRatePerHour
AM-Peak,low-income,work,0.2
Midday,low-income,work,0.05
PM-Peak,low-income,work,0.2
Evening,low-income,work,0.05
Overnight,low-income,work,0
AM-Peak,low-income,nonwork,0.05
Midday,low-income,nonwork,0.1
PM-Peak,low-income,nonwork,0.15
Evening,low-income,nonwork,0.15
Overnight,low-income,nonwork,0.05
AM-Peak,high-income,work,0.25
Midday,high-income,work,0.05
PM-Peak,high-income,work,0.25
Evening,high-income,work,0.05
Overnight,high-income,work,0
AM-Peak,high-income,nonwork,0.05
Midday,high-income,nonwork,0.15
PM-Peak,high-income,nonwork,0.15
Evening,high-income,nonwork,0.2
Overnight,high-income,nonwork,0.05
