TripPurposeID,OriginMicrotypeID,DestinationMicrotypeID,DistanceBinID,Portion
home,A_1,A_1,medium,0.187966662039263
home,A_1,A_1,short,0.535075256262075
home,A_1,A_1,xlong,0.10634893218942
home,A_1,A_1,long,0.170609149509242
leisure,A_1,A_1,short,0.671936067851682
leisure,A_1,A_1,xlong,0.0550403415197572
leisure,A_1,A_1,medium,0.14913567460852
leisure,A_1,A_1,long,0.123887916020041
medical,A_1,A_1,long,0.240926840956748
medical,A_1,A_1,medium,0.235656934447761
medical,A_1,A_1,short,0.374020411268214
medical,A_1,A_1,xlong,0.149395813327277
other,A_1,A_1,short,0.507155169514042
other,A_1,A_1,medium,0.239335074602434
other,A_1,A_1,xlong,0.0902013624972487
other,A_1,A_1,long,0.163308393386276
school,A_1,A_1,short,0.589395183749694
school,A_1,A_1,medium,0.170360551635967
school,A_1,A_1,long,0.167086172222895
school,A_1,A_1,xlong,0.0731580923914442
work,A_1,A_1,short,0.436460812540434
work,A_1,A_1,medium,0.152000442347383
work,A_1,A_1,long,0.229456002939799
work,A_1,A_1,xlong,0.182082742172384
home,A_1,A_2,xlong,0.372225933033538
home,A_1,A_2,long,0.266698404103301
home,A_1,A_2,medium,0.18270564159815
home,A_1,A_2,short,0.178370021265011
leisure,A_1,A_2,xlong,0.222831795858198
leisure,A_1,A_2,medium,0.265671979306334
leisure,A_1,A_2,short,0.211639122987896
leisure,A_1,A_2,long,0.299857101847572
medical,A_1,A_2,medium,0.105172304076882
medical,A_1,A_2,short,0.0190283039129209
medical,A_1,A_2,long,0.551243646382908
medical,A_1,A_2,xlong,0.324555745627289
other,A_1,A_2,xlong,0.261230189545571
other,A_1,A_2,long,0.239047931437854
other,A_1,A_2,short,0.274327315603342
other,A_1,A_2,medium,0.225394563413233
school,A_1,A_2,xlong,0.160877293583297
school,A_1,A_2,long,0.308055345817972
school,A_1,A_2,short,0.318801857991237
school,A_1,A_2,medium,0.212265502607494
work,A_1,A_2,xlong,0.404125827495724
work,A_1,A_2,short,0.0757627765394957
work,A_1,A_2,long,0.37915604025059
work,A_1,A_2,medium,0.14095535571419
home,A_1,A_3,medium,0.222343657297029
home,A_1,A_3,xlong,0.320476471607218
home,A_1,A_3,short,0.19170914332185
home,A_1,A_3,long,0.265470727773903
leisure,A_1,A_3,xlong,0.2529014842831
leisure,A_1,A_3,long,0.285485379430005
leisure,A_1,A_3,short,0.214085557305678
leisure,A_1,A_3,medium,0.247527578981218
medical,A_1,A_3,medium,0.334217502004076
medical,A_1,A_3,long,0.425681872846863
medical,A_1,A_3,short,0.0603531786716161
medical,A_1,A_3,xlong,0.179747446477445
other,A_1,A_3,medium,0.188122629260445
other,A_1,A_3,xlong,0.359479191873288
other,A_1,A_3,long,0.312161926303762
other,A_1,A_3,short,0.140236252562505
school,A_1,A_3,long,0.321041739858036
school,A_1,A_3,medium,0.254700547033007
school,A_1,A_3,xlong,0.257564355811278
school,A_1,A_3,short,0.166693357297679
work,A_1,A_3,short,0.121984867432567
work,A_1,A_3,long,0.295623374149421
work,A_1,A_3,xlong,0.430164773678753
work,A_1,A_3,medium,0.152226984739259
home,A_1,A_4,xlong,0.594756065348871
home,A_1,A_4,short,0.115530967316473
home,A_1,A_4,long,0.18398482590362
home,A_1,A_4,medium,0.105728141431036
leisure,A_1,A_4,xlong,0.466900629750462
leisure,A_1,A_4,medium,0.133054116341395
leisure,A_1,A_4,short,0.149569589837012
leisure,A_1,A_4,long,0.250475664071131
medical,A_1,A_4,xlong,0.754360625761002
medical,A_1,A_4,long,0.190833837020947
medical,A_1,A_4,medium,0.0548055372180516
other,A_1,A_4,long,0.127697106860502
other,A_1,A_4,xlong,0.677653055589991
other,A_1,A_4,short,0.1692947504084
other,A_1,A_4,medium,0.0253550871411072
school,A_1,A_4,medium,0.686462227907348
school,A_1,A_4,long,0.0637873614130609
school,A_1,A_4,xlong,0.249750410679591
work,A_1,A_4,xlong,0.416148972328784
work,A_1,A_4,medium,0.0723286649966558
work,A_1,A_4,long,0.405216958122517
work,A_1,A_4,short,0.106305404552043
home,A_1,A_5,xlong,0.781195958545038
home,A_1,A_5,medium,0.0537743614457827
home,A_1,A_5,long,0.143183210677588
home,A_1,A_5,short,0.0218464693315913
leisure,A_1,A_5,xlong,0.652722281459438
leisure,A_1,A_5,medium,0.183993780598401
leisure,A_1,A_5,long,0.124530469354207
leisure,A_1,A_5,short,0.0387534685879538
medical,A_1,A_5,xlong,0.487811128506586
medical,A_1,A_5,medium,0.129127151204467
medical,A_1,A_5,long,0.100169254970607
medical,A_1,A_5,short,0.28289246531834
other,A_1,A_5,xlong,0.721190928485479
other,A_1,A_5,long,0.13799955168374
other,A_1,A_5,medium,0.116785756033631
other,A_1,A_5,short,0.0240237637971498
school,A_1,A_5,long,0.355822856049405
school,A_1,A_5,xlong,0.361532074382125
school,A_1,A_5,medium,0.174455840700525
school,A_1,A_5,short,0.108189228867946
work,A_1,A_5,medium,0.0754959060844029
work,A_1,A_5,xlong,0.819491717839941
work,A_1,A_5,long,0.0975211981534284
work,A_1,A_5,short,0.00749117792222748
home,A_1,A_6,long,0.0282461411520294
home,A_1,A_6,medium,0.0421424426473862
home,A_1,A_6,xlong,0.929611416200584
leisure,A_1,A_6,medium,0.370106123247932
leisure,A_1,A_6,short,0.370491415996222
