MicrotypeID,Mode,VMTPerHour
A_1,freight_combo,149704
A_1,freight_single,282085
A_2,freight_combo,293150
A_2,freight_single,447377
A_3,freight_combo,3468484
A_3,freight_single,1912719
A_4,freight_combo,438895
A_4,freight_single,430543
A_5,freight_combo,557237
A_5,freight_single,481653
A_6,freight_combo,350172
A_6,freight_single,112098
B_1,freight_combo,118079
B_1,freight_single,159622
B_2,freight_combo,416526
B_2,freight_single,612795
B_3,freight_combo,5691029
B_3,freight_single,2363460
B_4,freight_combo,612463
B_4,freight_single,420559
B_5,freight_combo,925333
B_5,freight_single,803950
B_6,freight_combo,3543154
B_6,freight_single,1068447
C_1,freight_combo,13956
C_1,freight_single,15366
C_2,freight_combo,290278
C_2,freight_single,344453
C_3,freight_combo,6305291
C_3,freight_single,1740598
C_4,freight_combo,414028
C_4,freight_single,303857
C_5,freight_combo,2283631
C_5,freight_single,1626232
C_6,freight_combo,6758713
C_6,freight_single,2057435
D_1,freight_combo,2253
D_1,freight_single,1914
D_2,freight_combo,36725
D_2,freight_single,39735
D_3,freight_combo,811308
D_3,freight_single,229570
D_4,freight_combo,45661
D_4,freight_single,45426
D_5,freight_combo,434518
D_5,freight_single,284645
D_6,freight_combo,2053706
D_6,freight_single,577652
E_1,freight_combo,2750
E_1,freight_single,6010
E_2,freight_combo,18457
E_2,freight_single,39659
E_3,freight_combo,332218
E_3,freight_single,177777
E_4,freight_combo,21532
E_4,freight_single,17936
E_5,freight_combo,154916
E_5,freight_single,103732
E_6,freight_combo,623864
E_6,freight_single,178550
F_1,freight_combo,2322
F_1,freight_single,4368
F_2,freight_combo,44609
F_2,freight_single,67510
F_3,freight_combo,893839
F_3,freight_single,416519
F_4,freight_combo,79707
F_4,freight_single,61514
F_5,freight_combo,742428
F_5,freight_single,458327
F_6,freight_combo,893320
F_6,freight_single,215510
