MicrotypeID,ModeTypeID,CostPerMeter
A_1,bus,0.07810914
A_2,bus,0.07745187
A_3,bus,0.08607998
A_4,bus,0.07638173
A_5,bus,0.07142748
A_6,bus,0.07628723
A_7,bus,0.03771167
B_1,bus,0.07780214
B_2,bus,0.07734351
B_3,bus,0.08507822
B_4,bus,0.075982
B_5,bus,0.05641419
B_6,bus,0.0300489
C_1,bus,0.06183717
C_2,bus,0.06163746
C_3,bus,0.06701173
C_4,bus,0.06032392
C_5,bus,0.05730824
C_6,bus,0.05993541
D_1,bus,0.06125031
D_2,bus,0.06094087
D_3,bus,0.06627784
D_4,bus,0.05990677
D_5,bus,0.05739465
D_6,bus,0.05960893
E_1,bus,0.07270918
E_2,bus,0.06092756
E_3,bus,0.06651152
E_4,bus,0.05952048
E_5,bus,0.04974128
E_7,bus,0.03263512
F_2,bus,0.05306579
F_3,bus,0.03318774
F_4,bus,0.05827094
F_5,bus,0.05723445
F_6,bus,0.03019381
G_1,bus,0.05840001
G_2,bus,0.06154513
G_3,bus,0.06724363
G_4,bus,0.05950566
G_5,bus,0.04923264
G_6,bus,0.02962138
G_7,bus,0.02962138
H_1,bus,0.05190202
H_2,bus,0.05946098
H_3,bus,0.05768175
H_4,bus,0.02951535
H_5,bus,0.05668618
H_6,bus,0.05198934
I_2,bus,0.05328142
I_3,bus,0.05917275
I_4,bus,0.05388392
I_6,bus,0.02981494
I_7,bus,0.02962138
A_1,bike,0.015621828
A_2,bike,0.015490374
A_3,bike,0.017215996
A_4,bike,0.015276346
A_5,bike,0.014285496
A_6,bike,0.015257446
A_7,bike,0.007542334
B_1,bike,0.015560428
B_2,bike,0.015468702
B_3,bike,0.017015644
B_4,bike,0.0151964
B_5,bike,0.011282838
B_6,bike,0.00600978
C_1,bike,0.012367434
C_2,bike,0.012327492
C_3,bike,0.013402346
C_4,bike,0.012064784
C_5,bike,0.011461648
C_6,bike,0.011987082
D_1,bike,0.012250062
D_2,bike,0.012188174
D_3,bike,0.013255568
D_4,bike,0.011981354
D_5,bike,0.01147893
D_6,bike,0.011921786
E_1,bike,0.014541836
E_2,bike,0.012185512
E_3,bike,0.013302304
E_4,bike,0.011904096
E_5,bike,0.009948256
E_7,bike,0.006527024
F_2,bike,0.010613158
F_3,bike,0.006637548
F_4,bike,0.011654188
F_5,bike,0.01144689
F_6,bike,0.006038762
G_1,bike,0.011680002
G_2,bike,0.012309026
G_3,bike,0.013448726
G_4,bike,0.011901132
G_5,bike,0.009846528
G_6,bike,0.005924276
G_7,bike,0.005924276
H_1,bike,0.010380404
H_2,bike,0.011892196
H_3,bike,0.01153635
H_4,bike,0.00590307
H_5,bike,0.011337236
H_6,bike,0.010397868
I_2,bike,0.010656284
I_3,bike,0.01183455
I_4,bike,0.010776784
I_6,bike,0.005962988
I_7,bike,0.005924276
