FromMicrotypeID,ToMicrotypeID,DistanceBinID,ThroughMicrotypeID,Portion
E_5,E_4,long,E_5,0.52163326124534
E_5,E_4,long,E_2,0.0118498101377693
E_5,E_4,long,E_4,0.333590634095018
E_2,E_4,long,E_2,0.49929577977038
E_2,E_4,long,E_5,0.237900047487518
E_2,E_4,long,E_4,0.240468259269109
C_4,E_5,xlong,C_4,0.0530356794345599
C_4,E_5,xlong,C_3,0.250829653032851
C_4,E_5,xlong,C_5,0.423004212927739
C_4,E_5,xlong,E_3,0.0194024690672397
C_4,E_5,xlong,E_6,0.0228119146884981
C_4,E_5,xlong,E_5,0.166583046182558
C_4,E_5,xlong,E_4,0.0321677624058613
E_5,C_5,xlong,E_5,0.309311514724231
E_5,C_5,xlong,E_4,0.0143376332686163
E_5,C_5,xlong,E_6,0.0954773027947716
E_5,C_5,xlong,E_3,0.0722086110650206
E_5,C_5,xlong,C_6,0.145014193544596
E_5,C_5,xlong,C_3,0.0763032248468815
E_5,C_5,xlong,C_5,0.197828584366479
E_4,E_5,medium,E_4,0.538836874389144
E_4,E_5,medium,E_5,0.461163125610857
E_5,E_4,medium,E_5,0.450909941444763
E_5,E_4,medium,E_4,0.533051845653027
A_5,A_4,long,A_5,0.385263542122413
A_5,A_4,long,A_4,0.44680586362936
A_4,A_5,long,A_4,0.377201815118295
A_4,A_5,long,A_3,0.0687741211753559
A_4,A_5,long,A_5,0.487716095122575
B_1,B_3,long,B_1,0.238322455327701
B_1,B_3,long,B_2,0.160293040586203
B_1,B_3,long,B_3,0.554883617965774
B_3,B_1,long,B_3,0.439047339494271
B_3,B_1,long,B_2,0.144062898336373
B_3,B_1,long,B_1,0.389661647098992
B_2,B_1,short,B_2,0.506098076219615
B_2,B_1,short,B_1,0.485359077028341
B_2,B_4,long,B_2,0.319909177768823
B_2,B_4,long,B_1,0.0131816562515803
B_2,B_4,long,B_3,0.160533865047935
B_2,B_4,long,B_4,0.422805466396831
B_3,B_4,xlong,B_3,0.412821067980384
B_3,B_4,xlong,B_4,0.36884916063229
B_4,B_1,long,B_4,0.272511231597103
B_4,B_1,long,B_3,0.161549999244563
B_4,B_1,long,B_2,0.34729476825522
B_4,B_1,long,B_1,0.192530162970881
B_1,B_4,xlong,B_1,0.0682935508567868
B_1,B_4,xlong,B_2,0.136109679008864
B_1,B_4,xlong,B_3,0.428503267049998
B_1,B_4,xlong,B_4,0.290262876744543
B_3,B_1,xlong,B_3,0.519886248683086
B_3,B_1,xlong,B_4,0.0447032180745386
B_3,B_1,xlong,B_2,0.0686124672969998
B_3,B_1,xlong,B_1,0.0883162110677853
B_5,B_2,long,B_5,0.385080762386988
B_5,B_2,long,B_4,0.0249372245294913
B_5,B_2,long,B_2,0.450666656145667
B_2,B_5,long,B_2,0.33730701675503
B_2,B_5,long,B_4,0.0268740882525761
B_2,B_5,long,B_5,0.48490178903138
F_5,F_5,xlong,F_5,0.73688146194676
F_5,F_5,xlong,F_3,0.162149162428982
F_5,F_3,long,F_5,0.454775083684453
F_5,F_3,long,F_2,0.0584505123219308
F_5,F_3,long,F_3,0.466151722028833
F_3,F_5,long,F_3,0.368949540426606
F_3,F_5,long,F_2,0.0500723258780146
F_3,F_5,long,F_5,0.556184673548163
F_5,F_2,medium,F_5,0.540262952223572
F_5,F_2,medium,F_2,0.417825049497002
F_2,F_5,medium,F_2,0.448887706605695
F_2,F_5,medium,F_5,0.502082149738022
B_3,B_3,xlong,B_3,0.527617163165781
B_3,B_3,xlong,B_2,0.046506325968866
B_3,B_3,short,B_3,0.999709101988458
B_3,B_1,medium,B_3,0.427787945987135
B_3,B_1,medium,B_2,0.0796594540619655
B_3,B_1,medium,B_1,0.484629597111761
B_1,B_3,medium,B_1,0.405587058044989
B_1,B_3,medium,B_2,0.114275131807167
B_1,B_3,medium,B_3,0.471679325636054
B_2,A_2,xlong,B_2,0.0268604263027849
B_2,A_2,xlong,B_5,0.0656378864975134
B_2,A_2,xlong,A_5,0.0695075043055868
B_2,A_2,xlong,A_3,0.218362553255176
B_2,A_2,xlong,A_2,0.0330962063075705
B_2,A_2,xlong,A_1,0.00530203961990749
B_2,A_2,xlong,A_4,0.0498539033539826
A_2,B_5,xlong,A_2,0.0421615061378891
A_2,B_5,xlong,A_4,0.0791036079868983
A_2,B_5,xlong,A_1,0.0110536646512606
A_2,B_5,xlong,A_3,0.241633571577699
A_2,B_5,xlong,A_5,0.1256833011226
A_2,B_5,xlong,B_2,0.0132649046072393
A_2,B_5,xlong,B_5,0.107382972760504
B_5,B_5,medium,B_5,0.996118958553311
B_2,A_2,xlong,A_6,0.0264457047118338
A_2,B_5,xlong,A_6,0.020414871963498
C_6,C_2,xlong,C_6,0.468664099842513
C_6,C_2,xlong,C_5,0.253957512260703
C_6,C_2,xlong,C_2,0.111949685289674
C_2,C_2,medium,C_2,0.971009683450287
C_2,C_6,xlong,C_2,0.0762588365645609
C_2,C_6,xlong,C_5,0.221074699517706
C_2,C_6,xlong,C_6,0.527444825211961
C_6,C_5,xlong,C_6,0.473983307703315
C_6,C_5,xlong,C_5,0.40617067117291
C_5,C_6,xlong,C_5,0.300768408137186
C_5,C_6,xlong,C_6,0.582333361229231
B_4,B_4,medium,B_4,0.999017130428394
B_4,B_4,short,B_4,0.99946089921162
B_3,A_3,xlong,B_3,0.269966956364432
B_3,A_3,xlong,C_5,0.0423007465555902
B_3,A_3,xlong,C_3,0.0249203835889113
B_3,A_3,xlong,A_3,0.208384451281758
A_3,A_3,xlong,A_3,0.641563163032699
A_3,A_3,xlong,A_4,0.0689646821427893
A_3,A_3,xlong,A_2,0.0680269519412602
A_3,A_3,xlong,A_5,0.0601626320506972
A_5,A_3,xlong,A_5,0.223360426553652
A_5,A_3,xlong,A_1,0.0180234369738057
A_5,A_3,xlong,A_3,0.560982294102377
A_1,A_1,short,A_1,0.994857086276661
A_3,A_2,xlong,A_3,0.517751231384251
A_3,A_2,xlong,A_1,0.0474084781518884
A_3,A_2,xlong,A_2,0.224022186247465
A_3,A_2,xlong,A_5,0.0965282095075132
B_1,B_2,xlong,B_1,0.0938124346162689
B_1,B_2,xlong,B_3,0.388802035006533
B_1,B_2,xlong,B_2,0.230159254244365
B_3,B_2,xlong,B_3,0.43411153544113
B_3,B_2,xlong,B_2,0.192793096727793
B_3,B_2,xlong,B_1,0.0269751826792882
B_2,B_3,xlong,B_2,0.141346832433023
B_2,B_3,xlong,B_1,0.0197998744310244
B_2,B_3,xlong,B_3,0.600599139370172
C_6,C_1,long,C_6,0.63235306838612
C_6,C_1,long,C_2,0.122539330651518
C_6,C_1,long,C_1,0.189747786428952
C_1,C_6,long,C_1,0.158457779511418
C_1,C_6,long,C_6,0.501315151327475
C_6,C_2,long,C_6,0.52955734518878
C_6,C_2,long,C_2,0.312869881728281
F_2,F_2,medium,F_2,0.957264145882059
F_2,F_2,short,F_2,1
F_2,F_1,long,F_2,0.484916157255379
F_2,F_1,long,F_1,0.339238564964678
F_2,F_2,long,F_2,0.741105425709628
F_1,F_3,long,F_1,0.210799267234441
F_1,F_3,long,F_3,0.544857862203932
F_1,F_2,long,F_1,0.210542037685378
F_1,F_2,long,F_2,0.682559316698363
F_1,F_3,medium,F_1,0.310141004245415
F_1,F_3,medium,F_3,0.506613320625822
A_2,A_1,xlong,A_2,0.18263365539677
A_2,A_1,xlong,A_5,0.067244493949692
A_2,A_1,xlong,A_1,0.15921043411522
A_1,A_2,xlong,A_1,0.131508415867131
A_1,A_2,xlong,A_3,0.456519056683238
A_1,A_2,xlong,A_2,0.251885264496864
A_1,A_2,xlong,A_5,0.0614296440335676
A_2,A_2,long,A_2,0.656025015425957
A_2,A_2,long,A_3,0.20162282544202
A_2,A_2,xlong,A_2,0.291644265050357
A_2,A_2,xlong,A_3,0.447482612607503
A_3,A_2,long,A_3,0.409266743914429
A_3,A_2,long,A_2,0.457695604838505
A_2,A_2,medium,A_2,0.948831045812669
A_2,A_2,long,A_5,0.0486925844147103
A_2,A_3,xlong,A_2,0.163338570359217
