MicrotypeID,Population,PopulationGroupID
F_5,3191060,HighIncVeh
F_6,197547,LowIncVeh
F_6,52993,LowIncVehSenior
C_5,13317223,HighIncVeh
C_5,2162009,LowIncVehSenior
C_4,408759,LowIncVehSenior
C_4,1331625,LowIncVeh
C_4,2909200,HighIncVeh
C_4,563052,HighIncVehSenior
C_5,1783191,HighIncVehSenior
C_5,7922485,LowIncVeh
C_6,4531872,HighIncVeh
D_6,280622,LowIncVehSenior
D_3,465411,HighIncVeh
D_5,1686747,HighIncVeh
C_6,746081,HighIncVehSenior
C_3,3182470,LowIncVeh
C_6,1060856,LowIncVehSenior
D_5,336075,LowIncVehSenior
C_6,141561,LowIncNoVeh
C_2,731508,LowIncVehSenior
C_2,4507793,LowIncVeh
C_2,637178,HighIncVehSenior
C_2,139056,LowIncNoVehSenior
C_6,3216994,LowIncVeh
C_5,648673,LowIncNoVeh
F_5,345658,LowIncVehSenior
F_5,1646996,LowIncVeh
F_3,165961,LowIncVehSenior
F_4,109355,LowIncVehSenior
F_5,428293,HighIncVehSenior
F_6,55405,HighIncVehSenior
D_5,1544785,LowIncVeh
D_3,406626,LowIncVeh
D_3,81228,HighIncVehSenior
D_5,24439,LowIncNoVehSenior
D_5,62487,LowIncNoVeh
D_3,91997,LowIncVehSenior
F_6,251030,HighIncVeh
D_5,301827,HighIncVehSenior
D_2,122186,HighIncVehSenior
D_2,578787,HighIncVeh
F_3,758345,LowIncVeh
F_3,1136740,HighIncVeh
F_3,129227,HighIncVehSenior
F_4,720335,HighIncVeh
F_4,246805,LowIncVeh
F_5,95881,LowIncNoVeh
D_4,348933,HighIncVeh
E_5,265470,LowIncVeh
E_5,446629,HighIncVeh
E_4,136949,HighIncVeh
E_4,50232,HighIncVehSenior
E_3,356983,LowIncVeh
E_5,114009,HighIncVehSenior
E_5,124777,LowIncVehSenior
C_3,4854293,HighIncVeh
C_3,570823,HighIncVehSenior
C_2,4383004,HighIncVeh
C_3,696689,LowIncVehSenior
C_3,184739,LowIncNoVeh
C_1,26147,LowIncVehSenior
C_1,92598,HighIncVeh
C_1,3997,HighIncVehSenior
F_5,4110,HighIncNoVehSenior
C_6,31044,LowIncNoVehSenior
B_6,1310704,LowIncVeh
B_6,452051,LowIncVehSenior
B_6,3144279,HighIncVeh
B_3,485650,LowIncNoVeh
B_3,1098081,LowIncVehSenior
B_3,4579153,LowIncVeh
B_3,836767,HighIncVehSenior
B_3,8033053,HighIncVeh
B_5,9461355,HighIncVeh
B_5,953358,LowIncVehSenior
B_5,1183996,HighIncVehSenior
B_5,3425501,LowIncVeh
B_1,2436904,HighIncVeh
B_1,392457,LowIncVehSenior
B_1,309861,HighIncVehSenior
B_2,7202864,LowIncVeh
B_2,231029,LowIncNoVehSenior
B_2,12071083,HighIncVeh
B_2,1326299,HighIncVehSenior
B_2,1596672,LowIncVehSenior
B_2,862754,LowIncNoVeh
B_1,2627631,LowIncVeh
B_5,39159,LowIncNoVehSenior
B_6,315668,HighIncVehSenior
C_2,494581,LowIncNoVeh
E_6,290195,HighIncVeh
E_6,58306,HighIncVehSenior
E_6,55743,LowIncVehSenior
D_6,158045,HighIncVehSenior
D_6,857253,LowIncVeh
D_6,9518,LowIncNoVehSenior
D_6,789600,HighIncVeh
B_4,601076,HighIncVehSenior
B_4,4470204,HighIncVeh
B_4,1045923,LowIncVeh
B_4,384180,LowIncVehSenior
B_1,803893,LowIncNoVeh
B_2,13176,HighIncNoVehSenior
B_3,87871,LowIncNoVehSenior
C_5,92393,LowIncNoVehSenior
B_6,50922,LowIncNoVeh
C_2,5877,HighIncNoVehSenior
B_1,169949,LowIncNoVehSenior
D_4,326250,LowIncVeh
D_4,54475,LowIncVehSenior
C_4,91834,LowIncNoVeh
A_5,8208347,HighIncVeh
A_2,15984304,HighIncVeh
A_2,195118,HighIncNoVeh
A_3,9135720,HighIncVeh
A_3,3410064,LowIncVeh
A_1,9519197,HighIncVeh
A_1,979604,HighIncVehSenior
A_1,4707282,LowIncVeh
A_1,170864,HighIncNoVehSenior
A_3,170706,HighIncNoVeh
A_1,2347326,LowIncNoVeh
A_2,1179254,LowIncVehSenior
A_1,978549,LowIncVehSenior
A_3,735947,LowIncVehSenior
A_3,1199980,HighIncVehSenior
A_1,569529,LowIncNoVehSenior
A_1,1918499,HighIncNoVeh
A_5,511221,LowIncVehSenior
A_5,20727,HighIncNoVeh
A_2,1815600,HighIncVehSenior
A_2,5025508,LowIncVeh
A_3,194626,LowIncNoVehSenior
A_2,586471,LowIncNoVeh
A_3,574124,LowIncNoVeh
A_5,1105263,HighIncVehSenior
A_2,208494,LowIncNoVehSenior
A_4,826918,LowIncVeh
A_4,6317644,HighIncVeh
A_5,1553547,LowIncVeh
A_4,374545,LowIncVehSenior
C_1,219837,LowIncVeh
C_1,40070,LowIncNoVeh
C_5,6447,HighIncNoVehSenior
D_6,37365,LowIncNoVeh
A_5,114691,LowIncNoVeh
A_5,19525,LowIncNoVehSenior
A_4,818476,HighIncVehSenior
A_2,18265,HighIncNoVehSenior
B_5,131657,LowIncNoVeh
C_2,17085,HighIncNoVeh
D_6,45,HighIncNoVeh
B_6,7300,LowIncNoVehSenior
B_5,839,HighIncNoVehSenior
D_2,635115,LowIncVeh
A_3,33293,HighIncNoVehSenior
A_4,39830,LowIncNoVehSenior
A_6,72876,LowIncVehSenior
A_6,471537,HighIncVeh
A_5,715,HighIncNoVehSenior
C_5,12807,HighIncNoVeh
E_5,9182,LowIncNoVeh
E_6,378901,LowIncVeh
B_2,26126,HighIncNoVeh
B_4,1892,HighIncNoVeh
B_4,4583,HighIncNoVehSenior
E_2,398685,LowIncVeh
E_2,71810,LowIncVehSenior
E_2,55977,HighIncVehSenior
E_2,503211,HighIncVeh
E_2,1489,LowIncNoVehSenior
E_3,345609,HighIncVeh
E_3,30715,LowIncVehSenior
E_3,46715,HighIncVehSenior
E_3,13058,LowIncNoVehSenior
F_3,48596,LowIncNoVeh
F_2,18412,LowIncNoVehSenior
F_2,1427660,HighIncVeh
F_2,206442,LowIncVehSenior
F_2,808482,LowIncVeh
F_2,221045,HighIncVehSenior
F_2,51717,LowIncNoVeh
F_3,33228,LowIncNoVehSenior
F_1,44845,HighIncVeh
F_4,120032,HighIncVehSenior
F_1,9165,LowIncVehSenior
F_1,32280,LowIncVeh
F_5,11003,LowIncNoVehSenior
B_3,35476,HighIncNoVeh
B_4,20983,LowIncNoVehSenior
A_6,62036,HighIncVehSenior
A_6,194418,LowIncVeh
F_1,20068,LowIncNoVeh
B_3,13504,HighIncNoVehSenior
C_3,55891,LowIncNoVehSenior
B_5,8377,HighIncNoVeh
C_1,16095,LowIncNoVehSenior
C_3,64447,HighIncNoVeh
F_1,2129,LowIncNoVehSenior
D_2,33033,LowIncNoVeh
D_2,145980,LowIncVehSenior
D_4,78515,HighIncVehSenior
E_4,27950,LowIncVehSenior
E_1,1266,HighIncVehSenior
B_4,131320,LowIncNoVeh
A_4,36820,HighIncNoVeh
F_4,24368,LowIncNoVeh
C_4,29135,LowIncNoVehSenior
D_3,12251,LowIncNoVeh
