Mode,Intercept,PopulationGroupTypeID,BetaTravelTime,BetaAccessTime,BetaWaitTime,BetaTravelTime_Pooled,BetaAccessTime_Pooled,BetaWaitTime_Pooled,Intercept_Pooled
bike,-1.74907893294048,HighIncome,-0.100038616230553,-0.122791022560873,-0.31272122444854,-0.0872179185808605,-0.187298622849245,-0.2437662619516,-2.33567954886947
bike,-1.9378495127753,LowIncome,-0.0575150503144371,-0.168448172660359,-0.260013898336081,-0.0872179185808605,-0.187298622849245,-0.2437662619516,-2.33567954886947
bus,1.51077527238049,HighIncome,-0.100038616230553,-0.122791022560873,-0.31272122444854,-0.0872179185808605,-0.187298622849245,-0.2437662619516,0.865337623275059
bus,1.39405319533186,LowIncome,-0.0575150503144371,-0.168448172660359,-0.260013898336081,-0.0872179185808605,-0.187298622849245,-0.2437662619516,0.865337623275059
auto,0,HighIncome,-0.100038616230553,-0.122791022560873,-0.31272122444854,-0.0872179185808605,-0.187298622849245,-0.2437662619516,0
auto,0,LowIncome,-0.0575150503144371,-0.168448172660359,-0.260013898336081,-0.0872179185808605,-0.187298622849245,-0.2437662619516,0
hv_pass,-1.6004611564591,HighIncome,-0.100038616230553,-0.122791022560873,-0.31272122444854,-0.0872179185808605,-0.187298622849245,-0.2437662619516,-1.35946966777614
hv_pass,-1.32039609633377,LowIncome,-0.0575150503144371,-0.168448172660359,-0.260013898336081,-0.0872179185808605,-0.187298622849245,-0.2437662619516,-1.35946966777614
rail,-0.73073852121877,HighIncome,-0.100038616230553,-0.122791022560873,-0.31272122444854,-0.0872179185808605,-0.187298622849245,-0.2437662619516,-0.157591082290346
rail,0.569710925845576,LowIncome,-0.0575150503144371,-0.168448172660359,-0.260013898336081,-0.0872179185808605,-0.187298622849245,-0.2437662619516,-0.157591082290346
rail_l,0.315520854302996,HighIncome,-0.100038616230553,-0.122791022560873,-0.31272122444854,-0.0872179185808605,-0.187298622849245,-0.2437662619516,0.0953313028521612
rail_l,0.91041957230224,LowIncome,-0.0575150503144371,-0.168448172660359,-0.260013898336081,-0.0872179185808605,-0.187298622849245,-0.2437662619516,0.0953313028521612
taxi,-3.46928244988702,HighIncome,-0.100038616230553,-0.122791022560873,-0.31272122444854,-0.0872179185808605,-0.187298622849245,-0.2437662619516,-3.58439880818512
taxi,-2.76775987323413,LowIncome,-0.0575150503144371,-0.168448172660359,-0.260013898336081,-0.0872179185808605,-0.187298622849245,-0.2437662619516,-3.58439880818512
walk,1.97670914659334,HighIncome,-0.100038616230553,-0.122791022560873,-0.31272122444854,-0.0872179185808605,-0.187298622849245,-0.2437662619516,1.67111658963663
walk,0.756142432850964,LowIncome,-0.0575150503144371,-0.168448172660359,-0.260013898336081,-0.0872179185808605,-0.187298622849245,-0.2437662619516,1.67111658963663
