OriginMicrotypeID,DestinationMicrotypeID,DistanceBinID,From,A_1,B_1,C_1,D_1,E_1,F_1,A_2,B_2,C_2,D_2,E_2,F_2,A_3,B_3,C_3,D_3,E_3,F_3,A_4,B_4,C_4,D_4,E_4,F_4,A_5,B_5,C_5,D_5,E_5,F_5,A_6,B_6,C_6,D_6,E_6,F_6
A_1,A_1,long,A_1,0.237540625629685,0,0,0,0,0,0.351828952441324,0,0,0,0,0,0.355209644208202,0,0,0,0,0,0.023661435529551,0,0,0,0,0,0.00680160472494139,0,0,0,0,0,0.0244142426017502,0,0,0,0,0
A_1,A_1,long,A_2,0.586328994924102,0,0,0,0,0,0.0854577568286322,0,0,0,0,0,0.269808418705761,0,0,0,0,0,0.0036973913221073,0,0,0,0,0,0.00100534281241742,0,0,0,0,0,0.0537020954069808,0,0,0,0,0
A_1,A_1,long,A_3,0.668848713871589,0,0,0,0,0,0.221886044538497,0,0,0,0,0,0.0537885966545174,0,0,0,0,0,0.0193942604413612,0,0,0,0,0,0.00358800344549493,0,0,0,0,0,0.0324943810485403,0,0,0,0,0
A_1,A_1,long,A_4,0.446956524019853,0,0,0,0,0,0.134608897293354,0,0,0,0,0,0.388721463577276,0,0,0,0,0,0,0,0,0,0,0,0.0297131151095176,0,0,0,0,0,0,0,0,0,0,0
A_1,A_1,long,A_5,0.16876028722796,0,0,0,0,0,0.519745369548735,0,0,0,0,0,0.311494343223305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_1,long,A_6,0.576344159958972,0,0,0,0,0,0.0972086706317315,0,0,0,0,0,0.326447169409297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_1,medium,A_1,0.066117065389572,0,0,0,0,0,0.478230132044762,0,0,0,0,0,0.446677756803909,0,0,0,0,0,0.000546571682893096,0,0,0,0,0,0,0,0,0,0,0,0.00605914620978681,0,0,0,0,0
A_1,A_1,medium,A_2,0.612316700677326,0,0,0,0,0,0.121638841498284,0,0,0,0,0,0.232817735463959,0,0,0,0,0,0.0185205135572226,0,0,0,0,0,0.000630953386159054,0,0,0,0,0,0.0140752554170499,0,0,0,0,0
A_1,A_1,medium,A_3,0.886113620757646,0,0,0,0,0,0.112000178195369,0,0,0,0,0,0.00188620104698511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_1,A_1,medium,A_4,0.955011352114645,0,0,0,0,0,0,0,0,0,0,0,0.0449886478853549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
