MicrotypeID,PerStartCost,PerEndCost,PerMileCost,VehicleSize
A_1,0,2.338942815,0.10881138,
A_2,0,0.470095973,0.10500373,
A_3,0,0.560803006,0.10584473,
A_4,0,0.184312811,0.105508,
A_5,0,0.172594927,0.10469785,
A_6,0,0.470108538,0.10355991,
B_1,0,0.389860396,0.10822449,
B_2,0,0.151985857,0.11051256,
B_3,0,0.184001052,0.10938665,
B_4,0,0.027099476,0.10822693,
B_5,0,0.043868909,0.11036278,
B_6,0,0.002273159,0.10891301,
C_1,0,0.23162519,0.10638428,
C_2,0,0.115694179,0.10751325,
C_3,0,0.093481815,0.10684437,
C_4,0,0.023814769,0.1058705,
C_5,0,0.017251424,0.10783072,
C_6,0,0.006174887,0.10916019,
D_1,0,0,0.10406524,
D_2,0,0,0.10859436,
D_3,0,0.055449331,0.1030464,
D_4,0,0,0.10212988,
D_5,0,0.014027705,0.10655129,
D_6,0,0.008035714,0.10952962,
E_1,0,0,0.11145299,
E_2,0,0,0.1052207,
E_3,0,0.003331238,0.1096112,
E_4,0,0,0.1056565,
E_5,0,0,0.10748404,
E_6,0,0.009096491,0.11230108,
F_1,0,0.512862989,0.10060842,
F_2,0,0.3352081,0.10695525,
F_3,0,0.449233723,0.10639796,
F_4,0,0.29858069,0.10396663,
F_5,0,0.03749547,0.10610224,
F_6,0,0,0.10603483,
