MicrotypeID,PerStartCost,DailyCostPerVehicle,geotype,DirectionalRouteMiles,SeniorFareDiscount,Headway,VehicleCapacity,VehicleSize,StopSpacing,PopulationMicrotypeID,VehicleRevenueHoursPerDay,VehicleRevenueMilesPerDay
A_1,2.4427197,2004,A,41200.289972218,0.5,,,,,21190850,121979.525936942,1338178.3383488
A_2,2.0591331,2004,A,48631.5286965435,0.5,,,,,25013014,143980.802562148,1579543.69511441
A_3,2.0707642,2004,A,30047.3191667179,0.5,,,,,15454460,88959.5133942917,975931.763137296
A_4,1.9143464,2004,A,16618.5154132323,0.5,,,,,8547524,49201.5622523226,539766.524859384
A_5,1.9132631,2004,A,22425.038530781,0.5,,,,,11534036,66392.6290554469,728361.397911609
A_6,2.1553511,2004,A,1557.24822050734,0.5,,,,,800951,4610.46268926066,50579.1546011042
B_1,1.914624,1761,B,14512.3903442572,0.5,,,,,6814388,23591.0576266608,310788.790263998
B_2,1.8620512,1761,B,49685.1823331299,0.5,,,,,23330003,80767.2596868815,1064028.55388121
B_3,1.860165,1761,B,32306.1298400794,0.5,,,,,15169555,52516.2121933474,691849.018179355
B_4,1.8798035,1761,B,14183.9378954645,0.5,,,,,6660161,23057.1317561957,303754.846385832
B_5,1.9333829,1761,B,32380.0016659677,0.5,,,,,15204242,52636.2967872825,693431.013623097
B_6,1.5637879,1761,B,11269.5179211013,0.5,,,,,5291676,18319.5077030568,241341.347529526
C_1,1.8755957,1370,C,381.836304894733,0.5,,,,,398744,588.514234375862,8528.1434703814
C_2,1.7746306,1370,C,10453.214129386,0.5,,,,,10916082,16111.2634688274,233467.872696387
C_3,1.7461449,1370,C,9204.24349517817,0.5,,,,,9611807,14186.2579438777,205572.670950826
C_4,1.6027705,1370,C,5107.44744740503,0.5,,,,,5333605,7871.97415644692,114072.559472603
C_5,1.6410918,1370,C,24845.0885509785,0.5,,,,,25945228,38293.0802523102,554903.965340561
C_6,1.4173441,1370,C,9320.31007215757,0.5,,,,,9733013,14365.1483003263,208164.966151434
D_1,1.9666667,1292,D,45.5885019586995,0.5,,,,,46580,74.8337835097886,1093.38644886863
D_2,2.1956671,1292,D,1483.91356846833,0.5,,,,,1516187,2435.85250576118,35589.916697097
D_3,1.9902344,1292,D,1035.00286543259,0.5,,,,,1057513,1698.96305068242,24823.3229648435
D_4,2.2670068,1292,D,791.248250923665,0.5,,,,,808457,1298.83847391527,18977.156038922
D_5,1.4936927,1292,D,3872.38992560777,0.5,,,,,3956610,6356.54993930151,92874.7049690448
D_6,0.9130435,1292,D,2087.05688760895,0.5,,,,,2132448,3425.91567148737,50055.597812731
E_1,2.219311,928,E,132.441972960733,0.5,,,,,157352,237.446675407397,3381.73035779161
E_2,1.9285714,928,E,896.065664332172,0.5,,,,,1064600,1606.49836442317,22879.8498837317
E_3,2,928,E,683.601475604905,0.5,,,,,812175,1225.58501702554,17454.8582371969
E_4,1.8571429,928,E,237.76461875184,0.5,,,,,282484,426.272857388423,6071.00461634046
E_5,1.8409091,928,E,811.255902540162,0.5,,,,,963839,1454.44840979454,20714.3449484182
E_6,2.753173,928,E,660.330365810188,0.5,,,,,784527,1183.86374445408,16860.6612715897
F_1,2.0983346,1529,F,186.154430216274,0.5,,,,,115303,331.310949969318,4543.36954807828
F_2,2.3135352,1529,F,4414.87406953029,0.5,,,,,2734548,7857.43385355714,107751.421133521
F_3,2.4400459,1529,F,3677.94611867222,0.5,,,,,2278099,6545.87602936744,89765.6229595724
F_4,2.4130937,1529,F,1995.90297311691,0.5,,,,,1236251,3552.23622291284,48712.9142102228
F_5,2.4109081,1529,F,9249.48720383208,0.5,,,,,5729080,16461.9041763894,225747.184466183
F_6,2.1450151,1529,F,899.225204632223,0.5,,,,,556975,1600.40863081759,21946.8986413268
