MicrotypeID,PerStartCost,DailyCostPerVehicle,geotype,DirectionalRouteMiles,SeniorFareDiscount,Headway,VehicleCapacity,VehicleSize,StopSpacing,PopulationMicrotypeID,VehicleRevenueHoursPerDay,VehicleRevenueMilesPerDay,coveragePortion,PassengerWait,PassengerWaitDedicated,MinStopTime,CoveragePortion
A_1,2.4427197,2004,A,41200.289972218,0.5,1330.0562980237796,40.0,3.0,400.0,21190850,121979.525936942,1338178.3383488,0.0,6.0,3.0,7.0,0.7839036398970907
A_2,2.0591331000000004,2004,A,48631.52869654349,0.5,1330.0562980237828,40.0,3.0,400.0,25013014,143980.80256214802,1579543.69511441,0.0,6.0,3.0,7.0,0.39679881499577946
A_3,2.0707642,2004,A,30047.3191667179,0.5,1330.056298023781,40.0,3.0,400.0,15454460,88959.5133942917,975931.763137296,0.0,6.0,3.0,7.0,0.16709297783464178
A_4,1.9143464,2004,A,16618.5154132323,0.5,1330.0562980237848,40.0,3.0,400.0,8547524,49201.5622523226,539766.5248593839,0.0,6.0,3.0,7.0,0.2329774225636632
A_5,1.9132631000000002,2004,A,22425.038530781,0.5,1330.0562980237787,40.0,3.0,400.0,11534036,66392.6290554469,728361.397911609,0.0,6.0,3.0,7.0,0.16900535490618918
A_6,2.1553511000000003,2004,A,1557.2482205073402,0.5,1330.0562980237803,40.0,3.0,400.0,800951,4610.46268926066,50579.1546011042,0.0,6.0,3.0,7.0,0.04766633832596221
B_1,1.914624,1761,B,14512.3903442572,0.5,2017.2389819445027,40.0,3.0,400.0,6814388,23591.0576266608,310788.79026399803,0.0,6.0,3.0,7.0,0.34884641964764407
B_2,1.8620511999999998,1761,B,49685.1823331299,0.5,2017.2389819445011,40.0,3.0,400.0,23330003,80767.2596868815,1064028.55388121,0.0,6.0,3.0,7.0,0.32944417953582017
B_3,1.860165,1761,B,32306.1298400794,0.5,2017.2389819445089,40.0,3.0,400.0,15169555,52516.212193347405,691849.018179355,0.0,6.0,3.0,7.0,0.128783066351148
B_4,1.8798035,1761,B,14183.9378954645,0.5,2017.2389819445089,40.0,3.0,400.0,6660161,23057.131756195697,303754.846385832,0.0,6.0,3.0,7.0,0.1709784510119506
B_5,1.9333828999999998,1761,B,32380.0016659677,0.5,2017.2389819445082,40.0,3.0,400.0,15204242,52636.2967872825,693431.013623097,0.0,6.0,3.0,7.0,0.13355964751208216
B_6,1.5637879,1761,B,11269.517921101298,0.5,2017.2389819445052,40.0,3.0,400.0,5291676,18319.5077030568,241341.347529526,0.0,6.0,3.0,7.0,0.025921966552668985
C_1,1.8755956999999999,1370,C,381.83630489473296,0.5,1934.2226627332705,40.0,3.0,400.0,398744,588.514234375862,8528.1434703814,0.0,6.0,3.0,7.0,0.08758967778153888
C_2,1.7746306,1370,C,10453.214129386,0.5,1934.222662733259,40.0,3.0,400.0,10916082,16111.2634688274,233467.872696387,0.0,6.0,3.0,7.0,0.1118691539814038
C_3,1.7461449,1370,C,9204.24349517817,0.5,1934.2226627332693,40.0,3.0,400.0,9611807,14186.2579438777,205572.67095082602,0.0,6.0,3.0,7.0,0.042241645351709864
C_4,1.6027705,1370,C,5107.44744740503,0.5,1934.2226627332684,40.0,3.0,400.0,5333605,7871.9741564469205,114072.55947260301,0.0,6.0,3.0,7.0,0.06779669225847165
C_5,1.6410918,1370,C,24845.0885509785,0.5,1934.222662733272,40.0,3.0,400.0,25945228,38293.0802523102,554903.965340561,0.0,6.0,3.0,7.0,0.0433545646232729
C_6,1.4173441,1370,C,9320.31007215757,0.5,1934.222662733267,40.0,3.0,400.0,9733013,14365.148300326298,208164.966151434,0.0,6.0,3.0,7.0,0.01017272396350951
D_1,1.9666667000000002,1292,D,45.5885019586995,0.5,1801.2142794102288,40.0,3.0,400.0,46580,74.83378350978859,1093.3864488686302,0.0,6.0,3.0,7.0,0.07360980279668745
D_2,2.1956671,1292,D,1483.9135684683301,0.5,1801.214279410235,40.0,3.0,400.0,1516187,2435.85250576118,35589.916697097,0.0,6.0,3.0,7.0,0.1164577242663593
D_3,1.9902343999999996,1292,D,1035.00286543259,0.5,1801.2142794102256,40.0,3.0,400.0,1057513,1698.96305068242,24823.3229648435,0.0,6.0,3.0,7.0,0.03664793520039542
D_4,2.2670068,1292,D,791.248250923665,0.5,1801.214279410227,40.0,3.0,400.0,808457,1298.83847391527,18977.156038922,0.0,6.0,3.0,7.0,0.059602627752382564
D_5,1.4936927,1292,D,3872.3899256077702,0.5,1801.2142794102294,40.0,3.0,400.0,3956610,6356.54993930151,92874.7049690448,0.0,6.0,3.0,7.0,0.03446344897235735
D_6,0.9130434999999999,1292,D,2087.05688760895,0.5,1801.2142794102322,40.0,3.0,400.0,2132448,3425.91567148737,50055.59781273099,0.0,6.0,3.0,7.0,0.005465514100129673
E_1,2.2193110000000003,928,E,132.44197296073298,0.5,1691.8833338445124,40.0,3.0,400.0,157352,237.446675407397,3381.73035779161,0.0,6.0,3.0,7.0,0.1936031704070789
E_2,1.9285714,928,E,896.065664332172,0.5,1691.8833338445063,40.0,3.0,400.0,1064600,1606.49836442317,22879.8498837317,0.0,6.0,3.0,7.0,0.13524576379924552
E_3,2.0,928,E,683.601475604905,0.5,1691.8833338445043,40.0,3.0,400.0,812175,1225.58501702554,17454.8582371969,0.0,6.0,3.0,7.0,0.04942937555236366
E_4,1.8571429,928,E,237.76461875183998,0.5,1691.8833338445063,40.0,3.0,400.0,282484,426.272857388423,6071.00461634046,0.0,6.0,3.0,7.0,0.042779201527641635
E_5,1.8409091,928,E,811.2559025401621,0.5,1691.8833338445115,40.0,3.0,400.0,963839,1454.44840979454,20714.344948418202,0.0,6.0,3.0,7.0,0.024569051151886078
E_6,2.753173,928,E,660.330365810188,0.5,1691.8833338445056,40.0,3.0,400.0,784527,1183.86374445408,16860.6612715897,0.0,6.0,3.0,7.0,0.004461218754030721
F_1,2.0983346000000003,1529,F,186.154430216274,0.5,1770.023613585324,40.0,3.0,400.0,115303,331.310949969318,4543.369548078279,0.0,6.0,3.0,7.0,0.2202606131360675
F_2,2.3135352000000005,1529,F,4414.8740695302895,0.5,1770.0236135853206,40.0,3.0,400.0,2734548,7857.433853557141,107751.421133521,0.0,6.0,3.0,7.0,0.3093014678222435
F_3,2.4400459,1529,F,3677.9461186722206,0.5,1770.0236135853224,40.0,3.0,400.0,2278099,6545.87602936744,89765.6229595724,0.0,6.0,3.0,7.0,0.11007591294094268
F_4,2.4130937,1529,F,1995.90297311691,0.5,1770.0236135853254,40.0,3.0,400.0,1236251,3552.23622291284,48712.9142102228,0.0,6.0,3.0,7.0,0.21222317716379704
F_5,2.4109081000000003,1529,F,9249.487203832081,0.5,1770.0236135853238,40.0,3.0,400.0,5729080,16461.9041763894,225747.184466183,0.0,6.0,3.0,7.0,0.07109983586315521
F_6,2.1450151,1529,F,899.225204632223,0.5,1770.023613585321,40.0,3.0,400.0,556975,1600.40863081759,21946.8986413268,0.0,6.0,3.0,7.0,0.004755375736130845
