MicrotypeID,PerStartCost,DailyCostPerVehicle,geotype,VehicleRevenueHours,VehicleRevenueMiles,DirectionalRouteMiles,Headway,VehicleCapacity,VehicleSize,StopSpacing,SpeedInMetersPerSecond
A_1,2.8694963,3990,A,98415334,2100193789,17518.18,,,,,
A_2,2.4753756,3990,A,98415334,2100193789,17518.18,,,,,
A_3,2.5128943,3990,A,98415334,2100193789,17518.18,,,,,
A_4,2.038843,3990,A,98415334,2100193789,17518.18,,,,,
A_5,2.310196,3990,A,98415334,2100193789,17518.18,,,,,
A_6,3.09265,3990,A,98415334,2100193789,17518.18,,,,,
B_1,3.1269672,3580,B,7870743,163429269,4635.92,,,,,
B_2,2.5762055,3580,B,7870743,163429269,4635.92,,,,,
B_3,2.998836,3580,B,7870743,163429269,4635.92,,,,,
B_4,5.0365679,3580,B,7870743,163429269,4635.92,,,,,
B_5,2.4719605,3580,B,7870743,163429269,4635.92,,,,,
B_6,2.3952569,3580,B,7870743,163429269,4635.92,,,,,
C_1,3.3929182,4212,C,308509,4847371,437.28,,,,,
C_2,3.4252608,4212,C,308509,4847371,437.28,,,,,
C_3,3.4976275,4212,C,308509,4847371,437.28,,,,,
C_4,3.8050847,4212,C,308509,4847371,437.28,,,,,
C_5,3.2965059,4212,C,308509,4847371,437.28,,,,,
C_6,3.0238095,4212,C,308509,4847371,437.28,,,,,
D_1,2.901597,4212,D,24734,130820,10.8,,,,,
D_2,2.560273,4212,D,24734,130820,10.8,,,,,
D_3,2.639381,4212,D,24734,130820,10.8,,,,,
D_4,2.521363,4212,D,24734,130820,10.8,,,,,
D_5,2.437784,4212,D,24734,130820,10.8,,,,,
D_6,2.753173,4212,D,24734,130820,10.8,,,,,
E_1,2.901597,4212,E,,,,,,,,
E_2,2.560273,4212,E,,,,,,,,
E_3,2.639381,4212,E,,,,,,,,
E_4,2.521363,4212,E,,,,,,,,
E_5,2.437784,4212,E,,,,,,,,
E_6,2.753173,4212,E,,,,,,,,
F_1,2.901597,4212,F,1738986,45943366,321.89,,,,,
F_2,2.560273,4212,F,1738986,45943366,321.89,,,,,
F_3,2.639381,4212,F,1738986,45943366,321.89,,,,,
F_4,2.521363,4212,F,1738986,45943366,321.89,,,,,
F_5,2.437784,4212,F,1738986,45943366,321.89,,,,,
F_6,2.753173,4212,F,1738986,45943366,321.89,,,,,
