MicrotypeID,PerStartCost,PerMileCost,PerMinuteCost,VehicleSize,VehicleCapacity
A_1,6.916367,0.3302156,1.3299506,,
A_2,6.143429,0.2737787,0.9422461,,
A_3,6.227076,0.2738952,0.968908,,
A_4,5.940186,0.259384,0.94551,,
A_5,6.092453,0.2662887,0.9260039,,
A_6,6.620339,0.2953898,1.0779661,,
B_1,6.134616,0.2520589,1.1410205,,
B_2,6.141888,0.2449096,1.1260825,,
B_3,6.115759,0.2539376,1.093094,,
B_4,6.557311,0.3427045,1.1385736,,
B_5,6.267323,0.2473319,1.1391049,,
B_6,6.055668,0.2229428,1.1578092,,
C_1,5.887792,0.2408801,0.9351893,,
C_2,5.774481,0.2366884,0.966531,,
C_3,5.853663,0.2394886,0.9388426,,
C_4,5.927872,0.2432627,0.921933,,
C_5,6.014332,0.2468808,0.9408679,,
C_6,5.986534,0.2354017,1.1405509,,
D_1,6.7,0.22,0.86,,
D_2,6.674,0.2274286,0.9974286,,
D_3,6.638342,0.2185492,0.8998964,,
D_4,6.7,0.22,0.86,,
D_5,6.495085,0.2328632,1.2208974,,
D_6,6.003333,0.2573333,1.4246666,,
E_1,6.15,0.22,1.86,,
E_2,6.303333,0.2093333,1.1546667,,
E_3,6.355,0.214,1.127,,
E_4,6.338461,0.2176923,1.2676923,,
E_5,6.273611,0.2173611,1.4384722,,
E_6,6.080804,0.2363316,1.147279,,
F_1,6.294781,0.2841679,1.1140318,,
F_2,6.433002,0.2666088,1.0574069,,
F_3,6.76417,0.2601746,0.945774,,
F_4,6.752199,0.2632865,0.9605803,,
F_5,6.567323,0.2647255,1.0179879,,
F_6,6.144134,0.2812849,1.1794413,,
