MicrotypeID,PerStartCost,PerEndCost,PerMileCost,SpeedInMetersPerSecond,VehicleSize
A_1,0,0,0,1.4,0.1
A_2,0,0,0,1.4,0.1
A_3,0,0,0,1.4,0.1
A_4,0,0,0,1.4,0.1
A_5,0,0,0,1.4,0.1
A_6,0,0,0,1.4,0.1
A_7,0,0,0,1.4,0.1
B_1,0,0,0,1.4,0.1
B_2,0,0,0,1.4,0.1
B_3,0,0,0,1.4,0.1
B_4,0,0,0,1.4,0.1
B_5,0,0,0,1.4,0.1
B_6,0,0,0,1.4,0.1
B_7,0,0,0,1.4,0.1
C_1,0,0,0,1.4,0.1
C_2,0,0,0,1.4,0.1
C_3,0,0,0,1.4,0.1
C_4,0,0,0,1.4,0.1
C_5,0,0,0,1.4,0.1
C_6,0,0,0,1.4,0.1
D_1,0,0,0,1.4,0.1
D_2,0,0,0,1.4,0.1
D_3,0,0,0,1.4,0.1
D_4,0,0,0,1.4,0.1
D_5,0,0,0,1.4,0.1
D_6,0,0,0,1.4,0.1
D_7,0,0,0,1.4,0.1
E_1,0,0,0,1.4,0.1
E_2,0,0,0,1.4,0.1
E_3,0,0,0,1.4,0.1
E_4,0,0,0,1.4,0.1
E_5,0,0,0,1.4,0.1
E_6,0,0,0,1.4,0.1
E_7,0,0,0,1.4,0.1
F_2,0,0,0,1.4,0.1
F_3,0,0,0,1.4,0.1
F_4,0,0,0,1.4,0.1
F_5,0,0,0,1.4,0.1
F_6,0,0,0,1.4,0.1
