TripPurposeID,OriginMicrotypeID,DestinationMicrotypeID,DistanceBinID,Portion
work,A,A,short,0.7
work,A,A,medium,0.3
work,A,B,short,0.5
work,A,B,medium,0.5
work,A,C,short,0.4
work,A,C,medium,0.6
work,A,D,medum,0.6
work,A,D,long,0.4
nonwork,A,A,short,0.7
nonwork,A,A,medium,0.3
nonwork,A,B,short,0.5
nonwork,A,B,medium,0.5
nonwork,A,C,short,0.4
nonwork,A,C,medium,0.6
nonwork,A,D,medum,0.6
nonwork,A,D,long,0.4
work,B,B,short,0.7
work,B,B,medium,0.3
work,B,A,short,0.5
work,B,A,medium,0.5
work,B,C,short,0.4
work,B,C,medium,0.6
work,B,D,medum,0.6
work,B,D,long,0.4
nonwork,B,B,short,0.7
nonwork,B,B,medium,0.3
nonwork,B,A,short,0.5
nonwork,B,A,medium,0.5
nonwork,B,C,short,0.4
nonwork,B,C,medium,0.6
nonwork,B,D,medum,0.6
nonwork,B,D,long,0.4
work,C,C,short,0.7
work,C,C,medium,0.3
work,C,A,short,0.5
work,C,A,medium,0.5
work,C,B,short,0.4
work,C,B,medium,0.6
work,C,D,medum,0.6
work,C,D,long,0.4
nonwork,C,C,short,0.7
nonwork,C,C,medium,0.3
nonwork,C,B,short,0.5
nonwork,C,B,medium,0.5
nonwork,C,A,short,0.4
nonwork,C,A,medium,0.6
nonwork,C,D,medum,0.6
nonwork,C,D,long,0.4
work,D,D,short,0.7
work,D,D,medium,0.3
work,D,A,short,0.5
work,D,A,medium,0.5
work,D,B,short,0.4
work,D,B,medium,0.6
work,D,C,medum,0.6
work,D,C,long,0.4
nonwork,D,D,short,0.7
nonwork,D,D,medium,0.3
nonwork,D,B,short,0.5
nonwork,D,B,medium,0.5
nonwork,D,A,short,0.4
nonwork,D,A,medium,0.6
nonwork,D,C,medum,0.6
nonwork,D,C,long,0.4
