HomeMicrotypeID,TimePeriodID,PopulationGroupTypeID,TripPurposeID,OriginMicrotypeID,DestinationMicrotypeID,Portion
A              ,AM-Peak     ,high-income          ,work         ,A                ,A                     ,0.4
A              ,AM-Peak     ,high-income          ,work         ,A                ,B                     ,0.2
A              ,AM-Peak     ,high-income          ,work         ,A                ,C                     ,0.2
A              ,AM-Peak     ,high-income          ,work         ,A                ,D                     ,0.2
A              ,AM-Peak     ,low-income           ,work         ,A                ,A                     ,0.4
A              ,AM-Peak     ,low-income           ,work         ,A                ,B                     ,0.2
A              ,AM-Peak     ,low-income           ,work         ,A                ,C                     ,0.2
A              ,AM-Peak     ,low-income           ,work         ,A                ,D                     ,0.2
A              ,AM-Peak     ,high-income          ,nonwork      ,A                ,A                     ,0.6
A              ,AM-Peak     ,high-income          ,nonwork      ,A                ,B                     ,0.1
A              ,AM-Peak     ,high-income          ,nonwork      ,A                ,C                     ,0.1
A              ,AM-Peak     ,high-income          ,nonwork      ,A                ,D                     ,0.2
A              ,AM-Peak     ,low-income           ,nonwork      ,A                ,A                     ,0.6
A              ,AM-Peak     ,low-income           ,nonwork      ,A                ,B                     ,0.1
A              ,AM-Peak     ,low-income           ,nonwork      ,A                ,C                     ,0.2
A              ,AM-Peak     ,low-income           ,nonwork      ,A                ,D                     ,0.1
B              ,AM-Peak     ,high-income          ,work         ,B                ,B                     ,0.4
B              ,AM-Peak     ,high-income          ,work         ,B                ,A                     ,0.2
B              ,AM-Peak     ,high-income          ,work         ,B                ,C                     ,0.2
B              ,AM-Peak     ,high-income          ,work         ,B                ,D                     ,0.2
B              ,AM-Peak     ,low-income           ,work         ,B                ,B                     ,0.4
B              ,AM-Peak     ,low-income           ,work         ,B                ,A                     ,0.2
B              ,AM-Peak     ,low-income           ,work         ,B                ,C                     ,0.2
B              ,AM-Peak     ,low-income           ,work         ,B                ,D                     ,0.2
B              ,AM-Peak     ,high-income          ,nonwork      ,B                ,B                     ,0.6
B              ,AM-Peak     ,high-income          ,nonwork      ,B                ,A                     ,0.2
B              ,AM-Peak     ,high-income          ,nonwork      ,B                ,C                     ,0.1
B              ,AM-Peak     ,high-income          ,nonwork      ,B                ,D                     ,0.1
B              ,AM-Peak     ,low-income           ,nonwork      ,B                ,B                     ,0.6
B              ,AM-Peak     ,low-income           ,nonwork      ,B                ,A                     ,0.2
B              ,AM-Peak     ,low-income           ,nonwork      ,B                ,C                     ,0.1
B              ,AM-Peak     ,low-income           ,nonwork      ,B                ,D                     ,0.1
C              ,AM-Peak     ,high-income          ,work         ,C                ,A                     ,0.5
C              ,AM-Peak     ,high-income          ,work         ,C                ,D                     ,0.5
C              ,AM-Peak     ,high-income          ,nonwork      ,C                ,B                     ,0.5
C              ,AM-Peak     ,high-income          ,nonwork      ,C                ,A                     ,0.5
C              ,AM-Peak     ,low-income           ,work         ,C                ,A                     ,0.5
C              ,AM-Peak     ,low-income           ,work         ,C                ,C                     ,0.5
C              ,AM-Peak     ,low-income           ,nonwork      ,C                ,B                     ,0.3
C              ,AM-Peak     ,low-income           ,nonwork      ,C                ,C                     ,0.7
D              ,AM-Peak     ,high-income          ,work         ,D                ,C                     ,0.5
D              ,AM-Peak     ,high-income          ,work         ,D                ,A                     ,0.5
D              ,AM-Peak     ,high-income          ,nonwork      ,D                ,C                     ,0.5
D              ,AM-Peak     ,high-income          ,nonwork      ,D                ,B                     ,0.5
D              ,AM-Peak     ,low-income           ,work         ,D                ,A                     ,0.5
D              ,AM-Peak     ,low-income           ,work         ,D                ,C                     ,0.5
D              ,AM-Peak     ,low-income           ,nonwork      ,D                ,D                     ,0.5
D              ,AM-Peak     ,low-income           ,nonwork      ,D                ,C                     ,1
A              ,Midday      ,high-income          ,work         ,A                ,D                     ,1
